"Element";"Quota";"Centrality";"Value"
"kraft";"30";"SRIC_EX";"0.00428306369106453"
"kraft";"30";"Max";"0.0340004084133143"
"kerzhentsev";"30";"SRIC_EX";"0.146390145516139"
"kerzhentsev";"30";"Max";"0.102920155197059"
"savyolov";"30";"SRIC_EX";"0.0775161945913954"
"savyolov";"30";"Max";"0.0817847661833776"
"tatyana_nikolaevna";"30";"SRIC_EX";"0.119277679884902"
"tatyana_nikolaevna";"30";"Max";"0.0987849703900347"
"sasha";"30";"SRIC_EX";"0.0775161945913954"
"sasha";"30";"Max";"0.0817847661833776"
"fyodorovich";"30";"SRIC_EX";"0.0358430171643002"
"fyodorovich";"30";"Max";"0.0445681029201552"
"darya_vasilyevna";"30";"SRIC_EX";"0.0163866201945586"
"darya_vasilyevna";"30";"Max";"0.0374463957525015"
"vasiliy";"30";"SRIC_EX";"0.0163866201945586"
"vasiliy";"30";"Max";"0.0374463957525015"
"masha";"30";"SRIC_EX";"0.0950633718213232"
"masha";"30";"Max";"0.0899019808045742"
"ivan_petrovich";"30";"SRIC_EX";"0.0950633718213232"
"ivan_petrovich";"30";"Max";"0.0899019808045742"
"pryamoy";"30";"SRIC_EX";"0.0632547441058079"
"pryamoy";"30";"Max";"0.0602920155197059"
"vasilyeva";"30";"SRIC_EX";"0.0632547441058079"
"vasilyeva";"30";"Max";"0.0602920155197059"
"sidelka";"30";"SRIC_EX";"0.0632547441058079"
"sidelka";"30";"Max";"0.0602920155197059"
"semyonov";"30";"SRIC_EX";"0.0632547441058079"
"semyonov";"30";"Max";"0.0602920155197059"
"tretiy_vrach";"30";"SRIC_EX";"0.0632547441058079"
"tretiy_vrach";"30";"Max";"0.0602920155197059"
"kraft";"50";"SRIC_EX";"0.00245935754013798"
"kraft";"50";"Max";"0.0252960172228202"
"kerzhentsev";"50";"SRIC_EX";"0.156933574152117"
"kerzhentsev";"50";"Max";"0.120559741657696"
"savyolov";"50";"SRIC_EX";"0.0835321964801021"
"savyolov";"50";"Max";"0.0795075349838536"
"tatyana_nikolaevna";"50";"SRIC_EX";"0.131454284804686"
"tatyana_nikolaevna";"50";"Max";"0.105086114101184"
"sasha";"50";"SRIC_EX";"0.0835321964801021"
"sasha";"50";"Max";"0.0795075349838536"
"fyodorovich";"50";"SRIC_EX";"0.0120748928731029"
"fyodorovich";"50";"Max";"0.0333961248654467"
"darya_vasilyevna";"50";"SRIC_EX";"0.013589526920506"
"darya_vasilyevna";"50";"Max";"0.0326964477933262"
"vasiliy";"50";"SRIC_EX";"0.013589526920506"
"vasiliy";"50";"Max";"0.0326964477933262"
"masha";"50";"SRIC_EX";"0.0966783437712362"
"masha";"50";"Max";"0.0940527448869752"
"ivan_petrovich";"50";"SRIC_EX";"0.0966783437712362"
"ivan_petrovich";"50";"Max";"0.0940527448869752"
"pryamoy";"50";"SRIC_EX";"0.0618955512572534"
"pryamoy";"50";"Max";"0.0606297093649085"
"vasilyeva";"50";"SRIC_EX";"0.0618955512572534"
"vasilyeva";"50";"Max";"0.0606297093649085"
"sidelka";"50";"SRIC_EX";"0.0618955512572534"
"sidelka";"50";"Max";"0.0606297093649085"
"semyonov";"50";"SRIC_EX";"0.0618955512572534"
"semyonov";"50";"Max";"0.0606297093649085"
"tretiy_vrach";"50";"SRIC_EX";"0.0618955512572534"
"tretiy_vrach";"50";"Max";"0.0606297093649085"
"kraft";"70";"SRIC_EX";"0"
"kraft";"70";"Max";"0.0216293637645872"
"kerzhentsev";"70";"SRIC_EX";"0.360869630328489"
"kerzhentsev";"70";"Max";"0.1287478671885"
"savyolov";"70";"SRIC_EX";"0.155466825407522"
"savyolov";"70";"Max";"0.0814910176252862"
"tatyana_nikolaevna";"70";"SRIC_EX";"0.149388623072834"
"tatyana_nikolaevna";"70";"Max";"0.110613386165188"
"sasha";"70";"SRIC_EX";"0.155466825407522"
"sasha";"70";"Max";"0.0814910176252862"
"fyodorovich";"70";"SRIC_EX";"0.0861917918997237"
"fyodorovich";"70";"Max";"0.0460955281183714"
"darya_vasilyevna";"70";"SRIC_EX";"0.0303030303030303"
"darya_vasilyevna";"70";"Max";"0.0281952965488901"
"vasiliy";"70";"SRIC_EX";"0.0303030303030303"
"vasiliy";"70";"Max";"0.0281952965488901"
"masha";"70";"SRIC_EX";"0.0160051216389245"
"masha";"70";"Max";"0.0918535782100364"
"ivan_petrovich";"70";"SRIC_EX";"0.0160051216389245"
"ivan_petrovich";"70";"Max";"0.0918535782100364"
"pryamoy";"70";"SRIC_EX";"0"
"pryamoy";"70";"Max";"0.0579668139989856"
"vasilyeva";"70";"SRIC_EX";"0"
"vasilyeva";"70";"Max";"0.0579668139989856"
"sidelka";"70";"SRIC_EX";"0"
"sidelka";"70";"Max";"0.0579668139989856"
"semyonov";"70";"SRIC_EX";"0"
"semyonov";"70";"Max";"0.0579668139989856"
"tretiy_vrach";"70";"SRIC_EX";"0"
"tretiy_vrach";"70";"Max";"0.0579668139989856"
