"Element";"Quota";"Centrality";"Value"
"evstigneich";"30";"SRIC_EX";"0.0490520153553501"
"evstigneich";"30";"Max";"0.0560940634323742"
"bishonkov";"30";"SRIC_EX";"0.0490520153553501"
"bishonkov";"30";"Max";"0.0560940634323742"
"dymshits";"30";"SRIC_EX";"0.0730230119588152"
"dymshits";"30";"Max";"0.0695942835005649"
"viskovskiy";"30";"SRIC_EX";"0.0843666015477482"
"viskovskiy";"30";"Max";"0.0694320212401299"
"filipp";"30";"SRIC_EX";"0.109716377195763"
"filipp";"30";"Max";"0.0828592232911249"
"lyudmila";"30";"SRIC_EX";"0.0864162126992633"
"lyudmila";"30";"Max";"0.0679878871222585"
"katya";"30";"SRIC_EX";"0.0955510845337118"
"katya";"30";"Max";"0.0771191958282373"
"mukovnin";"30";"SRIC_EX";"0.075030256688949"
"mukovnin";"30";"Max";"0.0630023791703936"
"golitsyn";"30";"SRIC_EX";"0.0463357523369005"
"golitsyn";"30";"Max";"0.0558628397112543"
"kravchenko";"30";"SRIC_EX";"0.013953851358238"
"kravchenko";"30";"Max";"0.0290408880613514"
"dora";"30";"SRIC_EX";"0.013953851358238"
"dora";"30";"Max";"0.0290408880613514"
"nefyodovna";"30";"SRIC_EX";"0.0186683922889565"
"nefyodovna";"30";"Max";"0.0350932703755763"
"krasnoarmeets";"30";"SRIC_EX";"0.0186683922889565"
"krasnoarmeets";"30";"Max";"0.0350932703755763"
"nadziratel";"30";"SRIC_EX";"0.00757836645363391"
"nadziratel";"30";"Max";"0.0197310908688941"
"kalmykova";"30";"SRIC_EX";"0.00757836645363391"
"kalmykova";"30";"Max";"0.0197310908688941"
"agasha";"30";"SRIC_EX";"0.0358650645894988"
"agasha";"30";"Max";"0.0334605063799493"
"tikhon";"30";"SRIC_EX";"0.0358650645894988"
"tikhon";"30";"Max";"0.0334605063799493"
"andrei";"30";"SRIC_EX";"0.0358650645894988"
"andrei";"30";"Max";"0.0334605063799493"
"sushkin";"30";"SRIC_EX";"0.0358650645894988"
"sushkin";"30";"Max";"0.0334605063799493"
"kuzma";"30";"SRIC_EX";"0.0358650645894988"
"kuzma";"30";"Max";"0.0334605063799493"
"elena";"30";"SRIC_EX";"0.0358650645894988"
"elena";"30";"Max";"0.0334605063799493"
"nyusha";"30";"SRIC_EX";"0.0358650645894988"
"nyusha";"30";"Max";"0.0334605063799493"
"evstigneich";"50";"SRIC_EX";"0.0605661605677977"
"evstigneich";"50";"Max";"0.0513925958149751"
"bishonkov";"50";"SRIC_EX";"0.0605661605677977"
"bishonkov";"50";"Max";"0.0513925958149751"
"dymshits";"50";"SRIC_EX";"0.0701569908660198"
"dymshits";"50";"Max";"0.0689962010146463"
"viskovskiy";"50";"SRIC_EX";"0.0879963724451642"
"viskovskiy";"50";"Max";"0.0702688968964521"
"filipp";"50";"SRIC_EX";"0.107846009492146"
"filipp";"50";"Max";"0.0859356938446991"
"lyudmila";"50";"SRIC_EX";"0.103042582423104"
"lyudmila";"50";"Max";"0.0743556931508163"
"katya";"50";"SRIC_EX";"0.110966256527665"
"katya";"50";"Max";"0.0809754350455749"
"mukovnin";"50";"SRIC_EX";"0.0326724259246678"
"mukovnin";"50";"Max";"0.0604680535599081"
"golitsyn";"50";"SRIC_EX";"0.0275913150082331"
"golitsyn";"50";"Max";"0.0535920491794198"
"kravchenko";"50";"SRIC_EX";"0.00913706249672036"
"kravchenko";"50";"Max";"0.0266425793911074"
"dora";"50";"SRIC_EX";"0.00913706249672036"
"dora";"50";"Max";"0.0266425793911074"
"nefyodovna";"50";"SRIC_EX";"0.0154239584867186"
"nefyodovna";"50";"Max";"0.0326203315583399"
"krasnoarmeets";"50";"SRIC_EX";"0.0154239584867186"
"krasnoarmeets";"50";"Max";"0.0326203315583399"
"nadziratel";"50";"SRIC_EX";"0.00657894736842105"
"nadziratel";"50";"Max";"0.0174370984102197"
"kalmykova";"50";"SRIC_EX";"0.00657894736842105"
"kalmykova";"50";"Max";"0.0174370984102197"
"agasha";"50";"SRIC_EX";"0.0394736842105263"
"agasha";"50";"Max";"0.0356032524227427"
"tikhon";"50";"SRIC_EX";"0.0394736842105263"
"tikhon";"50";"Max";"0.0356032524227427"
"andrei";"50";"SRIC_EX";"0.0394736842105263"
"andrei";"50";"Max";"0.0356032524227427"
"sushkin";"50";"SRIC_EX";"0.0394736842105263"
"sushkin";"50";"Max";"0.0356032524227427"
"kuzma";"50";"SRIC_EX";"0.0394736842105263"
"kuzma";"50";"Max";"0.0356032524227427"
"elena";"50";"SRIC_EX";"0.0394736842105263"
"elena";"50";"Max";"0.0356032524227427"
"nyusha";"50";"SRIC_EX";"0.0394736842105263"
"nyusha";"50";"Max";"0.0356032524227427"
"evstigneich";"70";"SRIC_EX";"0.0370212765957447"
"evstigneich";"70";"Max";"0.0480847518047827"
"bishonkov";"70";"SRIC_EX";"0.0370212765957447"
"bishonkov";"70";"Max";"0.0480847518047827"
"dymshits";"70";"SRIC_EX";"0.0879039393301032"
"dymshits";"70";"Max";"0.0611777701819526"
"viskovskiy";"70";"SRIC_EX";"0.114042553191489"
"viskovskiy";"70";"Max";"0.0594320343983299"
"filipp";"70";"SRIC_EX";"0.169884137349905"
"filipp";"70";"Max";"0.105257598718425"
"lyudmila";"70";"SRIC_EX";"0.157691173372656"
"lyudmila";"70";"Max";"0.0836156095185143"
"katya";"70";"SRIC_EX";"0.109306930693069"
"katya";"70";"Max";"0.114751320671125"
"mukovnin";"70";"SRIC_EX";"0.04"
"mukovnin";"70";"Max";"0.0388118140835401"
"golitsyn";"70";"SRIC_EX";"0.0994059405940594"
"golitsyn";"70";"Max";"0.0403521691867365"
"kravchenko";"70";"SRIC_EX";"0.02"
"kravchenko";"70";"Max";"0.0187024782113103"
"dora";"70";"SRIC_EX";"0.02"
"dora";"70";"Max";"0.0187024782113103"
"nefyodovna";"70";"SRIC_EX";"0.0338613861386139"
"nefyodovna";"70";"Max";"0.0230110714856798"
"krasnoarmeets";"70";"SRIC_EX";"0.0338613861386139"
"krasnoarmeets";"70";"Max";"0.0230110714856798"
"nadziratel";"70";"SRIC_EX";"0.02"
"nadziratel";"70";"Max";"0"
"kalmykova";"70";"SRIC_EX";"0.02"
"kalmykova";"70";"Max";"0"
"agasha";"70";"SRIC_EX";"0"
"agasha";"70";"Max";"0.0452864400339758"
"tikhon";"70";"SRIC_EX";"0"
"tikhon";"70";"Max";"0.0452864400339758"
"andrei";"70";"SRIC_EX";"0"
"andrei";"70";"Max";"0.0452864400339758"
"sushkin";"70";"SRIC_EX";"0"
"sushkin";"70";"Max";"0.0452864400339758"
"kuzma";"70";"SRIC_EX";"0"
"kuzma";"70";"Max";"0.0452864400339758"
"elena";"70";"SRIC_EX";"0"
"elena";"70";"Max";"0.0452864400339758"
"nyusha";"70";"SRIC_EX";"0"
"nyusha";"70";"Max";"0.0452864400339758"
