"Element";"Quota";"Centrality";"Value"
"arie_leib";"30";"SRIC_EX";"0.135861226960286"
"arie_leib";"30";"Max";"0.0620678055960407"
"lyovka";"30";"SRIC_EX";"0.118304139113522"
"lyovka";"30";"Max";"0.0557660223428345"
"dvoyra";"30";"SRIC_EX";"0.0156156747899595"
"dvoyra";"30";"Max";"0.0339965039802352"
"nekhama";"30";"SRIC_EX";"0.0138350643180738"
"nekhama";"30";"Max";"0.0297668929828338"
"benya";"30";"SRIC_EX";"0.13843029990557"
"benya";"30";"Max";"0.0655495302454759"
"boyarskiy";"30";"SRIC_EX";"0.0156156747899595"
"boyarskiy";"30";"Max";"0.0339965039802352"
"mendel";"30";"SRIC_EX";"0.143551281174126"
"mendel";"30";"Max";"0.072404537779513"
"nikifor";"30";"SRIC_EX";"0.118304139113522"
"nikifor";"30";"Max";"0.0557660223428345"
"kantor";"30";"SRIC_EX";"0.00642974596492818"
"kantor";"30";"Max";"0.0119326077462648"
"pervyy_evrey";"30";"SRIC_EX";"0.00642974596492818"
"pervyy_evrey";"30";"Max";"0.0119326077462648"
"vtoroy_evrey";"30";"SRIC_EX";"0.00642974596492818"
"vtoroy_evrey";"30";"Max";"0.0119326077462648"
"senka";"30";"SRIC_EX";"0.0112346333439951"
"senka";"30";"Max";"0.0314522278785012"
"tolstyak";"30";"SRIC_EX";"0.00642974596492818"
"tolstyak";"30";"Max";"0.0119326077462648"
"malchik";"30";"SRIC_EX";"0.00161431359260383"
"malchik";"30";"Max";"0.0142937193198721"
"bobrinets";"30";"SRIC_EX";"0.0132751956817551"
"bobrinets";"30";"Max";"0.0356747999741156"
"pyatirubel";"30";"SRIC_EX";"0.0405465104947499"
"pyatirubel";"30";"Max";"0.0464200710735391"
"semyon";"30";"SRIC_EX";"0.00263454305460073"
"semyon";"30";"Max";"0.0151074215048667"
"madam_popyatnik";"30";"SRIC_EX";"0.0132605841904793"
"madam_popyatnik";"30";"Max";"0.0350698615676892"
"mayor";"30";"SRIC_EX";"0.00263454305460073"
"mayor";"30";"Max";"0.0151074215048667"
"potapovna";"30";"SRIC_EX";"0.0274138272357367"
