"Element";"Quota";"Centrality";"Value"
"pervyj_mistik";"30";"SRIC_EX";"0.0418781393652116"
"pervyj_mistik";"30";"Max";"0.0479546356147761"
"vtoroj_mistik";"30";"SRIC_EX";"0.0418781393652116"
"vtoroj_mistik";"30";"Max";"0.0479546356147761"
"tretij_mistik";"30";"SRIC_EX";"0.0418781393652116"
"tretij_mistik";"30";"Max";"0.0479546356147761"
"pero";"30";"SRIC_EX";"0.142726298855045"
"pero";"30";"Max";"0.0995496231302359"
"avtor";"30";"SRIC_EX";"0.0698312315516042"
"avtor";"30";"Max";"0.0599257928266399"
"predsedatel";"30";"SRIC_EX";"0.0418781393652116"
"predsedatel";"30";"Max";"0.0479546356147761"
"kolombina";"30";"SRIC_EX";"0.0418781393652116"
"kolombina";"30";"Max";"0.0479546356147761"
"arlekin";"30";"SRIC_EX";"0.133920548950705"
"arlekin";"30";"Max";"0.0924089328635101"
"ona_1";"30";"SRIC_EX";"0.0555164029770735"
"ona_1";"30";"Max";"0.0635428091382167"
"on_1";"30";"SRIC_EX";"0.0555164029770735"
"on_1";"30";"Max";"0.0635428091382167"
"on_2";"30";"SRIC_EX";"0.0555164029770735"
"on_2";"30";"Max";"0.0635428091382167"
"ona_2";"30";"SRIC_EX";"0.0555164029770735"
"ona_2";"30";"Max";"0.0635428091382167"
"on_3";"30";"SRIC_EX";"0.0555164029770735"
"on_3";"30";"Max";"0.0635428091382167"
"ona_3";"30";"SRIC_EX";"0.0555164029770735"
"ona_3";"30";"Max";"0.0635428091382167"
"pajats";"30";"SRIC_EX";"0.0555164029770735"
"pajats";"30";"Max";"0.0635428091382167"
"hor";"30";"SRIC_EX";"0.0555164029770735"
"hor";"30";"Max";"0.0635428091382167"
"pervyj_mistik";"50";"SRIC_EX";"0.113442994895065"
"pervyj_mistik";"50";"Max";"0.0435097897026831"
"vtoroj_mistik";"50";"SRIC_EX";"0.113442994895065"
"vtoroj_mistik";"50";"Max";"0.0435097897026831"
"tretij_mistik";"50";"SRIC_EX";"0.113442994895065"
"tretij_mistik";"50";"Max";"0.0435097897026831"
"pero";"50";"SRIC_EX";"0.177538287010777"
"pero";"50";"Max";"0.131254532269761"
"avtor";"50";"SRIC_EX";"0.116279069767442"
"avtor";"50";"Max";"0.0423011844331641"
"predsedatel";"50";"SRIC_EX";"0.113442994895065"
"predsedatel";"50";"Max";"0.0435097897026831"
"kolombina";"50";"SRIC_EX";"0.113442994895065"
"kolombina";"50";"Max";"0.0435097897026831"
"arlekin";"50";"SRIC_EX";"0.138967668746455"
"arlekin";"50";"Max";"0.121585690113609"
"ona_1";"50";"SRIC_EX";"0"
"ona_1";"50";"Max";"0.0609137055837564"
"on_1";"50";"SRIC_EX";"0"
"on_1";"50";"Max";"0.0609137055837564"
"on_2";"50";"SRIC_EX";"0"
"on_2";"50";"Max";"0.0609137055837564"
"ona_2";"50";"SRIC_EX";"0"
"ona_2";"50";"Max";"0.0609137055837564"
"on_3";"50";"SRIC_EX";"0"
"on_3";"50";"Max";"0.0609137055837564"
"ona_3";"50";"SRIC_EX";"0"
"ona_3";"50";"Max";"0.0609137055837564"
"pajats";"50";"SRIC_EX";"0"
"pajats";"50";"Max";"0.0609137055837564"
"hor";"50";"SRIC_EX";"0"
"hor";"50";"Max";"0.0609137055837564"
"pervyj_mistik";"70";"SRIC_EX";"0"
"pervyj_mistik";"70";"Max";"0.116201117318436"
"vtoroj_mistik";"70";"SRIC_EX";"0"
"vtoroj_mistik";"70";"Max";"0.116201117318436"
"tretij_mistik";"70";"SRIC_EX";"0"
"tretij_mistik";"70";"Max";"0.116201117318436"
"pero";"70";"SRIC_EX";"0"
"pero";"70";"Max";"0.162011173184358"
"avtor";"70";"SRIC_EX";"0"
"avtor";"70";"Max";"0.11731843575419"
"predsedatel";"70";"SRIC_EX";"0"
"predsedatel";"70";"Max";"0.116201117318436"
"kolombina";"70";"SRIC_EX";"0"
"kolombina";"70";"Max";"0.116201117318436"
"arlekin";"70";"SRIC_EX";"0"
"arlekin";"70";"Max";"0.139664804469274"
"ona_1";"70";"SRIC_EX";"0"
"ona_1";"70";"Max";"0"
"on_1";"70";"SRIC_EX";"0"
"on_1";"70";"Max";"0"
"on_2";"70";"SRIC_EX";"0"
"on_2";"70";"Max";"0"
"ona_2";"70";"SRIC_EX";"0"
"ona_2";"70";"Max";"0"
"on_3";"70";"SRIC_EX";"0"
"on_3";"70";"Max";"0"
"ona_3";"70";"SRIC_EX";"0"
"ona_3";"70";"Max";"0"
"pajats";"70";"SRIC_EX";"0"
"pajats";"70";"Max";"0"
"hor";"70";"SRIC_EX";"0"
"hor";"70";"Max";"0"
