"Element";"Quota";"Centrality";"Value"
"shut";"30";"SRIC_EX";"0.133277532272233"
"shut";"30";"Max";"0.112648653906953"
"golosa_v_tolpe";"30";"SRIC_EX";"0.130872746772778"
"golosa_v_tolpe";"30";"Max";"0.0989323670322722"
"doch_zodchego";"30";"SRIC_EX";"0.11227823576995"
"doch_zodchego";"30";"Max";"0.105790510469613"
"poet";"30";"SRIC_EX";"0.14369355368688"
"poet";"30";"Max";"0.114691505143608"
"zolotoj";"30";"SRIC_EX";"0.0249351934045203"
"zolotoj";"30";"Max";"0.0478610861159075"
"vtoroj_iz_tolpy";"30";"SRIC_EX";"0.0140831319392268"
"vtoroj_iz_tolpy";"30";"Max";"0.0335124881441669"
"chelovek_s_fakelom";"30";"SRIC_EX";"0.0368533571308827"
"chelovek_s_fakelom";"30";"Max";"0.0425107614484788"
"chelovek_v_chernom";"30";"SRIC_EX";"0.0368533571308827"
"chelovek_v_chernom";"30";"Max";"0.0425107614484788"
"obydennyj_golos";"30";"SRIC_EX";"0.0368533571308827"
"obydennyj_golos";"30";"Max";"0.0425107614484788"
"nischaja";"30";"SRIC_EX";"0.0441221766474903"
"nischaja";"30";"Max";"0.044845448576084"
"golos_nischego";"30";"SRIC_EX";"0.0368533571308827"
"golos_nischego";"30";"Max";"0.0425107614484788"
"pervyj_neizvestnyj";"30";"SRIC_EX";"0.0120481927710843"
"pervyj_neizvestnyj";"30";"Max";"0.00700406138281573"
"vtoroj_neizvestnyj";"30";"SRIC_EX";"0.0120481927710843"
"vtoroj_neizvestnyj";"30";"Max";"0.00700406138281573"
"golos_tretego";"30";"SRIC_EX";"0.0120481927710843"
"golos_tretego";"30";"Max";"0.00700406138281573"
"pervyj_rabochij_1";"30";"SRIC_EX";"0.00602409638554217"
"pervyj_rabochij_1";"30";"Max";"0"
"vtoroj_rabochij_1";"30";"SRIC_EX";"0.00602409638554217"
"vtoroj_rabochij_1";"30";"Max";"0"
"devushka";"30";"SRIC_EX";"0.0180722891566265"
"devushka";"30";"Max";"0.00875507672851966"
"junosha";"30";"SRIC_EX";"0.0180722891566265"
"junosha";"30";"Max";"0.00875507672851966"
"prodavschitsa_roz";"30";"SRIC_EX";"0.0120481927710843"
"prodavschitsa_roz";"30";"Max";"0.0105060920742236"
"pervyj_frant";"30";"SRIC_EX";"0.0120481927710843"
"pervyj_frant";"30";"Max";"0"
"vtoroj_frant";"30";"SRIC_EX";"0.0120481927710843"
"vtoroj_frant";"30";"Max";"0"
"pervyj_rabochij_2";"30";"SRIC_EX";"0.00602409638554217"
"pervyj_rabochij_2";"30";"Max";"0"
"vtoroj_rabochij_2";"30";"SRIC_EX";"0.00602409638554217"
"vtoroj_rabochij_2";"30";"Max";"0"
"zodchij";"30";"SRIC_EX";"0.0308843030536694"
"zodchij";"30";"Max";"0.0534059680439699"
"rabochij_3";"30";"SRIC_EX";"0.0205891207388874"
"rabochij_3";"30";"Max";"0.0337070454048007"
"drugoj_rabochij_3";"30";"SRIC_EX";"0.0205891207388874"
"drugoj_rabochij_3";"30";"Max";"0.0337070454048007"
"tretij_rabochij_3";"30";"SRIC_EX";"0.0205891207388874"
"tretij_rabochij_3";"30";"Max";"0.0337070454048007"
"chernyj";"30";"SRIC_EX";"0.0201261509741039"
"chernyj";"30";"Max";"0.0487365937887595"
"pervyj_iz_tolpy";"30";"SRIC_EX";"0.00401606425702811"
"pervyj_iz_tolpy";"30";"Max";"0.0193827670906394"
"shut";"50";"SRIC_EX";"0.140428217238531"
"shut";"50";"Max";"0.111410953300937"
"golosa_v_tolpe";"50";"SRIC_EX";"0.134732833961262"
"golosa_v_tolpe";"50";"Max";"0.107891737818447"
"doch_zodchego";"50";"SRIC_EX";"0.136390279877911"
"doch_zodchego";"50";"Max";"0.103353802064709"
"poet";"50";"SRIC_EX";"0.173451006335139"
"poet";"50";"Max";"0.121412934145909"
"zolotoj";"50";"SRIC_EX";"0.0197703959245146"
"zolotoj";"50";"Max";"0.0409340327173849"
"vtoroj_iz_tolpy";"50";"SRIC_EX";"0.0107579965315482"
"vtoroj_iz_tolpy";"50";"Max";"0.0306284938117889"
"chelovek_s_fakelom";"50";"SRIC_EX";"0.0297599209268468"
"chelovek_s_fakelom";"50";"Max";"0.042860854644567"
"chelovek_v_chernom";"50";"SRIC_EX";"0.0297599209268468"
"chelovek_v_chernom";"50";"Max";"0.042860854644567"
"obydennyj_golos";"50";"SRIC_EX";"0.0297599209268468"
"obydennyj_golos";"50";"Max";"0.042860854644567"
"nischaja";"50";"SRIC_EX";"0.036399798006233"
"nischaja";"50";"Max";"0.0473756376648668"
"golos_nischego";"50";"SRIC_EX";"0.0297599209268468"
"golos_nischego";"50";"Max";"0.0428608546445669"
"pervyj_neizvestnyj";"50";"SRIC_EX";"0.0120481927710843"
"pervyj_neizvestnyj";"50";"Max";"0.0111133120499687"
"vtoroj_neizvestnyj";"50";"SRIC_EX";"0.0120481927710843"
"vtoroj_neizvestnyj";"50";"Max";"0.0111133120499687"
"golos_tretego";"50";"SRIC_EX";"0.0120481927710843"
"golos_tretego";"50";"Max";"0.0111133120499687"
"pervyj_rabochij_1";"50";"SRIC_EX";"0.00602409638554217"
"pervyj_rabochij_1";"50";"Max";"0"
"vtoroj_rabochij_1";"50";"SRIC_EX";"0.00602409638554217"
"vtoroj_rabochij_1";"50";"Max";"0"
"devushka";"50";"SRIC_EX";"0.0240963855421687"
"devushka";"50";"Max";"0.0138916400624609"
"junosha";"50";"SRIC_EX";"0.0240963855421687"
"junosha";"50";"Max";"0.0138916400624609"
"prodavschitsa_roz";"50";"SRIC_EX";"0"
"prodavschitsa_roz";"50";"Max";"0"
"pervyj_frant";"50";"SRIC_EX";"0.0120481927710843"
"pervyj_frant";"50";"Max";"0"
"vtoroj_frant";"50";"SRIC_EX";"0.0120481927710843"
"vtoroj_frant";"50";"Max";"0"
"pervyj_rabochij_2";"50";"SRIC_EX";"0.00602409638554217"
"pervyj_rabochij_2";"50";"Max";"0"
"vtoroj_rabochij_2";"50";"SRIC_EX";"0.00602409638554217"
"vtoroj_rabochij_2";"50";"Max";"0"
"zodchij";"50";"SRIC_EX";"0.0238899523326953"
"zodchij";"50";"Max";"0.0489757487979872"
"rabochij_3";"50";"SRIC_EX";"0.0179458797985099"
"rabochij_3";"50";"Max";"0.0317655502761607"
"drugoj_rabochij_3";"50";"SRIC_EX";"0.0179458797985099"
"drugoj_rabochij_3";"50";"Max";"0.0317655502761607"
"tretij_rabochij_3";"50";"SRIC_EX";"0.0179458797985099"
"tretij_rabochij_3";"50";"Max";"0.0317655502761607"
"chernyj";"50";"SRIC_EX";"0.0147560119502922"
"chernyj";"50";"Max";"0.0406716350717606"
"pervyj_iz_tolpy";"50";"SRIC_EX";"0.00401606425702811"
"pervyj_iz_tolpy";"50";"Max";"0.0194817389246327"
"shut";"70";"SRIC_EX";"0.0391604010025063"
"shut";"70";"Max";"0.104515792706669"
"golosa_v_tolpe";"70";"SRIC_EX";"0.0762932274722624"
"golosa_v_tolpe";"70";"Max";"0.127352798472842"
"doch_zodchego";"70";"SRIC_EX";"0.0391160684730695"
"doch_zodchego";"70";"Max";"0.100568465215428"
"poet";"70";"SRIC_EX";"0.153463888374598"
"poet";"70";"Max";"0.118674398756592"
"zolotoj";"70";"SRIC_EX";"0.0179694519317161"
"zolotoj";"70";"Max";"0.0399595398932148"
"vtoroj_iz_tolpy";"70";"SRIC_EX";"0.0178571428571429"
"vtoroj_iz_tolpy";"70";"Max";"0.0267328463770935"
"chelovek_s_fakelom";"70";"SRIC_EX";"0"
"chelovek_s_fakelom";"70";"Max";"0.0442533311832793"
"chelovek_v_chernom";"70";"SRIC_EX";"0"
"chelovek_v_chernom";"70";"Max";"0.0442533311832793"
"obydennyj_golos";"70";"SRIC_EX";"0"
"obydennyj_golos";"70";"Max";"0.0442533311832793"
"nischaja";"70";"SRIC_EX";"0.0208333333333333"
"nischaja";"70";"Max";"0.0510730545199581"
"golos_nischego";"70";"SRIC_EX";"0"
"golos_nischego";"70";"Max";"0.0442533311832793"
"pervyj_neizvestnyj";"70";"SRIC_EX";"0.0357142857142857"
"pervyj_neizvestnyj";"70";"Max";"0.00937061221833727"
