"Element";"Quota";"Centrality";"Value"
"odin";"30";"SRIC_EX";"0"
"odin";"30";"Max";"0.0305733400474786"
"drugoj";"30";"SRIC_EX";"0"
"drugoj";"30";"Max";"0.0305733400474786"
"tretij_usatyj";"30";"SRIC_EX";"0"
"tretij_usatyj";"30";"Max";"0.0305733400474786"
"hozjain";"30";"SRIC_EX";"0"
"hozjain";"30";"Max";"0.0305733400474786"
"seminarist";"30";"SRIC_EX";"0"
"seminarist";"30";"Max";"0.0305733400474786"
"pervyj_sobutylnik";"30";"SRIC_EX";"0"
"pervyj_sobutylnik";"30";"Max";"0.0305733400474786"
"vtoroj_sobutylnik";"30";"SRIC_EX";"0"
"vtoroj_sobutylnik";"30";"Max";"0.0305733400474786"
"verlen";"30";"SRIC_EX";"0"
"verlen";"30";"Max";"0.0305733400474786"
"devushka";"30";"SRIC_EX";"0"
"devushka";"30";"Max";"0.0305733400474786"
"muzhchina";"30";"SRIC_EX";"0"
"muzhchina";"30";"Max";"0.0305733400474786"
"molodoj_chelovek";"30";"SRIC_EX";"0.0235248461552677"
"molodoj_chelovek";"30";"Max";"0.0602234851209745"
"gauptman";"30";"SRIC_EX";"0"
"gauptman";"30";"Max";"0.0305733400474786"
"poet";"30";"SRIC_EX";"0.277807550865781"
"poet";"30";"Max";"0.0692755916840515"
"polovoj";"30";"SRIC_EX";"0"
"polovoj";"30";"Max";"0.0305733400474786"
"chelovek_v_palto";"30";"SRIC_EX";"0"
"chelovek_v_palto";"30";"Max";"0.0305733400474786"
"pervyj";"30";"SRIC_EX";"0"
"pervyj";"30";"Max";"0.0305733400474786"
"vtoroj";"30";"SRIC_EX";"0"
"vtoroj";"30";"Max";"0.0305733400474786"
"sobesednik";"30";"SRIC_EX";"0"
"sobesednik";"30";"Max";"0.0305733400474786"
"hozjain_trete_videnie";"30";"SRIC_EX";"0.0186092066601371"
"hozjain_trete_videnie";"30";"Max";"0.0255976788240654"
"gost";"30";"SRIC_EX";"0.0186092066601371"
"gost";"30";"Max";"0.0255976788240654"
"hozjajka";"30";"SRIC_EX";"0.0186092066601371"
"hozjajka";"30";"Max";"0.0255976788240654"
"zhorzh";"30";"SRIC_EX";"0.0186092066601371"
"zhorzh";"30";"Max";"0.0255976788240654"
"misha";"30";"SRIC_EX";"0.0186092066601371"
"misha";"30";"Max";"0.0255976788240654"
"starik";"30";"SRIC_EX";"0.0186092066601371"
"starik";"30";"Max";"0.0255976788240654"
"dama";"30";"SRIC_EX";"0.0186092066601371"
"dama";"30";"Max";"0.0255976788240654"
"ryzhij_gospodin";"30";"SRIC_EX";"0.0186092066601371"
"ryzhij_gospodin";"30";"Max";"0.0255976788240654"
"drugoj_trete_videnie";"30";"SRIC_EX";"0.0186092066601371"
"drugoj_trete_videnie";"30";"Max";"0.0255976788240654"
"neznakomka";"30";"SRIC_EX";"0.167205662225343"
"neznakomka";"30";"Max";"0.0321080018224109"
"raznye_golosa";"30";"SRIC_EX";"0.0186092066601371"
"raznye_golosa";"30";"Max";"0.0255976788240654"
"kto-to";"30";"SRIC_EX";"0.0186092066601371"
"kto-to";"30";"Max";"0.0255976788240654"
"zvezdochet";"30";"SRIC_EX";"0.167205662225343"
"zvezdochet";"30";"Max";"0.0321080018224109"
"razjarennye_dvorniki";"30";"SRIC_EX";"0.0531850017555856"
"razjarennye_dvorniki";"30";"Max";"0.0118456705752584"
"goluboj";"30";"SRIC_EX";"0.0531850017555856"
"goluboj";"30";"Max";"0.0118456705752584"
"gospodin";"30";"SRIC_EX";"0.0531850017555856"
"gospodin";"30";"Max";"0.0118456705752584"
"odin";"50";"SRIC_EX";"0"
"odin";"50";"Max";"0"
"drugoj";"50";"SRIC_EX";"0"
"drugoj";"50";"Max";"0"
"tretij_usatyj";"50";"SRIC_EX";"0"
"tretij_usatyj";"50";"Max";"0"
"hozjain";"50";"SRIC_EX";"0"
"hozjain";"50";"Max";"0"
"seminarist";"50";"SRIC_EX";"0"
"seminarist";"50";"Max";"0"
"pervyj_sobutylnik";"50";"SRIC_EX";"0"
"pervyj_sobutylnik";"50";"Max";"0"
"vtoroj_sobutylnik";"50";"SRIC_EX";"0"
"vtoroj_sobutylnik";"50";"Max";"0"
"verlen";"50";"SRIC_EX";"0"
"verlen";"50";"Max";"0"
"devushka";"50";"SRIC_EX";"0"
"devushka";"50";"Max";"0"
"muzhchina";"50";"SRIC_EX";"0"
"muzhchina";"50";"Max";"0"
"molodoj_chelovek";"50";"SRIC_EX";"0"
"molodoj_chelovek";"50";"Max";"0"
"gauptman";"50";"SRIC_EX";"0"
"gauptman";"50";"Max";"0"
"poet";"50";"SRIC_EX";"0.2"
"poet";"50";"Max";"0.2"
"polovoj";"50";"SRIC_EX";"0"
"polovoj";"50";"Max";"0"
"chelovek_v_palto";"50";"SRIC_EX";"0"
"chelovek_v_palto";"50";"Max";"0"
"pervyj";"50";"SRIC_EX";"0"
