"Element";"Quota";"Centrality";"Value"
"golubkov";"30";"SRIC_EX";"0.163954916766265"
"golubkov";"30";"Max";"0.0670968085292117"
"serafima";"30";"SRIC_EX";"0.110917650757704"
"serafima";"30";"Max";"0.0548132571725347"
"barabanchikova";"30";"SRIC_EX";"0.011791865328284"
"barabanchikova";"30";"Max";"0.0183612000847878"
"mahrov";"30";"SRIC_EX";"0.011791865328284"
"mahrov";"30";"Max";"0.0183612000847878"
"paisij";"30";"SRIC_EX";"0.011791865328284"
"paisij";"30";"Max";"0.0183612000847878"
"baev";"30";"SRIC_EX";"0.011791865328284"
"baev";"30";"Max";"0.0183612000847878"
"budenovets";"30";"SRIC_EX";"0.011791865328284"
"budenovets";"30";"Max";"0.0183612000847878"
"ljuska";"30";"SRIC_EX";"0.0751732021488804"
"ljuska";"30";"Max";"0.0494387558547712"
"charnota";"30";"SRIC_EX";"0.146938485318346"
"charnota";"30";"Max";"0.0662743411556552"
"de_brizar";"30";"SRIC_EX";"0.0497173699312256"
"de_brizar";"30";"Max";"0.0464428250932952"
"afrikan";"30";"SRIC_EX";"0.0497173699312256"
"afrikan";"30";"Max";"0.0464428250932952"
"igumen";"30";"SRIC_EX";"0.011791865328284"
"igumen";"30";"Max";"0.0183612000847878"
"monahi";"30";"SRIC_EX";"0.011791865328284"
"monahi";"30";"Max";"0.0183612000847878"
"krapilin";"30";"SRIC_EX";"0.0194067657765079"
"krapilin";"30";"Max";"0.0384749927188505"
"hludov";"30";"SRIC_EX";"0.0730497558290434"
"hludov";"30";"Max";"0.0424994389607515"
"golovan";"30";"SRIC_EX";"0.0197270188432657"
"golovan";"30";"Max";"0.0316297609625084"
"pervyj_shtabnoj";"30";"SRIC_EX";"0.0012979755335844"
"pervyj_shtabnoj";"30";"Max";"0.0229999522156331"
"vtoroj_shtabnoj";"30";"SRIC_EX";"0.0012979755335844"
"vtoroj_shtabnoj";"30";"Max";"0.0229999522156331"
"tretij_shtabnoj";"30";"SRIC_EX";"0.0012979755335844"
"tretij_shtabnoj";"30";"Max";"0.0229999522156331"
"komendant";"30";"SRIC_EX";"0.0012979755335844"
"komendant";"30";"Max";"0.0229999522156331"
"nachalnik_stantsii";"30";"SRIC_EX";"0.0012979755335844"
"nachalnik_stantsii";"30";"Max";"0.0229999522156331"
"nikolaevna";"30";"SRIC_EX";"0.0012979755335844"
"nikolaevna";"30";"Max";"0.0229999522156331"
"korzuhin";"30";"SRIC_EX";"0.0303199056285518"
"korzuhin";"30";"Max";"0.036477206033971"
"glavnokomandujuschij";"30";"SRIC_EX";"0.0197270188432657"
"glavnokomandujuschij";"30";"Max";"0.0316297609625084"
"shtabnye";"30";"SRIC_EX";"0.0012979755335844"
"shtabnye";"30";"Max";"0.0229999522156331"
"tihij";"30";"SRIC_EX";"0.00736808581372342"
"tihij";"30";"Max";"0.0290240408822345"
"gurin";"30";"SRIC_EX";"0.0024853361980247"
"gurin";"30";"Max";"0.00988029858953287"
"skunskij";"30";"SRIC_EX";"0.0024853361980247"
"skunskij";"30";"Max";"0.00988029858953287"
"konvojnyj";"30";"SRIC_EX";"0.000299404712982423"
"konvojnyj";"30";"Max";"0.0119173825254073"
"grek-donzhuan";"30";"SRIC_EX";"0.000818219280013726"
"grek-donzhuan";"30";"Max";"0.00992005386350173"
"antuan";"30";"SRIC_EX";"0.000159411876450482"
"antuan";"30";"Max";"0.00927452151153593"
"turchanka_ljubjaschaja_mat";"30";"SRIC_EX";"0.0151228733459357"
"turchanka_ljubjaschaja_mat";"30";"Max";"0.0132617072664395"
"lichiko";"30";"SRIC_EX";"0.0151228733459357"
