"Element";"Quota";"Centrality";"Value"
"Nikolka";"30";"SRIC_EX";"0.150863836310429"
"Nikolka";"30";"Max";"0.0774904069518162"
"Aleksej";"30";"SRIC_EX";"0.0411809245073104"
"Aleksej";"30";"Max";"0.0525885001943753"
"Elena";"30";"SRIC_EX";"0.103866475306505"
"Elena";"30";"Max";"0.0575449663736469"
"Myshlaevskij";"30";"SRIC_EX";"0.150863836310429"
"Myshlaevskij";"30";"Max";"0.0774904069518162"
"Lariosik";"30";"SRIC_EX";"0.103866475306505"
"Lariosik";"30";"Max";"0.0575449663736469"
"Talberg";"30";"SRIC_EX";"0.0202576898744489"
"Talberg";"30";"Max";"0.028454525004198"
"Shervinskij";"30";"SRIC_EX";"0.0792724724410738"
"Shervinskij";"30";"Max";"0.0505524605085182"
"Studzinskij";"30";"SRIC_EX";"0.096300426571244"
"Studzinskij";"30";"Max";"0.0676956123802591"
"Junkera";"30";"SRIC_EX";"0.00406821998916011"
"Junkera";"30";"Max";"0.0314265927384001"
"PervyjOfitser";"30";"SRIC_EX";"0.00406821998916011"
"PervyjOfitser";"30";"Max";"0.0314265927384001"
"VtorojOfitser";"30";"SRIC_EX";"0.00406821998916011"
"VtorojOfitser";"30";"Max";"0.0314265927384001"
"PervyjJunker";"30";"SRIC_EX";"0.00406821998916011"
"PervyjJunker";"30";"Max";"0.0314265927384001"
"Maksim";"30";"SRIC_EX";"0.00406821998916011"
"Maksim";"30";"Max";"0.0314265927384001"
"VtorojJunker";"30";"SRIC_EX";"0.00406821998916011"
"VtorojJunker";"30";"Max";"0.0314265927384001"
"TretijOfitser";"30";"SRIC_EX";"0.00406821998916011"
"TretijOfitser";"30";"Max";"0.0314265927384001"
"TretijJunker";"30";"SRIC_EX";"0.00406821998916011"
"TretijJunker";"30";"Max";"0.0314265927384001"
"Uragan";"30";"SRIC_EX";"0.022936144517462"
"Uragan";"30";"Max";"0.0419239584095577"
"Galanba";"30";"SRIC_EX";"0.022936144517462"
"Galanba";"30";"Max";"0.0419239584095577"
"Kirpatyj";"30";"SRIC_EX";"0.022936144517462"
"Kirpatyj";"30";"Max";"0.0419239584095577"
"Lakej";"30";"SRIC_EX";"0.015340394358636"
"Lakej";"30";"Max";"0.0147673548543546"
"Getman";"30";"SRIC_EX";"0.015340394358636"
"Getman";"30";"Max";"0.0147673548543546"
"Shratt";"30";"SRIC_EX";"0.015340394358636"
"Shratt";"30";"Max";"0.0147673548543546"
"Dust";"30";"SRIC_EX";"0.015340394358636"
"Dust";"30";"Max";"0.0147673548543546"
"Vrach";"30";"SRIC_EX";"0.015340394358636"
"Vrach";"30";"Max";"0.0147673548543546"
"Telefonist";"30";"SRIC_EX";"0.0150943396226415"
"Telefonist";"30";"Max";"0.0159233527708153"
"Bolbotun";"30";"SRIC_EX";"0.0150943396226415"
"Bolbotun";"30";"Max";"0.0159233527708153"
"Dezertir";"30";"SRIC_EX";"0.0150943396226415"
"Dezertir";"30";"Max";"0.0159233527708153"
"ChelovekSKorzinoj";"30";"SRIC_EX";"0.0150943396226415"
"ChelovekSKorzinoj";"30";"Max";"0.0159233527708153"
"Golosa";"30";"SRIC_EX";"0.0150943396226415"
"Golosa";"30";"Max";"0.0159233527708153"
"Nikolka";"50";"SRIC_EX";"0.113270707767257"
"Nikolka";"50";"Max";"0.0930424397317643"
"Aleksej";"50";"SRIC_EX";"0.027315955211429"
"Aleksej";"50";"Max";"0.0514692657644401"
"Elena";"50";"SRIC_EX";"0.0799509069437071"
"Elena";"50";"Max";"0.0824459191631265"
"Myshlaevskij";"50";"SRIC_EX";"0.113270707767257"
"Myshlaevskij";"50";"Max";"0.0930424397317643"
"Lariosik";"50";"SRIC_EX";"0.0799509069437071"
"Lariosik";"50";"Max";"0.0824459191631265"
"Talberg";"50";"SRIC_EX";"0.0164047159415727"
"Talberg";"50";"Max";"0.040895925990046"
"Shervinskij";"50";"SRIC_EX";"0.0832792351603921"
"Shervinskij";"50";"Max";"0.0757635283861557"
"Studzinskij";"50";"SRIC_EX";"0.0850970102500795"
"Studzinskij";"50";"Max";"0.0758538808000827"
"Junkera";"50";"SRIC_EX";"0"
"Junkera";"50";"Max";"0.0171231141640946"
"PervyjOfitser";"50";"SRIC_EX";"0"
"PervyjOfitser";"50";"Max";"0.0171231141640946"
"VtorojOfitser";"50";"SRIC_EX";"0"
"VtorojOfitser";"50";"Max";"0.0171231141640946"
"PervyjJunker";"50";"SRIC_EX";"0"
"PervyjJunker";"50";"Max";"0.0171231141640946"
"Maksim";"50";"SRIC_EX";"0"
"Maksim";"50";"Max";"0.0171231141640946"
"VtorojJunker";"50";"SRIC_EX";"0"
"VtorojJunker";"50";"Max";"0.0171231141640946"
"TretijOfitser";"50";"SRIC_EX";"0"
"TretijOfitser";"50";"Max";"0.0171231141640946"
"TretijJunker";"50";"SRIC_EX";"0"
"TretijJunker";"50";"Max";"0.0171231141640946"
"Uragan";"50";"SRIC_EX";"0.0364963503649635"
"Uragan";"50";"Max";"0.0329440062353995"
"Galanba";"50";"SRIC_EX";"0.0364963503649635"
"Galanba";"50";"Max";"0.0329440062353995"
"Kirpatyj";"50";"SRIC_EX";"0.0364963503649635"
"Kirpatyj";"50";"Max";"0.0329440062353995"
"Lakej";"50";"SRIC_EX";"0.0291970802919708"
"Lakej";"50";"Max";"0.0211880361930638"
"Getman";"50";"SRIC_EX";"0.0291970802919708"
"Getman";"50";"Max";"0.0211880361930638"
"Shratt";"50";"SRIC_EX";"0.0291970802919708"
"Shratt";"50";"Max";"0.0211880361930638"
"Dust";"50";"SRIC_EX";"0.0291970802919708"
"Dust";"50";"Max";"0.0211880361930638"
"Vrach";"50";"SRIC_EX";"0.0291970802919708"
"Vrach";"50";"Max";"0.0211880361930638"
"Telefonist";"50";"SRIC_EX";"0.0291970802919708"
"Telefonist";"50";"Max";"0.012656713657044"
"Bolbotun";"50";"SRIC_EX";"0.0291970802919708"
"Bolbotun";"50";"Max";"0.012656713657044"
"Dezertir";"50";"SRIC_EX";"0.0291970802919708"
"Dezertir";"50";"Max";"0.012656713657044"
"ChelovekSKorzinoj";"50";"SRIC_EX";"0.0291970802919708"
"ChelovekSKorzinoj";"50";"Max";"0.012656713657044"
"Golosa";"50";"SRIC_EX";"0.0291970802919708"
"Golosa";"50";"Max";"0.012656713657044"
"Nikolka";"70";"SRIC_EX";"0.0763888888888889"
"Nikolka";"70";"Max";"0.0972903946685822"
"Aleksej";"70";"SRIC_EX";"0"
"Aleksej";"70";"Max";"0.0441358394189712"
"Elena";"70";"SRIC_EX";"0.0763888888888889"
"Elena";"70";"Max";"0.0691966957979169"
"Myshlaevskij";"70";"SRIC_EX";"0.0763888888888889"
"Myshlaevskij";"70";"Max";"0.0972903946685822"
"Lariosik";"70";"SRIC_EX";"0.0763888888888889"
"Lariosik";"70";"Max";"0.0691966957979169"
"Talberg";"70";"SRIC_EX";"0"
"Talberg";"70";"Max";"0.0371124147013049"
"Shervinskij";"70";"SRIC_EX";"0.138888888888889"
"Shervinskij";"70";"Max";"0.0810886308312383"
"Studzinskij";"70";"SRIC_EX";"0"
"Studzinskij";"70";"Max";"0.0762201205155832"
"Junkera";"70";"SRIC_EX";"0"
"Junkera";"70";"Max";"0"
"PervyjOfitser";"70";"SRIC_EX";"0"
"PervyjOfitser";"70";"Max";"0"
"VtorojOfitser";"70";"SRIC_EX";"0"
"VtorojOfitser";"70";"Max";"0"
"PervyjJunker";"70";"SRIC_EX";"0"
"PervyjJunker";"70";"Max";"0"
"Maksim";"70";"SRIC_EX";"0"
"Maksim";"70";"Max";"0"
"VtorojJunker";"70";"SRIC_EX";"0"
"VtorojJunker";"70";"Max";"0"
"TretijOfitser";"70";"SRIC_EX";"0"
"TretijOfitser";"70";"Max";"0"
"TretijJunker";"70";"SRIC_EX";"0"
"TretijJunker";"70";"Max";"0"
"Uragan";"70";"SRIC_EX";"0"
"Uragan";"70";"Max";"0.035755616744483"
"Galanba";"70";"SRIC_EX";"0"
"Galanba";"70";"Max";"0.035755616744483"
"Kirpatyj";"70";"SRIC_EX";"0"
"Kirpatyj";"70";"Max";"0.035755616744483"
"Lakej";"70";"SRIC_EX";"0.111111111111111"
"Lakej";"70";"Max";"0.0356358992777046"
"Getman";"70";"SRIC_EX";"0.111111111111111"
"Getman";"70";"Max";"0.0356358992777046"
"Shratt";"70";"SRIC_EX";"0.111111111111111"
"Shratt";"70";"Max";"0.0356358992777046"
"Dust";"70";"SRIC_EX";"0.111111111111111"
"Dust";"70";"Max";"0.0356358992777046"
"Vrach";"70";"SRIC_EX";"0.111111111111111"
"Vrach";"70";"Max";"0.0356358992777046"
"Telefonist";"70";"SRIC_EX";"0"
"Telefonist";"70";"Max";"0.0286044933955864"
"Bolbotun";"70";"SRIC_EX";"0"
"Bolbotun";"70";"Max";"0.0286044933955864"
"Dezertir";"70";"SRIC_EX";"0"
"Dezertir";"70";"Max";"0.0286044933955864"
"ChelovekSKorzinoj";"70";"SRIC_EX";"0"
"ChelovekSKorzinoj";"70";"Max";"0.0286044933955864"
"Golosa";"70";"SRIC_EX";"0"
"Golosa";"70";"Max";"0.0286044933955864"
