"Element";"Quota";"Centrality";"Value"
"timofeev";"30";"SRIC_EX";"0.115935742395389"
"timofeev";"30";"Max";"0.0894498702585701"
"zinaida";"30";"SRIC_EX";"0.115935742395389"
"zinaida";"30";"Max";"0.0894498702585701"
"uljana";"30";"SRIC_EX";"0.115935742395389"
"uljana";"30";"Max";"0.0894498702585701"
"miloslavskij";"30";"SRIC_EX";"0.0752597736114908"
"miloslavskij";"30";"Max";"0.0737048675855055"
"bunsha";"30";"SRIC_EX";"0.0752597736114908"
"bunsha";"30";"Max";"0.0737048675855055"
"ioann";"30";"SRIC_EX";"0.115935742395389"
"ioann";"30";"Max";"0.0894498702585701"
"djak";"30";"SRIC_EX";"0.0752597736114908"
"djak";"30";"Max";"0.0737048675855055"
"oprichnik";"30";"SRIC_EX";"0.0109073611134442"
"oprichnik";"30";"Max";"0.0310499276316647"
"shpak";"30";"SRIC_EX";"0.115935742395389"
"shpak";"30";"Max";"0.0894498702585701"
"jakin";"30";"SRIC_EX";"0.00570756208071371"
"jakin";"30";"Max";"0.0232980401872449"
"oprichniki";"30";"SRIC_EX";"0.0296545073324038"
"oprichniki";"30";"Max";"0.0462146796886206"
"posol";"30";"SRIC_EX";"0.0296545073324038"
"posol";"30";"Max";"0.0462146796886206"
"patriarh";"30";"SRIC_EX";"0.0296545073324038"
"patriarh";"30";"Max";"0.0462146796886206"
"tsaritsa";"30";"SRIC_EX";"0.0296545073324038"
"tsaritsa";"30";"Max";"0.0462146796886206"
"gusljary";"30";"SRIC_EX";"0.0296545073324038"
"gusljary";"30";"Max";"0.0462146796886206"
"militsija";"30";"SRIC_EX";"0.0296545073324038"
"militsija";"30";"Max";"0.0462146796886206"
"timofeev";"50";"SRIC_EX";"0.153846153846154"
"timofeev";"50";"Max";"0.0957917387259351"
"zinaida";"50";"SRIC_EX";"0.153846153846154"
"zinaida";"50";"Max";"0.0957917387259351"
"uljana";"50";"SRIC_EX";"0.153846153846154"
"uljana";"50";"Max";"0.0957917387259351"
"miloslavskij";"50";"SRIC_EX";"0.0769230769230769"
"miloslavskij";"50";"Max";"0.0731950936913181"
"bunsha";"50";"SRIC_EX";"0.0769230769230769"
"bunsha";"50";"Max";"0.0731950936913181"
"ioann";"50";"SRIC_EX";"0.153846153846154"
"ioann";"50";"Max";"0.0957917387259351"
"djak";"50";"SRIC_EX";"0.0769230769230769"
"djak";"50";"Max";"0.0731950936913181"
"oprichnik";"50";"SRIC_EX";"0"
"oprichnik";"50";"Max";"0.0388235361266645"
"shpak";"50";"SRIC_EX";"0.153846153846154"
"shpak";"50";"Max";"0.095791738725935"
"jakin";"50";"SRIC_EX";"0"
"jakin";"50";"Max";"0.0270200852725125"
"oprichniki";"50";"SRIC_EX";"0"
"oprichniki";"50";"Max";"0.0392687339828656"
"posol";"50";"SRIC_EX";"0"
"posol";"50";"Max";"0.0392687339828656"
"patriarh";"50";"SRIC_EX";"0"
"patriarh";"50";"Max";"0.0392687339828656"
"tsaritsa";"50";"SRIC_EX";"0"
"tsaritsa";"50";"Max";"0.0392687339828656"
"gusljary";"50";"SRIC_EX";"0"
"gusljary";"50";"Max";"0.0392687339828656"
"militsija";"50";"SRIC_EX";"0"
"militsija";"50";"Max";"0.0392687339828656"
"timofeev";"70";"SRIC_EX";"0.2"
"timofeev";"70";"Max";"0.2"
"zinaida";"70";"SRIC_EX";"0.2"
"zinaida";"70";"Max";"0.2"
"uljana";"70";"SRIC_EX";"0.2"
"uljana";"70";"Max";"0.2"
"miloslavskij";"70";"SRIC_EX";"0"
"miloslavskij";"70";"Max";"0"
"bunsha";"70";"SRIC_EX";"0"
"bunsha";"70";"Max";"0"
"ioann";"70";"SRIC_EX";"0.2"
"ioann";"70";"Max";"0.2"
"djak";"70";"SRIC_EX";"0"
"djak";"70";"Max";"0"
"oprichnik";"70";"SRIC_EX";"0"
"oprichnik";"70";"Max";"0"
"shpak";"70";"SRIC_EX";"0.2"
"shpak";"70";"Max";"0.2"
"jakin";"70";"SRIC_EX";"0"
"jakin";"70";"Max";"0"
"oprichniki";"70";"SRIC_EX";"0"
"oprichniki";"70";"Max";"0"
"posol";"70";"SRIC_EX";"0"
"posol";"70";"Max";"0"
"patriarh";"70";"SRIC_EX";"0"
"patriarh";"70";"Max";"0"
"tsaritsa";"70";"SRIC_EX";"0"
"tsaritsa";"70";"Max";"0"
"gusljary";"70";"SRIC_EX";"0"
"gusljary";"70";"Max";"0"
"militsija";"70";"SRIC_EX";"0"
"militsija";"70";"Max";"0"
