"Element";"Quota";"Centrality";"Value"
"moler";"30";"SRIC_EX";"0.153926756905482"
"moler";"30";"Max";"0.0787985015409289"
"buton";"30";"SRIC_EX";"0.0660590747246793"
"buton";"30";"Max";"0.0582746113217529"
"dju_kruazi";"30";"SRIC_EX";"0.0246821647278196"
"dju_kruazi";"30";"Max";"0.0407616600369624"
"sufler";"30";"SRIC_EX";"0.0246821647278196"
"sufler";"30";"Max";"0.0407616600369624"
"madlena";"30";"SRIC_EX";"0.024857124023326"
"madlena";"30";"Max";"0.0443905053352743"
"sharlatan";"30";"SRIC_EX";"0.00415692906952458"
"sharlatan";"30";"Max";"0.0238180536191107"
"ljudovik";"30";"SRIC_EX";"0.101084551528288"
"ljudovik";"30";"Max";"0.0637185050242013"
"rival";"30";"SRIC_EX";"0.0246821647278196"
"rival";"30";"Max";"0.0407616600369624"
"lagranzh";"30";"SRIC_EX";"0.0716268454207974"
"lagranzh";"30";"Max";"0.0604087559595158"
"armanda";"30";"SRIC_EX";"0.101084551528288"
"armanda";"30";"Max";"0.0637185050242013"
"odnoglazyj";"30";"SRIC_EX";"0.101084551528288"
"odnoglazyj";"30";"Max";"0.0637185050242013"
"muarron";"30";"SRIC_EX";"0.153926756905482"
"muarron";"30";"Max";"0.0787985015409289"
"de_lessak";"30";"SRIC_EX";"0.00597592616222194"
"de_lessak";"30";"Max";"0.0233898334781592"
"pridvornye";"30";"SRIC_EX";"0.00597592616222194"
"pridvornye";"30";"Max";"0.0233898334781592"
"spravedlivyj_sapozhnik";"30";"SRIC_EX";"0.0296383659130833"
"spravedlivyj_sapozhnik";"30";"Max";"0.0447010544349788"
"sharron";"30";"SRIC_EX";"0.0296383659130833"
"sharron";"30";"Max";"0.0447010544349788"
"varfolomej";"30";"SRIC_EX";"0.00597592616222194"
"varfolomej";"30";"Max";"0.0233898334781592"
"brat_vernost";"30";"SRIC_EX";"0.0296383659130833"
"brat_vernost";"30";"Max";"0.0447010544349788"
"brat_sila";"30";"SRIC_EX";"0.00655042347707145"
"brat_sila";"30";"Max";"0.0252986626655602"
"neznakomka_v_maske";"30";"SRIC_EX";"0.00655042347707145"
"neznakomka_v_maske";"30";"Max";"0.0252986626655602"
"chleny_kabaly";"30";"SRIC_EX";"0.00655042347707145"
"chleny_kabaly";"30";"Max";"0.0252986626655602"
"rene";"30";"SRIC_EX";"0.00721740584175206"
"rene";"30";"Max";"0.0206339745876343"
"hor_vrachej";"30";"SRIC_EX";"0.00721740584175206"
"hor_vrachej";"30";"Max";"0.0206339745876343"
"monashka";"30";"SRIC_EX";"0.00721740584175206"
"monashka";"30";"Max";"0.0206339745876343"
"moler";"50";"SRIC_EX";"0"
"moler";"50";"Max";"0.107628207624314"
"buton";"50";"SRIC_EX";"0"
"buton";"50";"Max";"0.0577859117635606"
"dju_kruazi";"50";"SRIC_EX";"0"
"dju_kruazi";"50";"Max";"0.035590514388069"
"sufler";"50";"SRIC_EX";"0"
"sufler";"50";"Max";"0.035590514388069"
"madlena";"50";"SRIC_EX";"0"
"madlena";"50";"Max";"0.0335812468361824"
"sharlatan";"50";"SRIC_EX";"0"
"sharlatan";"50";"Max";"0.0152797788248121"
"ljudovik";"50";"SRIC_EX";"0"
"ljudovik";"50";"Max";"0.0822553638876991"
"rival";"50";"SRIC_EX";"0"
"rival";"50";"Max";"0.035590514388069"
"lagranzh";"50";"SRIC_EX";"0"
"lagranzh";"50";"Max";"0.0679101281102761"
"armanda";"50";"SRIC_EX";"0"
"armanda";"50";"Max";"0.0822553638876991"
"odnoglazyj";"50";"SRIC_EX";"0"
"odnoglazyj";"50";"Max";"0.0822553638876991"
"muarron";"50";"SRIC_EX";"0"
"muarron";"50";"Max";"0.107628207624314"
"de_lessak";"50";"SRIC_EX";"0"
"de_lessak";"50";"Max";"0.00856664460106694"
"pridvornye";"50";"SRIC_EX";"0"
"pridvornye";"50";"Max";"0.00856664460106694"
"spravedlivyj_sapozhnik";"50";"SRIC_EX";"0"
"spravedlivyj_sapozhnik";"50";"Max";"0.0447801876873953"
"sharron";"50";"SRIC_EX";"0"
"sharron";"50";"Max";"0.0447801876873953"
"varfolomej";"50";"SRIC_EX";"0"
"varfolomej";"50";"Max";"0.00856664460106694"
"brat_vernost";"50";"SRIC_EX";"0"
"brat_vernost";"50";"Max";"0.0447801876873953"
"brat_sila";"50";"SRIC_EX";"0"
"brat_sila";"50";"Max";"0.0093454304738912"
"neznakomka_v_maske";"50";"SRIC_EX";"0"
"neznakomka_v_maske";"50";"Max";"0.0093454304738912"
"chleny_kabaly";"50";"SRIC_EX";"0"
"chleny_kabaly";"50";"Max";"0.0093454304738912"
"rene";"50";"SRIC_EX";"0"
"rene";"50";"Max";"0.0228573653673922"
"hor_vrachej";"50";"SRIC_EX";"0"
"hor_vrachej";"50";"Max";"0.0228573653673922"
"monashka";"50";"SRIC_EX";"0"
"monashka";"50";"Max";"0.0228573653673922"
"moler";"70";"SRIC_EX";"0"
"moler";"70";"Max";"0"
"buton";"70";"SRIC_EX";"0"
"buton";"70";"Max";"0"
"dju_kruazi";"70";"SRIC_EX";"0"
"dju_kruazi";"70";"Max";"0"
"sufler";"70";"SRIC_EX";"0"
"sufler";"70";"Max";"0"
"madlena";"70";"SRIC_EX";"0"
"madlena";"70";"Max";"0"
"sharlatan";"70";"SRIC_EX";"0"
"sharlatan";"70";"Max";"0"
"ljudovik";"70";"SRIC_EX";"0"
"ljudovik";"70";"Max";"0"
"rival";"70";"SRIC_EX";"0"
"rival";"70";"Max";"0"
"lagranzh";"70";"SRIC_EX";"0"
"lagranzh";"70";"Max";"0"
"armanda";"70";"SRIC_EX";"0"
"armanda";"70";"Max";"0"
"odnoglazyj";"70";"SRIC_EX";"0"
"odnoglazyj";"70";"Max";"0"
"muarron";"70";"SRIC_EX";"0"
"muarron";"70";"Max";"0"
"de_lessak";"70";"SRIC_EX";"0"
"de_lessak";"70";"Max";"0"
"pridvornye";"70";"SRIC_EX";"0"
"pridvornye";"70";"Max";"0"
"spravedlivyj_sapozhnik";"70";"SRIC_EX";"0"
"spravedlivyj_sapozhnik";"70";"Max";"0"
"sharron";"70";"SRIC_EX";"0"
"sharron";"70";"Max";"0"
"varfolomej";"70";"SRIC_EX";"0"
"varfolomej";"70";"Max";"0"
"brat_vernost";"70";"SRIC_EX";"0"
"brat_vernost";"70";"Max";"0"
"brat_sila";"70";"SRIC_EX";"0"
"brat_sila";"70";"Max";"0"
"neznakomka_v_maske";"70";"SRIC_EX";"0"
"neznakomka_v_maske";"70";"Max";"0"
"chleny_kabaly";"70";"SRIC_EX";"0"
"chleny_kabaly";"70";"Max";"0"
"rene";"70";"SRIC_EX";"0"
"rene";"70";"Max";"0"
"hor_vrachej";"70";"SRIC_EX";"0"
"hor_vrachej";"70";"Max";"0"
"monashka";"70";"SRIC_EX";"0"
"monashka";"70";"Max";"0"
