"Element";"Quota";"Centrality";"Value"
"bezhar";"30";"SRIC_EX";"0.00854224698235841"
"bezhar";"30";"Max";"0.0531280638066721"
"brendavuan";"30";"SRIC_EX";"0.168739011043284"
"brendavuan";"30";"Max";"0.0676753491083495"
"juber";"30";"SRIC_EX";"0"
"juber";"30";"Max";"0.0280214102122473"
"dju_kruazi";"30";"SRIC_EX";"0"
"dju_kruazi";"30";"Max";"0.0280214102122473"
"uchitel_tantsev";"30";"SRIC_EX";"0.00854224698235841"
"uchitel_tantsev";"30";"Max";"0.0531280638066721"
"uchitel_muzyki";"30";"SRIC_EX";"0.00854224698235841"
"uchitel_muzyki";"30";"Max";"0.0531280638066721"
"zhurden";"30";"SRIC_EX";"0.168739011043284"
"zhurden";"30";"Max";"0.0676753491083495"
"uchitel_fehtovanija";"30";"SRIC_EX";"0.00854224698235841"
"uchitel_fehtovanija";"30";"Max";"0.0531280638066721"
"pevets";"30";"SRIC_EX";"0"
"pevets";"30";"Max";"0.0280214102122473"
"pevitsa";"30";"SRIC_EX";"0"
"pevitsa";"30";"Max";"0.0280214102122473"
"nikol";"30";"SRIC_EX";"0.168739011043284"
"nikol";"30";"Max";"0.0676753491083495"
"pankrass";"30";"SRIC_EX";"0.00854224698235841"
"pankrass";"30";"Max";"0.0531280638066721"
"statuja";"30";"SRIC_EX";"0"
"statuja";"30";"Max";"0.0280214102122473"
"don_zhuan";"30";"SRIC_EX";"0"
"don_zhuan";"30";"Max";"0.0280214102122473"
"gospozha_zhurden";"30";"SRIC_EX";"0.168739011043284"
"gospozha_zhurden";"30";"Max";"0.0676753491083495"
"dorant";"30";"SRIC_EX";"0.168739011043284"
"dorant";"30";"Max";"0.0676753491083495"
"kovel";"30";"SRIC_EX";"0.0254904284952291"
"kovel";"30";"Max";"0.0428734200694242"
"portnoj";"30";"SRIC_EX";"0.00581599794543552"
"portnoj";"30";"Max";"0.0281803969368558"
"kleont";"30";"SRIC_EX";"0.0254904284952291"
"kleont";"30";"Max";"0.0428734200694242"
"dorimena";"30";"SRIC_EX";"0.0254904284952291"
"dorimena";"30";"Max";"0.0428734200694242"
"ljusil";"30";"SRIC_EX";"0.0254904284952291"
"ljusil";"30";"Max";"0.0428734200694242"
"notarius";"30";"SRIC_EX";"0.00581599794543552"
"notarius";"30";"Max";"0.0281803969368558"
"bezhar";"50";"SRIC_EX";"0"
"bezhar";"50";"Max";"0"
"brendavuan";"50";"SRIC_EX";"0"
"brendavuan";"50";"Max";"0.125"
"juber";"50";"SRIC_EX";"0"
"juber";"50";"Max";"0"
"dju_kruazi";"50";"SRIC_EX";"0"
"dju_kruazi";"50";"Max";"0"
"uchitel_tantsev";"50";"SRIC_EX";"0"
"uchitel_tantsev";"50";"Max";"0"
"uchitel_muzyki";"50";"SRIC_EX";"0"
"uchitel_muzyki";"50";"Max";"0"
"zhurden";"50";"SRIC_EX";"0"
"zhurden";"50";"Max";"0.125"
"uchitel_fehtovanija";"50";"SRIC_EX";"0"
"uchitel_fehtovanija";"50";"Max";"0"
"pevets";"50";"SRIC_EX";"0"
"pevets";"50";"Max";"0"
"pevitsa";"50";"SRIC_EX";"0"
"pevitsa";"50";"Max";"0"
"nikol";"50";"SRIC_EX";"0"
"nikol";"50";"Max";"0.125"
"pankrass";"50";"SRIC_EX";"0"
"pankrass";"50";"Max";"0"
"statuja";"50";"SRIC_EX";"0"
"statuja";"50";"Max";"0"
"don_zhuan";"50";"SRIC_EX";"0"
"don_zhuan";"50";"Max";"0"
"gospozha_zhurden";"50";"SRIC_EX";"0"
"gospozha_zhurden";"50";"Max";"0.125"
"dorant";"50";"SRIC_EX";"0"
"dorant";"50";"Max";"0.125"
"kovel";"50";"SRIC_EX";"0"
"kovel";"50";"Max";"0.09375"
"portnoj";"50";"SRIC_EX";"0"
"portnoj";"50";"Max";"0"
"kleont";"50";"SRIC_EX";"0"
"kleont";"50";"Max";"0.09375"
"dorimena";"50";"SRIC_EX";"0"
"dorimena";"50";"Max";"0.09375"
"ljusil";"50";"SRIC_EX";"0"
"ljusil";"50";"Max";"0.09375"
"notarius";"50";"SRIC_EX";"0"
"notarius";"50";"Max";"0"
"bezhar";"70";"SRIC_EX";"0"
"bezhar";"70";"Max";"0"
"brendavuan";"70";"SRIC_EX";"0"
"brendavuan";"70";"Max";"0"
"juber";"70";"SRIC_EX";"0"
"juber";"70";"Max";"0"
"dju_kruazi";"70";"SRIC_EX";"0"
"dju_kruazi";"70";"Max";"0"
"uchitel_tantsev";"70";"SRIC_EX";"0"
"uchitel_tantsev";"70";"Max";"0"
"uchitel_muzyki";"70";"SRIC_EX";"0"
"uchitel_muzyki";"70";"Max";"0"
"zhurden";"70";"SRIC_EX";"0"
"zhurden";"70";"Max";"0"
"uchitel_fehtovanija";"70";"SRIC_EX";"0"
"uchitel_fehtovanija";"70";"Max";"0"
"pevets";"70";"SRIC_EX";"0"
"pevets";"70";"Max";"0"
"pevitsa";"70";"SRIC_EX";"0"
"pevitsa";"70";"Max";"0"
"nikol";"70";"SRIC_EX";"0"
"nikol";"70";"Max";"0"
"pankrass";"70";"SRIC_EX";"0"
"pankrass";"70";"Max";"0"
"statuja";"70";"SRIC_EX";"0"
"statuja";"70";"Max";"0"
"don_zhuan";"70";"SRIC_EX";"0"
"don_zhuan";"70";"Max";"0"
"gospozha_zhurden";"70";"SRIC_EX";"0"
"gospozha_zhurden";"70";"Max";"0"
"dorant";"70";"SRIC_EX";"0"
"dorant";"70";"Max";"0"
"kovel";"70";"SRIC_EX";"0"
"kovel";"70";"Max";"0"
"portnoj";"70";"SRIC_EX";"0"
"portnoj";"70";"Max";"0"
"kleont";"70";"SRIC_EX";"0"
"kleont";"70";"Max";"0"
"dorimena";"70";"SRIC_EX";"0"
"dorimena";"70";"Max";"0"
"ljusil";"70";"SRIC_EX";"0"
"ljusil";"70";"Max";"0"
"notarius";"70";"SRIC_EX";"0"
"notarius";"70";"Max";"0"
