"Element";"Quota";"Centrality";"Value"
"goncharova";"30";"SRIC_EX";"0.1027665484868"
"goncharova";"30";"Max";"0.0603443269253879"
"bitkov";"30";"SRIC_EX";"0.0934539815686703"
"bitkov";"30";"Max";"0.0594741092963545"
"nikita";"30";"SRIC_EX";"0.0206330832805459"
"nikita";"30";"Max";"0.0288023391288623"
"shishkin";"30";"SRIC_EX";"0.00458188004740158"
"shishkin";"30";"Max";"0.0177063505148496"
"pushkina";"30";"SRIC_EX";"0.1027665484868"
"pushkina";"30";"Max";"0.0603443269253879"
"dantes";"30";"SRIC_EX";"0.0638770843686903"
"dantes";"30";"Max";"0.0434991240237507"
"nikolaj";"30";"SRIC_EX";"0.0252709251341681"
"nikolaj";"30";"Max";"0.0390007321031233"
"kamerjunker";"30";"SRIC_EX";"0.0123383134185925"
"kamerjunker";"30";"Max";"0.0264800119669117"
"zhukovskij";"30";"SRIC_EX";"0.0629294315182638"
"zhukovskij";"30";"Max";"0.0487216055407423"
"voroncova";"30";"SRIC_EX";"0.044078773110738"
"voroncova";"30";"Max";"0.0394695595412702"
"voroncov";"30";"SRIC_EX";"0.0123383134185925"
"voroncov";"30";"Max";"0.0264800119669117"
"dolgorukov";"30";"SRIC_EX";"0.044078773110738"
"dolgorukov";"30";"Max";"0.0394695595412702"
"bogomazov";"30";"SRIC_EX";"0.0823296724505848"
"bogomazov";"30";"Max";"0.0506829124803722"
"gekkeren";"30";"SRIC_EX";"0.0386342922936944"
"gekkeren";"30";"Max";"0.0369558802399881"
"danzas";"30";"SRIC_EX";"0.0332111163686076"
"danzas";"30";"Max";"0.0355821759549443"
"gornichnaja_devushka";"30";"SRIC_EX";"0.0102382017733084"
"gornichnaja_devushka";"30";"Max";"0.0195912677656772"
"dal";"30";"SRIC_EX";"0.0102382017733084"
"dal";"30";"Max";"0.0195912677656772"
"dubelt";"30";"SRIC_EX";"0.0253900840547893"
"dubelt";"30";"Max";"0.0319387505997107"
"rakeev";"30";"SRIC_EX";"0.0300557939953037"
"rakeev";"30";"Max";"0.0361457262712795"
"vasilij_maksimovich";"30";"SRIC_EX";"0.00871072282914698"
