"Element";"Quota";"Centrality";"Value"
"Medvedenko";"30";"SRIC_EX";"0.0787353633281637"
"Medvedenko";"30";"Max";"0.0862761324210871"
"Masha";"30";"SRIC_EX";"0.0981897201120166"
"Masha";"30";"Max";"0.0951427066437191"
"Sorin";"30";"SRIC_EX";"0.107214917075116"
"Sorin";"30";"Max";"0.108830616263591"
"Treplev";"30";"SRIC_EX";"0.0794776336502632"
"Treplev";"30";"Max";"0.0851631790751534"
"Arkadina";"30";"SRIC_EX";"0.202092381800239"
"Arkadina";"30";"Max";"0.14255018430832"
"Trigorin";"30";"SRIC_EX";"0.0792481793633154"
"Trigorin";"30";"Max";"0.0906120113847384"
"Dorn";"30";"SRIC_EX";"0.120979971254286"
"Dorn";"30";"Max";"0.105529973023116"
"PolinaAndreevna";"30";"SRIC_EX";"0.100125015038825"
"PolinaAndreevna";"30";"Max";"0.0944365029127973"
"Shamraev";"30";"SRIC_EX";"0.0779372260037472"
"Shamraev";"30";"Max";"0.0878325554029591"
"Nina";"30";"SRIC_EX";"0.0498475755690252"
"Nina";"30";"Max";"0.070691424322449"
"Jakov";"30";"SRIC_EX";"0.0040585066180254"
"Jakov";"30";"Max";"0.0197855764908234"
"Povar";"30";"SRIC_EX";"0.00209351018697805"
"Povar";"30";"Max";"0.0131491377512463"
"Medvedenko";"50";"SRIC_EX";"0.0703726546790826"
"Medvedenko";"50";"Max";"0.0848623907887406"
"Masha";"50";"SRIC_EX";"0.0925677893751173"
"Masha";"50";"Max";"0.096841333124758"
"Sorin";"50";"SRIC_EX";"0.125624238438467"
"Sorin";"50";"Max";"0.10475505747964"
"Treplev";"50";"SRIC_EX";"0.0716033027239854"
"Treplev";"50";"Max";"0.0861538562605314"
"Arkadina";"50";"SRIC_EX";"0.203969142817374"
"Arkadina";"50";"Max";"0.150940965957261"
"Trigorin";"50";"SRIC_EX";"0.0808358143292927"
"Trigorin";"50";"Max";"0.0871874978876752"
"Dorn";"50";"SRIC_EX";"0.127734153474968"
"Dorn";"50";"Max";"0.111091211809912"
"PolinaAndreevna";"50";"SRIC_EX";"0.0994987521501546"
"PolinaAndreevna";"50";"Max";"0.0987734298510451"
"Shamraev";"50";"SRIC_EX";"0.0866936339469224"
"Shamraev";"50";"Max";"0.0833736435686542"
"Nina";"50";"SRIC_EX";"0.0367870753649894"
"Nina";"50";"Max";"0.0678619062603702"
"Jakov";"50";"SRIC_EX";"0.00286215843212715"
"Jakov";"50";"Max";"0.0172553967361517"
"Povar";"50";"SRIC_EX";"0.00145128426752006"
"Povar";"50";"Max";"0.010903310275261"
"Medvedenko";"70";"SRIC_EX";"0"
"Medvedenko";"70";"Max";"0.0849679754995195"
"Masha";"70";"SRIC_EX";"0"
"Masha";"70";"Max";"0.0981329778036274"
"Sorin";"70";"SRIC_EX";"0"
"Sorin";"70";"Max";"0.104707244894002"
"Treplev";"70";"SRIC_EX";"0.169154228855721"
"Treplev";"70";"Max";"0.0866190436766145"
"Arkadina";"70";"SRIC_EX";"0.260364842454395"
"Arkadina";"70";"Max";"0.153624315184852"
"Trigorin";"70";"SRIC_EX";"0.129353233830846"
"Trigorin";"70";"Max";"0.0866699974583715"
"Dorn";"70";"SRIC_EX";"0"
"Dorn";"70";"Max";"0.112799324367947"
"PolinaAndreevna";"70";"SRIC_EX";"0"
"PolinaAndreevna";"70";"Max";"0.0998820381249563"
"Shamraev";"70";"SRIC_EX";"0.260364842454395"
"Shamraev";"70";"Max";"0.0836207591872826"
"Nina";"70";"SRIC_EX";"0"
"Nina";"70";"Max";"0.0665002625763838"
"Jakov";"70";"SRIC_EX";"0.111111111111111"
"Jakov";"70";"Max";"0.0149500362084097"
"Povar";"70";"SRIC_EX";"0.0696517412935323"
"Povar";"70";"Max";"0.00752602501803387"
