"Element";"Quota";"Centrality";"Value"
"Marina";"30";"SRIC_EX";"0.0410958003165834"
"Marina";"30";"Max";"0.0800471252011932"
"Astrov";"30";"SRIC_EX";"0.130039043358263"
"Astrov";"30";"Max";"0.12968310080337"
"Vojnitskij";"30";"SRIC_EX";"0.240013695028407"
"Vojnitskij";"30";"Max";"0.175677654152246"
"Sonja";"30";"SRIC_EX";"0.202859071490534"
"Sonja";"30";"Max";"0.157253888174797"
"Serebrjakov";"30";"SRIC_EX";"0.0921330645947028"
"Serebrjakov";"30";"Max";"0.115885751885613"
"Telegin";"30";"SRIC_EX";"0.077096187365569"
"Telegin";"30";"Max";"0.0943568987112726"
"MarijaVasilevna";"30";"SRIC_EX";"0.0457264908446288"
"MarijaVasilevna";"30";"Max";"0.0675249646866564"
"ElenaAndreevna";"30";"SRIC_EX";"0.169241222526176"
"ElenaAndreevna";"30";"Max";"0.152261079581656"
"Rabotnik";"30";"SRIC_EX";"0.00179542447513647"
"Rabotnik";"30";"Max";"0.0273095368031962"
"GolosStorozha";"30";"SRIC_EX";"0"
"GolosStorozha";"30";"Max";"0"
"Marina";"50";"SRIC_EX";"0.0314289483129655"
"Marina";"50";"Max";"0.0718632486680143"
"Astrov";"50";"SRIC_EX";"0.125318166587492"
"Astrov";"50";"Max";"0.126528858019358"
"Vojnitskij";"50";"SRIC_EX";"0.266160176559662"
"Vojnitskij";"50";"Max";"0.189590131672268"
"Sonja";"50";"SRIC_EX";"0.200567880540531"
"Sonja";"50";"Max";"0.160564276704045"
"Serebrjakov";"50";"SRIC_EX";"0.0974971274838638"
"Serebrjakov";"50";"Max";"0.109680631678549"
"Telegin";"50";"SRIC_EX";"0.0631985095490481"
"Telegin";"50";"Max";"0.0900123277895805"
"MarijaVasilevna";"50";"SRIC_EX";"0.037821344207752"
"MarijaVasilevna";"50";"Max";"0.0698823597894957"
"ElenaAndreevna";"50";"SRIC_EX";"0.176741988766533"
"ElenaAndreevna";"50";"Max";"0.152616924573923"
"Rabotnik";"50";"SRIC_EX";"0.00112635837122754"
"Rabotnik";"50";"Max";"0.019502309144108"
"GolosStorozha";"50";"SRIC_EX";"0.000139499620924943"
"GolosStorozha";"50";"Max";"0.00975893196065741"
"Marina";"70";"SRIC_EX";"0.0250817527795945"
"Marina";"70";"Max";"0.0698000244865283"
"Astrov";"70";"SRIC_EX";"0.152157759608063"
"Astrov";"70";"Max";"0.127563507600221"
"Vojnitskij";"70";"SRIC_EX";"0.223726792674565"
"Vojnitskij";"70";"Max";"0.193611878621077"
"Sonja";"70";"SRIC_EX";"0.217615831853448"
"Sonja";"70";"Max";"0.164448187206358"
"Serebrjakov";"70";"SRIC_EX";"0.0952877012635418"
"Serebrjakov";"70";"Max";"0.108757017896815"
"Telegin";"70";"SRIC_EX";"0.0497613194044387"
"Telegin";"70";"Max";"0.09153023496896"
"MarijaVasilevna";"70";"SRIC_EX";"0.0140563213385439"
"MarijaVasilevna";"70";"Max";"0.0717715995274758"
"ElenaAndreevna";"70";"SRIC_EX";"0.222312521077806"
"ElenaAndreevna";"70";"Max";"0.155335282905784"
"Rabotnik";"70";"SRIC_EX";"0"
"Rabotnik";"70";"Max";"0.0171822667867813"
"GolosStorozha";"70";"SRIC_EX";"0"
"GolosStorozha";"70";"Max";"0"
