"Element";"Quota";"Centrality";"Value"
"Ivanov";"30";"SRIC_EX";"0.143481090696113"
"Ivanov";"30";"Max";"0.10618865604307"
"Borkin";"30";"SRIC_EX";"0.0839000690347656"
"Borkin";"30";"Max";"0.0838290411019627"
"AnnaPetrovna";"30";"SRIC_EX";"0.0120756146344231"
"AnnaPetrovna";"30";"Max";"0.0385226535420056"
"Shabelskij";"30";"SRIC_EX";"0.122681047722713"
"Shabelskij";"30";"Max";"0.0956278756908285"
"Lvov";"30";"SRIC_EX";"0.0500184171891064"
"Lvov";"30";"Max";"0.0696878692887256"
"ZinaidaSavishna";"30";"SRIC_EX";"0.084202371334466"
"ZinaidaSavishna";"30";"Max";"0.0762574935100164"
"Lebedev";"30";"SRIC_EX";"0.143041573767827"
"Lebedev";"30";"Max";"0.108860488790397"
"Babakina";"30";"SRIC_EX";"0.0767588024220911"
"Babakina";"30";"Max";"0.0694760310573926"
"Sasha";"30";"SRIC_EX";"0.0982432442303703"
"Sasha";"30";"Max";"0.096193412732675"
"Baryshni";"30";"SRIC_EX";"0.0028555044063592"
"Baryshni";"30";"Max";"0.0167977914563537"
"AvdotjaNazarovna";"30";"SRIC_EX";"0.0596886246254409"
"AvdotjaNazarovna";"30";"Max";"0.0605412934781892"
"GolosaVZale";"30";"SRIC_EX";"0.000516029694702047"
"GolosaVZale";"30";"Max";"0.0120059929982843"
"Kosyh";"30";"SRIC_EX";"0.0385529210226897"
"Kosyh";"30";"Max";"0.0482465526527518"
"PerviyGost";"30";"SRIC_EX";"0.0303482959755858"
"PerviyGost";"30";"Max";"0.0393645665981634"
"Egorushka";"30";"SRIC_EX";"0.00821721522695572"
"Egorushka";"30";"Max";"0.0177039633111379"
"VtorojGost";"30";"SRIC_EX";"0.00821721522695572"
"VtorojGost";"30";"Max";"0.0177039633111379"
"TretijGost";"30";"SRIC_EX";"0.0372019627894354"
"TretijGost";"30";"Max";"0.0429923544369085"
"Ivanov";"50";"SRIC_EX";"0.177110651524893"
"Ivanov";"50";"Max";"0.108931499151353"
"Borkin";"50";"SRIC_EX";"0.0843310349688169"
"Borkin";"50";"Max";"0.0784686890420385"
"AnnaPetrovna";"50";"SRIC_EX";"0.0125184418027523"
"AnnaPetrovna";"50";"Max";"0.0344831969575468"
"Shabelskij";"50";"SRIC_EX";"0.140360897183832"
"Shabelskij";"50";"Max";"0.100238194095458"
"Lvov";"50";"SRIC_EX";"0.0488921295508985"
"Lvov";"50";"Max";"0.0649639765651157"
"ZinaidaSavishna";"50";"SRIC_EX";"0.0647320216930683"
"ZinaidaSavishna";"50";"Max";"0.0784458283316983"
"Lebedev";"50";"SRIC_EX";"0.150389831705895"
"Lebedev";"50";"Max";"0.113886988485559"
"Babakina";"50";"SRIC_EX";"0.0740577633284853"
"Babakina";"50";"Max";"0.0720418199494521"
"Sasha";"50";"SRIC_EX";"0.118413289834586"
"Sasha";"50";"Max";"0.0913402980490858"
"Baryshni";"50";"SRIC_EX";"0.00206453219730559"
"Baryshni";"50";"Max";"0.0167025800249518"
"AvdotjaNazarovna";"50";"SRIC_EX";"0.0441861834935247"
"AvdotjaNazarovna";"50";"Max";"0.0616419151955138"
"GolosaVZale";"50";"SRIC_EX";"0.000226208741492584"
