"Element";"Quota";"Centrality";"Value"
"Hirin";"30";"SRIC_EX";"0.141698785303635"
"Hirin";"30";"Max";"0.238197424892704"
"Shipuchin";"30";"SRIC_EX";"0.380310523289247"
"Shipuchin";"30";"Max";"0.21244635193133"
"Merchutkina";"30";"SRIC_EX";"0.292639619024058"
"Merchutkina";"30";"Max";"0.225321888412017"
"TatjanaAlekseevna";"30";"SRIC_EX";"0.164211986951653"
"TatjanaAlekseevna";"30";"Max";"0.231759656652361"
"ChlenBanka";"30";"SRIC_EX";"0.0211390854314074"
"ChlenBanka";"30";"Max";"0.092274678111588"
"Hirin";"50";"SRIC_EX";"0.212424433501481"
"Hirin";"50";"Max";"0.208968258211695"
"Shipuchin";"50";"SRIC_EX";"0.282652067152427"
"Shipuchin";"50";"Max";"0.271792404070648"
"Merchutkina";"50";"SRIC_EX";"0.245150732644727"
"Merchutkina";"50";"Max";"0.242028908018321"
"TatjanaAlekseevna";"50";"SRIC_EX";"0.252566425120773"
"TatjanaAlekseevna";"50";"Max";"0.213334759129551"
"ChlenBanka";"50";"SRIC_EX";"0.00720634158059092"
"ChlenBanka";"50";"Max";"0.0638756705697838"
"Hirin";"70";"SRIC_EX";"0.157926851154374"
"Hirin";"70";"Max";"0.202955461403327"
"Shipuchin";"70";"SRIC_EX";"0.350736689362652"
"Shipuchin";"70";"Max";"0.301333057765837"
"Merchutkina";"70";"SRIC_EX";"0.298834932581617"
"Merchutkina";"70";"Max";"0.233956804794874"
"TatjanaAlekseevna";"70";"SRIC_EX";"0.170342609708541"
"TatjanaAlekseevna";"70";"Max";"0.193965071819779"
"ChlenBanka";"70";"SRIC_EX";"0.0221589171928156"
"ChlenBanka";"70";"Max";"0.0677896042161827"
