"Element";"Quota";"Centrality";"Value"
"Julja";"30";"SRIC_EX";"0.112181499333659"
"Julja";"30";"Max";"0.100328572800318"
"Zheltuhin";"30";"SRIC_EX";"0.0877182035986001"
"Zheltuhin";"30";"Max";"0.0866322038671934"
"Orlovskij";"30";"SRIC_EX";"0.16223730704817"
"Orlovskij";"30";"Max";"0.127115497515877"
"Vojnitskij";"30";"SRIC_EX";"0.0932516133988059"
"Vojnitskij";"30";"Max";"0.0931048502643898"
"Djadin";"30";"SRIC_EX";"0.111326966422229"
"Djadin";"30";"Max";"0.100314168449255"
"FedorIvanovich";"30";"SRIC_EX";"0.083853459975044"
"FedorIvanovich";"30";"Max";"0.0833728688394581"
"Vasilij";"30";"SRIC_EX";"0.0010297496243192"
"Vasilij";"30";"Max";"0.0110339289016156"
"Serebrjakov";"30";"SRIC_EX";"0.0956683314508444"
"Serebrjakov";"30";"Max";"0.0920404816676788"
"MarjaVasilevna";"30";"SRIC_EX";"0.0218014009441689"
"MarjaVasilevna";"30";"Max";"0.042335710326125"
"Sonja";"30";"SRIC_EX";"0.0853412595925662"
"Sonja";"30";"Max";"0.0868858609761546"
"Hruschov";"30";"SRIC_EX";"0.0625428140206253"
"Hruschov";"30";"Max";"0.0745833779543506"
"ElenaAndreevna";"30";"SRIC_EX";"0.0785248912181432"
"ElenaAndreevna";"30";"Max";"0.081236602824769"
"Semen";"30";"SRIC_EX";"0.00452250337282412"
"Semen";"30";"Max";"0.0210158756128161"
"Julja";"50";"SRIC_EX";"0.134413032747168"
"Julja";"50";"Max";"0.101102357021186"
"Zheltuhin";"50";"SRIC_EX";"0.0674244406556771"
"Zheltuhin";"50";"Max";"0.0870833511017941"
"Orlovskij";"50";"SRIC_EX";"0.237726322991902"
"Orlovskij";"50";"Max";"0.128151520149074"
"Vojnitskij";"50";"SRIC_EX";"0.088531823987615"
"Vojnitskij";"50";"Max";"0.0918984721254143"
"Djadin";"50";"SRIC_EX";"0.116971147248957"
"Djadin";"50";"Max";"0.101151921771048"
"FedorIvanovich";"50";"SRIC_EX";"0.0715812311098438"
"FedorIvanovich";"50";"Max";"0.0843091371312635"
"Vasilij";"50";"SRIC_EX";"0"
"Vasilij";"50";"Max";"0.0101494147432212"
"Serebrjakov";"50";"SRIC_EX";"0.100266025607965"
"Serebrjakov";"50";"Max";"0.0928781736162946"
"MarjaVasilevna";"50";"SRIC_EX";"0.00281460715679978"
"MarjaVasilevna";"50";"Max";"0.0418528389544647"
"Sonja";"50";"SRIC_EX";"0.0919476159693203"
"Sonja";"50";"Max";"0.0872725016922531"
"Hruschov";"50";"SRIC_EX";"0.0443324826470733"
"Hruschov";"50";"Max";"0.0728636138619461"
"ElenaAndreevna";"50";"SRIC_EX";"0.0439912698776785"
"ElenaAndreevna";"50";"Max";"0.0816897446563426"
"Semen";"50";"SRIC_EX";"0"
"Semen";"50";"Max";"0.0195969531756977"
"Julja";"70";"SRIC_EX";"0"
"Julja";"70";"Max";"0.104253161479221"
"Zheltuhin";"70";"SRIC_EX";"0"
"Zheltuhin";"70";"Max";"0.0931444367381596"
"Orlovskij";"70";"SRIC_EX";"0"
"Orlovskij";"70";"Max";"0.132990975389847"
"Vojnitskij";"70";"SRIC_EX";"0"
"Vojnitskij";"70";"Max";"0.100220091607562"
"Djadin";"70";"SRIC_EX";"0"
"Djadin";"70";"Max";"0.123531057233993"
"FedorIvanovich";"70";"SRIC_EX";"0"
"FedorIvanovich";"70";"Max";"0.0930798466580538"
"Vasilij";"70";"SRIC_EX";"0"
"Vasilij";"70";"Max";"0"
"Serebrjakov";"70";"SRIC_EX";"0"
"Serebrjakov";"70";"Max";"0.112709189221242"
"MarjaVasilevna";"70";"SRIC_EX";"0"
"MarjaVasilevna";"70";"Max";"0.0208573457098374"
"Sonja";"70";"SRIC_EX";"0"
"Sonja";"70";"Max";"0.089863077663708"
"Hruschov";"70";"SRIC_EX";"0"
"Hruschov";"70";"Max";"0.0619345818048166"
"ElenaAndreevna";"70";"SRIC_EX";"0"
"ElenaAndreevna";"70";"Max";"0.0674162364935579"
"Semen";"70";"SRIC_EX";"0"
"Semen";"70";"Max";"0"
