"Element";"Quota";"Centrality";"Value"
"Luka";"30";"SRIC_EX";"0.346153846153846"
"Luka";"30";"Max";"0.326923076923077"
"Popova";"30";"SRIC_EX";"0.346153846153846"
"Popova";"30";"Max";"0.326923076923077"
"Smirnov";"30";"SRIC_EX";"0.307692307692308"
"Smirnov";"30";"Max";"0.346153846153846"
"Luka";"50";"SRIC_EX";"0.5"
"Luka";"50";"Max";"0.5"
"Popova";"50";"SRIC_EX";"0.5"
"Popova";"50";"Max";"0.5"
"Smirnov";"50";"SRIC_EX";"0"
"Smirnov";"50";"Max";"0"
"Luka";"70";"SRIC_EX";"0.33710407239819"
"Luka";"70";"Max";"0.346153846153846"
"Popova";"70";"SRIC_EX";"0.33710407239819"
"Popova";"70";"Max";"0.346153846153846"
"Smirnov";"70";"SRIC_EX";"0.32579185520362"
"Smirnov";"70";"Max";"0.307692307692308"
