"Element";"Quota";"Centrality";"Value"
"efimovna";"30";"SRIC_EX";"0.11257315490309"
"efimovna";"30";"Max";"0.106387321400632"
"nazarovna";"30";"SRIC_EX";"0.0756725701324938"
"nazarovna";"30";"Max";"0.089229438232541"
"savva";"30";"SRIC_EX";"0.11257315490309"
"savva";"30";"Max";"0.106387321400632"
"fedja";"30";"SRIC_EX";"0.127139037843316"
"fedja";"30";"Max";"0.115580204658052"
"golos_iz_ugla";"30";"SRIC_EX";"0.11257315490309"
"golos_iz_ugla";"30";"Max";"0.106387321400632"
"tihon";"30";"SRIC_EX";"0.16112232409227"
"tihon";"30";"Max";"0.134209598821059"
"bortsov";"30";"SRIC_EX";"0.142368743722205"
"bortsov";"30";"Max";"0.122554452132852"
"merik";"30";"SRIC_EX";"0.0919379305701579"
"merik";"30";"Max";"0.0926857024678398"
"kuzma";"30";"SRIC_EX";"0.0225527400277912"
"kuzma";"30";"Max";"0.0430684956425842"
"kucher";"30";"SRIC_EX";"0.0351449217400562"
"kucher";"30";"Max";"0.0538027298207279"
"marja_egorovna";"30";"SRIC_EX";"0.00634226716244187"
"marja_egorovna";"30";"Max";"0.0297074140224495"
"efimovna";"50";"SRIC_EX";"0.111950565216201"
"efimovna";"50";"Max";"0.106225759229547"
"nazarovna";"50";"SRIC_EX";"0.0743430013796638"
"nazarovna";"50";"Max";"0.0884238279950323"
"savva";"50";"SRIC_EX";"0.111950565216201"
"savva";"50";"Max";"0.106225759229547"
"fedja";"50";"SRIC_EX";"0.142450202622653"
"fedja";"50";"Max";"0.11668132043917"
"golos_iz_ugla";"50";"SRIC_EX";"0.111950565216201"
"golos_iz_ugla";"50";"Max";"0.106225759229547"
"tihon";"50";"SRIC_EX";"0.18217918268153"
"tihon";"50";"Max";"0.13514878751081"
"bortsov";"50";"SRIC_EX";"0.165250799627938"
"bortsov";"50";"Max";"0.125008386572323"
"merik";"50";"SRIC_EX";"0.0855503989182192"
"merik";"50";"Max";"0.0953471809737412"
"kuzma";"50";"SRIC_EX";"0.00397807637906648"
"kuzma";"50";"Max";"0.0417403551889491"
"kucher";"50";"SRIC_EX";"0.00930133484805453"
"kucher";"50";"Max";"0.0529479659699158"
"marja_egorovna";"50";"SRIC_EX";"0.00109530789427057"
"marja_egorovna";"50";"Max";"0.0260248976614197"
"efimovna";"70";"SRIC_EX";"0"
"efimovna";"70";"Max";"0.110038132941345"
"nazarovna";"70";"SRIC_EX";"0.25"
"nazarovna";"70";"Max";"0.0907247988485386"
"savva";"70";"SRIC_EX";"0"
"savva";"70";"Max";"0.110038132941345"
"fedja";"70";"SRIC_EX";"0"
"fedja";"70";"Max";"0.12144304762533"
"golos_iz_ugla";"70";"SRIC_EX";"0"
"golos_iz_ugla";"70";"Max";"0.110038132941345"
"tihon";"70";"SRIC_EX";"0.25"
"tihon";"70";"Max";"0.138836793295114"
"bortsov";"70";"SRIC_EX";"0.25"
"bortsov";"70";"Max";"0.130008202920675"
"merik";"70";"SRIC_EX";"0.25"
"merik";"70";"Max";"0.0989816712299378"
"kuzma";"70";"SRIC_EX";"0"
"kuzma";"70";"Max";"0.0301280402420061"
"kucher";"70";"SRIC_EX";"0"
"kucher";"70";"Max";"0.0473196093377434"
"marja_egorovna";"70";"SRIC_EX";"0"
"marja_egorovna";"70";"Max";"0.0124434376766207"
