"Element";"Quota";"Centrality";"Value"
"Zajtsev";"30";"SRIC_EX";"0.409090909090909"
"Zajtsev";"30";"Max";"0.288888888888889"
"Smotritel";"30";"SRIC_EX";"0"
"Smotritel";"30";"Max";"0"
"Zinochka";"30";"SRIC_EX";"0.295454545454545"
"Zinochka";"30";"Max";"0.355555555555556"
"Gusev";"30";"SRIC_EX";"0.295454545454545"
"Gusev";"30";"Max";"0.355555555555556"
"Zajtsev";"50";"SRIC_EX";"0.590909090909091"
"Zajtsev";"50";"Max";"0.303738317757009"
"Smotritel";"50";"SRIC_EX";"0.0371900826446281"
"Smotritel";"50";"Max";"0.0981308411214953"
"Zinochka";"50";"SRIC_EX";"0.185950413223141"
"Zinochka";"50";"Max";"0.299065420560748"
"Gusev";"50";"SRIC_EX";"0.185950413223141"
"Gusev";"50";"Max";"0.299065420560748"
"Zajtsev";"70";"SRIC_EX";"0.318181818181818"
"Zajtsev";"70";"Max";"0.391304347826087"
"Smotritel";"70";"SRIC_EX";"0"
"Smotritel";"70";"Max";"0"
"Zinochka";"70";"SRIC_EX";"0.340909090909091"
"Zinochka";"70";"Max";"0.304347826086957"
"Gusev";"70";"SRIC_EX";"0.340909090909091"
"Gusev";"70";"Max";"0.304347826086957"
