"Element";"Quota";"Centrality";"Value"
"chubukov";"30";"SRIC_EX";"0.3"
"chubukov";"30";"Max";"0.35"
"lomov";"30";"SRIC_EX";"0.35"
"lomov";"30";"Max";"0.325"
"natalja_stepanovna";"30";"SRIC_EX";"0.35"
"natalja_stepanovna";"30";"Max";"0.325"
"chubukov";"50";"SRIC_EX";"0"
"chubukov";"50";"Max";"0"
"lomov";"50";"SRIC_EX";"0.5"
"lomov";"50";"Max";"0.5"
"natalja_stepanovna";"50";"SRIC_EX";"0.5"
"natalja_stepanovna";"50";"Max";"0.5"
"chubukov";"70";"SRIC_EX";"0.323076923076923"
"chubukov";"70";"Max";"0.3"
"lomov";"70";"SRIC_EX";"0.338461538461538"
"lomov";"70";"Max";"0.35"
"natalja_stepanovna";"70";"SRIC_EX";"0.338461538461538"
"natalja_stepanovna";"70";"Max";"0.35"
