"Element";"Quota";"Centrality";"Value"
"Zmejukina";"30";"SRIC_EX";"0.123086082286746"
"Zmejukina";"30";"Max";"0.10654469245946"
"Jat";"30";"SRIC_EX";"0.123086082286746"
"Jat";"30";"Max";"0.10654469245946"
"Shafer";"30";"SRIC_EX";"0.0923032019570804"
"Shafer";"30";"Max";"0.0886621073324558"
"Aplombov";"30";"SRIC_EX";"0.110038130202273"
"Aplombov";"30";"Max";"0.0973561065661444"
"Zhigalov";"30";"SRIC_EX";"0.0885688445497202"
"Zhigalov";"30";"Max";"0.0861206469670218"
"Dymba";"30";"SRIC_EX";"0.0885688445497202"
"Dymba";"30";"Max";"0.0861206469670218"
"NastasjaTimofeevna";"30";"SRIC_EX";"0.130263243166901"
"NastasjaTimofeevna";"30";"Max";"0.110114058834361"
"Mozgovoj";"30";"SRIC_EX";"0.0610337786184035"
"Mozgovoj";"30";"Max";"0.0684376841664934"
"Dashenka";"30";"SRIC_EX";"0.0610337786184035"
"Dashenka";"30";"Max";"0.0684376841664934"
"Kavalery";"30";"SRIC_EX";"0.0610337786184035"
"Kavalery";"30";"Max";"0.0684376841664934"
"Revunov";"30";"SRIC_EX";"0.0178600765018014"
"Revunov";"30";"Max";"0.0378388588991931"
"Njunin";"30";"SRIC_EX";"0.042095388896411"
"Njunin";"30";"Max";"0.0588260181185566"
"Lakej";"30";"SRIC_EX";"0.00102876974739033"
"Lakej";"30";"Max";"0.0165591188968453"
"Zmejukina";"50";"SRIC_EX";"0.18033350830165"
"Zmejukina";"50";"Max";"0.106540918606944"
"Jat";"50";"SRIC_EX";"0.18033350830165"
"Jat";"50";"Max";"0.106540918606944"
"Shafer";"50";"SRIC_EX";"0.168428559142251"
"Shafer";"50";"Max";"0.0889933984523536"
"Aplombov";"50";"SRIC_EX";"0.0896782709815257"
"Aplombov";"50";"Max";"0.0988540429570824"
"Zhigalov";"50";"SRIC_EX";"0.0469879149239602"
"Zhigalov";"50";"Max";"0.0860064943028832"
"Dymba";"50";"SRIC_EX";"0.0469879149239602"
"Dymba";"50";"Max";"0.0860064943028832"
"NastasjaTimofeevna";"50";"SRIC_EX";"0.26359636593596"
"NastasjaTimofeevna";"50";"Max";"0.11237403277598"
"Mozgovoj";"50";"SRIC_EX";"0.00573429272461611"
"Mozgovoj";"50";"Max";"0.0685745675038688"
"Dashenka";"50";"SRIC_EX";"0.00573429272461611"
"Dashenka";"50";"Max";"0.0685745675038688"
"Kavalery";"50";"SRIC_EX";"0.00573429272461611"
"Kavalery";"50";"Max";"0.0685745675038688"
"Revunov";"50";"SRIC_EX";"0"
"Revunov";"50";"Max";"0.0378363704500309"
"Njunin";"50";"SRIC_EX";"0.00645107931519312"
"Njunin";"50";"Max";"0.0585849432972188"
"Lakej";"50";"SRIC_EX";"0"
"Lakej";"50";"Max";"0.0125386837360732"
"Zmejukina";"70";"SRIC_EX";"0"
"Zmejukina";"70";"Max";"0.119863958084383"
"Jat";"70";"SRIC_EX";"0"
"Jat";"70";"Max";"0.119863958084383"
"Shafer";"70";"SRIC_EX";"0"
"Shafer";"70";"Max";"0.171155437080614"
"Aplombov";"70";"SRIC_EX";"0.5"
"Aplombov";"70";"Max";"0.149094585899439"
"Zhigalov";"70";"SRIC_EX";"0"
"Zhigalov";"70";"Max";"0.119772037871128"
"Dymba";"70";"SRIC_EX";"0"
"Dymba";"70";"Max";"0.119772037871128"
"NastasjaTimofeevna";"70";"SRIC_EX";"0.5"
"NastasjaTimofeevna";"70";"Max";"0.200477985108925"
"Mozgovoj";"70";"SRIC_EX";"0"
"Mozgovoj";"70";"Max";"0"
"Dashenka";"70";"SRIC_EX";"0"
"Dashenka";"70";"Max";"0"
"Kavalery";"70";"SRIC_EX";"0"
"Kavalery";"70";"Max";"0"
"Revunov";"70";"SRIC_EX";"0"
"Revunov";"70";"Max";"0"
"Njunin";"70";"SRIC_EX";"0"
"Njunin";"70";"Max";"0"
"Lakej";"70";"SRIC_EX";"0"
"Lakej";"70";"Max";"0"
