"Element";"Quota";"Centrality";"Value"
"OIvan";"30";"SRIC_EX";"0"
"OIvan";"30";"Max";"0"
"ArhierejskijHor";"30";"SRIC_EX";"0"
"ArhierejskijHor";"30";"Max";"0"
"Patronnikov";"30";"SRIC_EX";"0"
"Patronnikov";"30";"Max";"0"
"Zonenshtejn";"30";"SRIC_EX";"0"
"Zonenshtejn";"30";"Max";"0"
"Djakon";"30";"SRIC_EX";"0"
"Djakon";"30";"Max";"0"
"SobornyjHor";"30";"SRIC_EX";"0"
"SobornyjHor";"30";"Max";"0"
"ONikolaj";"30";"SRIC_EX";"0"
"ONikolaj";"30";"Max";"0"
"Baryshnja";"30";"SRIC_EX";"0"
"Baryshnja";"30";"Max";"0"
"VTolpe";"30";"SRIC_EX";"0"
"VTolpe";"30";"Max";"0"
"Kotelnikov";"30";"SRIC_EX";"0"
"Kotelnikov";"30";"Max";"0"
"Volgin";"30";"SRIC_EX";"0"
"Volgin";"30";"Max";"0"
"TovarischProkurora";"30";"SRIC_EX";"0"
"TovarischProkurora";"30";"Max";"0"
"Kokoshkina";"30";"SRIC_EX";"0"
"Kokoshkina";"30";"Max";"0"
"Kokoshkin";"30";"SRIC_EX";"0"
"Kokoshkin";"30";"Max";"0"
"Djachok";"30";"SRIC_EX";"0"
"Djachok";"30";"Max";"0"
"Sabinin";"30";"SRIC_EX";"0"
"Sabinin";"30";"Max";"0"
"Hor";"30";"SRIC_EX";"0"
"Hor";"30";"Max";"0"
"Olenina";"30";"SRIC_EX";"0"
"Olenina";"30";"Max";"0"
"Matveev";"30";"SRIC_EX";"0"
"Matveev";"30";"Max";"0"
"Komik";"30";"SRIC_EX";"0"
"Komik";"30";"Max";"0"
"KtoTo";"30";"SRIC_EX";"0"
"KtoTo";"30";"Max";"0"
"OfitserIzTolpy";"30";"SRIC_EX";"0"
"OfitserIzTolpy";"30";"Max";"0"
"MolodojAkter";"30";"SRIC_EX";"0"
"MolodojAkter";"30";"Max";"0"
"OAleksej";"30";"SRIC_EX";"0"
"OAleksej";"30";"Max";"0"
"Student";"30";"SRIC_EX";"0"
"Student";"30";"Max";"0"
"Damy";"30";"SRIC_EX";"0"
"Damy";"30";"Max";"0"
"Kuzma";"30";"SRIC_EX";"0"
"Kuzma";"30";"Max";"0"
"DamaVChernom";"30";"SRIC_EX";"0"
"DamaVChernom";"30";"Max";"0"
"OIvan";"50";"SRIC_EX";"0"
"OIvan";"50";"Max";"0"
"ArhierejskijHor";"50";"SRIC_EX";"0"
"ArhierejskijHor";"50";"Max";"0"
"Patronnikov";"50";"SRIC_EX";"0"
"Patronnikov";"50";"Max";"0"
"Zonenshtejn";"50";"SRIC_EX";"0"
"Zonenshtejn";"50";"Max";"0"
"Djakon";"50";"SRIC_EX";"0"
"Djakon";"50";"Max";"0"
"SobornyjHor";"50";"SRIC_EX";"0"
"SobornyjHor";"50";"Max";"0"
"ONikolaj";"50";"SRIC_EX";"0"
"ONikolaj";"50";"Max";"0"
"Baryshnja";"50";"SRIC_EX";"0"
"Baryshnja";"50";"Max";"0"
"VTolpe";"50";"SRIC_EX";"0"
"VTolpe";"50";"Max";"0"
"Kotelnikov";"50";"SRIC_EX";"0"
"Kotelnikov";"50";"Max";"0"
"Volgin";"50";"SRIC_EX";"0"
"Volgin";"50";"Max";"0"
"TovarischProkurora";"50";"SRIC_EX";"0"
"TovarischProkurora";"50";"Max";"0"
"Kokoshkina";"50";"SRIC_EX";"0"
"Kokoshkina";"50";"Max";"0"
"Kokoshkin";"50";"SRIC_EX";"0"
"Kokoshkin";"50";"Max";"0"
"Djachok";"50";"SRIC_EX";"0"
"Djachok";"50";"Max";"0"
"Sabinin";"50";"SRIC_EX";"0"
"Sabinin";"50";"Max";"0"
"Hor";"50";"SRIC_EX";"0"
"Hor";"50";"Max";"0"
"Olenina";"50";"SRIC_EX";"0"
"Olenina";"50";"Max";"0"
"Matveev";"50";"SRIC_EX";"0"
"Matveev";"50";"Max";"0"
"Komik";"50";"SRIC_EX";"0"
"Komik";"50";"Max";"0"
"KtoTo";"50";"SRIC_EX";"0"
"KtoTo";"50";"Max";"0"
"OfitserIzTolpy";"50";"SRIC_EX";"0"
"OfitserIzTolpy";"50";"Max";"0"
"MolodojAkter";"50";"SRIC_EX";"0"
"MolodojAkter";"50";"Max";"0"
"OAleksej";"50";"SRIC_EX";"0"
"OAleksej";"50";"Max";"0"
"Student";"50";"SRIC_EX";"0"
"Student";"50";"Max";"0"
"Damy";"50";"SRIC_EX";"0"
"Damy";"50";"Max";"0"
"Kuzma";"50";"SRIC_EX";"0"
"Kuzma";"50";"Max";"0"
"DamaVChernom";"50";"SRIC_EX";"0"
"DamaVChernom";"50";"Max";"0"
"OIvan";"70";"SRIC_EX";"0"
"OIvan";"70";"Max";"0"
"ArhierejskijHor";"70";"SRIC_EX";"0"
"ArhierejskijHor";"70";"Max";"0"
"Patronnikov";"70";"SRIC_EX";"0"
"Patronnikov";"70";"Max";"0"
"Zonenshtejn";"70";"SRIC_EX";"0"
"Zonenshtejn";"70";"Max";"0"
"Djakon";"70";"SRIC_EX";"0"
"Djakon";"70";"Max";"0"
"SobornyjHor";"70";"SRIC_EX";"0"
"SobornyjHor";"70";"Max";"0"
"ONikolaj";"70";"SRIC_EX";"0"
"ONikolaj";"70";"Max";"0"
"Baryshnja";"70";"SRIC_EX";"0"
"Baryshnja";"70";"Max";"0"
"VTolpe";"70";"SRIC_EX";"0"
"VTolpe";"70";"Max";"0"
"Kotelnikov";"70";"SRIC_EX";"0"
"Kotelnikov";"70";"Max";"0"
"Volgin";"70";"SRIC_EX";"0"
"Volgin";"70";"Max";"0"
"TovarischProkurora";"70";"SRIC_EX";"0"
"TovarischProkurora";"70";"Max";"0"
"Kokoshkina";"70";"SRIC_EX";"0"
"Kokoshkina";"70";"Max";"0"
"Kokoshkin";"70";"SRIC_EX";"0"
"Kokoshkin";"70";"Max";"0"
"Djachok";"70";"SRIC_EX";"0"
"Djachok";"70";"Max";"0"
"Sabinin";"70";"SRIC_EX";"0"
"Sabinin";"70";"Max";"0"
"Hor";"70";"SRIC_EX";"0"
"Hor";"70";"Max";"0"
"Olenina";"70";"SRIC_EX";"0"
"Olenina";"70";"Max";"0"
"Matveev";"70";"SRIC_EX";"0"
"Matveev";"70";"Max";"0"
"Komik";"70";"SRIC_EX";"0"
"Komik";"70";"Max";"0"
"KtoTo";"70";"SRIC_EX";"0"
"KtoTo";"70";"Max";"0"
"OfitserIzTolpy";"70";"SRIC_EX";"0"
"OfitserIzTolpy";"70";"Max";"0"
"MolodojAkter";"70";"SRIC_EX";"0"
"MolodojAkter";"70";"Max";"0"
"OAleksej";"70";"SRIC_EX";"0"
"OAleksej";"70";"Max";"0"
"Student";"70";"SRIC_EX";"0"
"Student";"70";"Max";"0"
"Damy";"70";"SRIC_EX";"0"
"Damy";"70";"Max";"0"
"Kuzma";"70";"SRIC_EX";"0"
"Kuzma";"70";"Max";"0"
"DamaVChernom";"70";"SRIC_EX";"0"
"DamaVChernom";"70";"Max";"0"
