"Element";"Quota";"Centrality";"Value"
"Olga";"30";"SRIC_EX";"0.0972093141781488"
"Olga";"30";"Max";"0.0957933277528898"
"Irina";"30";"SRIC_EX";"0.230821980271134"
"Irina";"30";"Max";"0.154023604692686"
"Chebutykin";"30";"SRIC_EX";"0.120772712602141"
"Chebutykin";"30";"Max";"0.105965736229895"
"Tuzenbah";"30";"SRIC_EX";"0.121665566966665"
"Tuzenbah";"30";"Max";"0.108481757933694"
"Solenyj";"30";"SRIC_EX";"0.0425557008818326"
"Solenyj";"30";"Max";"0.0589024470050091"
"Masha";"30";"SRIC_EX";"0.161994457909133"
"Masha";"30";"Max";"0.125083530094263"
"Anfisa";"30";"SRIC_EX";"0.0088972001212032"
"Anfisa";"30";"Max";"0.0289075648950978"
"Ferapont";"30";"SRIC_EX";"0.00501958919177348"
"Ferapont";"30";"Max";"0.0252273488758592"
"Vershinin";"30";"SRIC_EX";"0.0780566207635393"
"Vershinin";"30";"Max";"0.0809157915126209"
"Andrej";"30";"SRIC_EX";"0.032223013237251"
"Andrej";"30";"Max";"0.0477526486167758"
"Kulygin";"30";"SRIC_EX";"0.0541172861165194"
"Kulygin";"30";"Max";"0.0703009149791766"
"Natasha";"30";"SRIC_EX";"0.0203006766120751"
"Natasha";"30";"Max";"0.0379721011007581"
"Fedotik";"30";"SRIC_EX";"0.0176519882356136"
"Fedotik";"30";"Max";"0.0352346105633935"
"Rode";"30";"SRIC_EX";"0.0087138929129706"
"Rode";"30";"Max";"0.0254386157478811"
"Olga";"50";"SRIC_EX";"0.0996821698744418"
"Olga";"50";"Max";"0.0936592297393609"
"Irina";"50";"SRIC_EX";"0.231202856657521"
"Irina";"50";"Max";"0.158957812669488"
"Chebutykin";"50";"SRIC_EX";"0.125290449779213"
"Chebutykin";"50";"Max";"0.108982722108875"
"Tuzenbah";"50";"SRIC_EX";"0.129494332455199"
"Tuzenbah";"50";"Max";"0.10481132496213"
"Solenyj";"50";"SRIC_EX";"0.0341988952347648"
"Solenyj";"50";"Max";"0.0597000918926073"
"Masha";"50";"SRIC_EX";"0.192179991452965"
"Masha";"50";"Max";"0.129027897112786"
"Anfisa";"50";"SRIC_EX";"0.00375856201588958"
"Anfisa";"50";"Max";"0.0261405744626119"
"Ferapont";"50";"SRIC_EX";"0.00443740982227806"
"Ferapont";"50";"Max";"0.0195759108123979"
"Vershinin";"50";"SRIC_EX";"0.071200212565854"
"Vershinin";"50";"Max";"0.0833604791611088"
"Andrej";"50";"SRIC_EX";"0.0337529259753458"
"Andrej";"50";"Max";"0.048441556886909"
"Kulygin";"50";"SRIC_EX";"0.0443905284483609"
"Kulygin";"50";"Max";"0.0693076351038601"
"Natasha";"50";"SRIC_EX";"0.0130350092555867"
"Natasha";"50";"Max";"0.0385006977159152"
"Fedotik";"50";"SRIC_EX";"0.0109110624564707"
"Fedotik";"50";"Max";"0.0351073009000497"
"Rode";"50";"SRIC_EX";"0.00646559400611007"
"Rode";"50";"Max";"0.0244267664718999"
"Olga";"70";"SRIC_EX";"0.0783852635704488"
"Olga";"70";"Max";"0.0964386905905971"
"Irina";"70";"SRIC_EX";"0.193258867332941"
"Irina";"70";"Max";"0.163929248234905"
"Chebutykin";"70";"SRIC_EX";"0.0494708994708995"
"Chebutykin";"70";"Max";"0.112558850093994"
"Tuzenbah";"70";"SRIC_EX";"0.0494708994708995"
"Tuzenbah";"70";"Max";"0.107024937900456"
"Solenyj";"70";"SRIC_EX";"0"
"Solenyj";"70";"Max";"0.061450856509677"
"Masha";"70";"SRIC_EX";"0.161904761904762"
"Masha";"70";"Max";"0.132466083203155"
"Anfisa";"70";"SRIC_EX";"0.0156770527140898"
"Anfisa";"70";"Max";"0.0207107180025836"
"Ferapont";"70";"SRIC_EX";"0"
"Ferapont";"70";"Max";"0.0173556738896592"
"Vershinin";"70";"SRIC_EX";"0"
"Vershinin";"70";"Max";"0.0841497544411463"
"Andrej";"70";"SRIC_EX";"0.213599843229473"
"Andrej";"70";"Max";"0.0465461676074072"
"Kulygin";"70";"SRIC_EX";"0.044973544973545"
"Kulygin";"70";"Max";"0.0691369343592153"
"Natasha";"70";"SRIC_EX";"0.0313541054281795"
"Natasha";"70";"Max";"0.0372076529119812"
"Fedotik";"70";"SRIC_EX";"0.161904761904762"
"Fedotik";"70";"Max";"0.0321548862897539"
"Rode";"70";"SRIC_EX";"0"
"Rode";"70";"Max";"0.0188695459654694"
