"Element";"Quota";"Centrality";"Value"
"Lopahin";"30";"SRIC_EX";"0.139730873292044"
"Lopahin";"30";"Max";"0.116592226021937"
"Dunjasha";"30";"SRIC_EX";"0.022273606608021"
"Dunjasha";"30";"Max";"0.0426952939149199"
"Epihodov";"30";"SRIC_EX";"0.016288043733993"
"Epihodov";"30";"Max";"0.0337175251182239"
"Varja";"30";"SRIC_EX";"0.150087467946344"
"Varja";"30";"Max";"0.124306860236642"
"Anja";"30";"SRIC_EX";"0.0837499767243066"
"Anja";"30";"Max";"0.0885417415570052"
"LjubovAndreevna";"30";"SRIC_EX";"0.216065201181876"
"LjubovAndreevna";"30";"Max";"0.150028530241467"
"Gaev";"30";"SRIC_EX";"0.16976617096346"
"Gaev";"30";"Max";"0.133358934267688"
"Firs";"30";"SRIC_EX";"0.0379952366836165"
"Firs";"30";"Max";"0.0603776066288259"
"Pischik";"30";"SRIC_EX";"0.0542009901266892"
"Pischik";"30";"Max";"0.0719437753441437"
"Jasha";"30";"SRIC_EX";"0.0522673416972421"
"Jasha";"30";"Max";"0.0658288031207824"
"Sharlotta";"30";"SRIC_EX";"0.0122886796428989"
"Sharlotta";"30";"Max";"0.0290134948946183"
"Trofimov";"30";"SRIC_EX";"0.0435920795634472"
"Trofimov";"30";"Max";"0.0630581264631543"
"Prohozhij";"30";"SRIC_EX";"0.000422938976312277"
"Prohozhij";"30";"Max";"0.00883723785164063"
"NachalnikStantsii";"30";"SRIC_EX";"0.00127139285974999"
"NachalnikStantsii";"30";"Max";"0.0116998443389523"
"Lopahin";"50";"SRIC_EX";"0.161787987618993"
"Lopahin";"50";"Max";"0.120389222265933"
"Dunjasha";"50";"SRIC_EX";"0.0190524367283492"
"Dunjasha";"50";"Max";"0.0408533038113224"
"Epihodov";"50";"SRIC_EX";"0.00810048566222149"
"Epihodov";"50";"Max";"0.031501005772315"
"Varja";"50";"SRIC_EX";"0.151480539490856"
"Varja";"50";"Max";"0.12805964535091"
"Anja";"50";"SRIC_EX";"0.0753959934505117"
"Anja";"50";"Max";"0.088307976600358"
"LjubovAndreevna";"50";"SRIC_EX";"0.221029518332003"
"LjubovAndreevna";"50";"Max";"0.153042057302557"
"Gaev";"50";"SRIC_EX";"0.195966970916225"
"Gaev";"50";"Max";"0.133273254671675"
"Firs";"50";"SRIC_EX";"0.0345376632636059"
"Firs";"50";"Max";"0.059441145621654"
"Pischik";"50";"SRIC_EX";"0.0500392255329734"
"Pischik";"50";"Max";"0.0704295424719366"
"Jasha";"50";"SRIC_EX";"0.0436063876226478"
"Jasha";"50";"Max";"0.0655792633581169"
"Sharlotta";"50";"SRIC_EX";"0.00758430866456106"
"Sharlotta";"50";"Max";"0.0299996604500618"
"Trofimov";"50";"SRIC_EX";"0.0306983030914536"
"Trofimov";"50";"Max";"0.061393131736441"
"Prohozhij";"50";"SRIC_EX";"0.000400392091741496"
"Prohozhij";"50";"Max";"0.00760184841643025"
"NachalnikStantsii";"50";"SRIC_EX";"0.000319787533856935"
"NachalnikStantsii";"50";"Max";"0.0101289421702894"
"Lopahin";"70";"SRIC_EX";"0.156720038816109"
"Lopahin";"70";"Max";"0.121562338778636"
"Dunjasha";"70";"SRIC_EX";"0"
"Dunjasha";"70";"Max";"0.0396802127058765"
"Epihodov";"70";"SRIC_EX";"0.164968461911693"
"Epihodov";"70";"Max";"0.0312994357251077"
"Varja";"70";"SRIC_EX";"0.119683001779072"
"Varja";"70";"Max";"0.129425144119088"
"Anja";"70";"SRIC_EX";"0.0646935144751739"
"Anja";"70";"Max";"0.0882570810962554"
"LjubovAndreevna";"70";"SRIC_EX";"0.0740740740740741"
"LjubovAndreevna";"70";"Max";"0.154106528444609"
"Gaev";"70";"SRIC_EX";"0.037037037037037"
"Gaev";"70";"Max";"0.134055583812213"
"Firs";"70";"SRIC_EX";"0.0582241630276565"
"Firs";"70";"Max";"0.0593349261699025"
"Pischik";"70";"SRIC_EX";"0.037037037037037"
"Pischik";"70";"Max";"0.0692460455672026"
"Jasha";"70";"SRIC_EX";"0.213488597768074"
"Jasha";"70";"Max";"0.0664837897041869"
"Sharlotta";"70";"SRIC_EX";"0.037037037037037"
"Sharlotta";"70";"Max";"0.0289600651652132"
"Trofimov";"70";"SRIC_EX";"0.037037037037037"
"Trofimov";"70";"Max";"0.0612280328649678"
"Prohozhij";"70";"SRIC_EX";"0"
"Prohozhij";"70";"Max";"0.00696933912092326"
"NachalnikStantsii";"70";"SRIC_EX";"0"
"NachalnikStantsii";"70";"Max";"0.00939147672581822"
