"Element";"Quota";"Centrality";"Value"
"toisiokov";"30";"SRIC_EX";"0.136369577245684"
"toisiokov";"30";"Max";"0.13390414525211"
"dvoretskij";"30";"SRIC_EX";"0.0233419298514414"
"dvoretskij";"30";"Max";"0.0575711879979909"
"prolaz";"30";"SRIC_EX";"0.0760706133625092"
"prolaz";"30";"Max";"0.102028123667733"
"reshimova";"30";"SRIC_EX";"0.304952262037266"
"reshimova";"30";"Max";"0.167457852183033"
"toisiokova";"30";"SRIC_EX";"0.0928340810576374"
"toisiokova";"30";"Max";"0.121971636991696"
"flena_osipovna";"30";"SRIC_EX";"0.172796262585267"
"flena_osipovna";"30";"Max";"0.127431593760806"
"zdravomyslov";"30";"SRIC_EX";"0.0521600467198557"
"zdravomyslov";"30";"Max";"0.0757288524482642"
"lafler";"30";"SRIC_EX";"0.0191901737646806"
"lafler";"30";"Max";"0.0402506402072597"
"masha";"30";"SRIC_EX";"0.0501970369719274"
"masha";"30";"Max";"0.0602019781268033"
"andrej";"30";"SRIC_EX";"0.0561447592861627"
"andrej";"30";"Max";"0.0695773395109282"
"kupets";"30";"SRIC_EX";"0.0159432571175685"
"kupets";"30";"Max";"0.0438766498533751"
"toisiokov";"50";"SRIC_EX";"0.172773544121791"
"toisiokov";"50";"Max";"0.132123714076188"
"dvoretskij";"50";"SRIC_EX";"0.0201945150430777"
"dvoretskij";"50";"Max";"0.0542416608721981"
"prolaz";"50";"SRIC_EX";"0.075970925171494"
"prolaz";"50";"Max";"0.0993713199723377"
"reshimova";"50";"SRIC_EX";"0.292987558439507"
"reshimova";"50";"Max";"0.192795639189845"
"toisiokova";"50";"SRIC_EX";"0.0924781644326943"
"toisiokova";"50";"Max";"0.100620896759084"
"flena_osipovna";"50";"SRIC_EX";"0.161307175095953"
"flena_osipovna";"50";"Max";"0.135692212980762"
"zdravomyslov";"50";"SRIC_EX";"0.0515366552509109"
"zdravomyslov";"50";"Max";"0.0724367497157493"
"lafler";"50";"SRIC_EX";"0.0173016390489679"
"lafler";"50";"Max";"0.0422571904668898"
"masha";"50";"SRIC_EX";"0.0463968416676335"
"masha";"50";"Max";"0.0641788376371832"
"andrej";"50";"SRIC_EX";"0.053720251868204"
"andrej";"50";"Max";"0.0683422033990584"
"kupets";"50";"SRIC_EX";"0.0153327298597674"
"kupets";"50";"Max";"0.0379395749307044"
"toisiokov";"70";"SRIC_EX";"0.13450298519413"
"toisiokov";"70";"Max";"0.132696702065949"
"dvoretskij";"70";"SRIC_EX";"0.0309332447341497"
"dvoretskij";"70";"Max";"0.0512927928811136"
"prolaz";"70";"SRIC_EX";"0.0380194992976948"
"prolaz";"70";"Max";"0.0941499860402207"
"reshimova";"70";"SRIC_EX";"0.343268859516769"
"reshimova";"70";"Max";"0.197992826111355"
"toisiokova";"70";"SRIC_EX";"0.110892660825063"
"toisiokova";"70";"Max";"0.10047092447157"
"flena_osipovna";"70";"SRIC_EX";"0.184919800685799"
"flena_osipovna";"70";"Max";"0.140055380167481"
"zdravomyslov";"70";"SRIC_EX";"0.0398996088078146"
"zdravomyslov";"70";"Max";"0.0728519661871695"
"lafler";"70";"SRIC_EX";"0.01973231507393"
"lafler";"70";"Max";"0.0430178985446896"
"masha";"70";"SRIC_EX";"0.0251792079847762"
"masha";"70";"Max";"0.0650818954722542"
"andrej";"70";"SRIC_EX";"0.0676350954718475"
"andrej";"70";"Max";"0.0685387557573447"
"kupets";"70";"SRIC_EX";"0.00501672240802676"
"kupets";"70";"Max";"0.0338508723008532"
