"Element";"Quota";"Centrality";"Value"
"sovetnik";"30";"SRIC_EX";"0.132316952096067"
"sovetnik";"30";"Max";"0.139001773632044"
"syn";"30";"SRIC_EX";"0.193245699809798"
"syn";"30";"Max";"0.159054563375241"
"brigadir";"30";"SRIC_EX";"0.158956584916795"
"brigadir";"30";"Max";"0.147478435955323"
"sovetnitsa";"30";"SRIC_EX";"0.21315233957485"
"sovetnitsa";"30";"Max";"0.169823701362402"
"brigadirsha";"30";"SRIC_EX";"0.110618179195423"
"brigadirsha";"30";"Max";"0.130440700602505"
"sofja";"30";"SRIC_EX";"0.102632961470771"
"sofja";"30";"Max";"0.117497762171762"
"sluga";"30";"SRIC_EX";"0.00427785962411343"
"sluga";"30";"Max";"0.0218518101544839"
"dobroljubov";"30";"SRIC_EX";"0.084799423312183"
"dobroljubov";"30";"Max";"0.114851252746239"
"sovetnik";"50";"SRIC_EX";"0.147615665297683"
"sovetnik";"50";"Max";"0.137668513314504"
"syn";"50";"SRIC_EX";"0.201406586714275"
"syn";"50";"Max";"0.165548779049387"
"brigadir";"50";"SRIC_EX";"0.132224181760731"
"brigadir";"50";"Max";"0.144006607185958"
"sovetnitsa";"50";"SRIC_EX";"0.221651955708417"
"sovetnitsa";"50";"Max";"0.182543888166364"
"brigadirsha";"50";"SRIC_EX";"0.103420896446983"
"brigadirsha";"50";"Max";"0.12501441159807"
"sofja";"50";"SRIC_EX";"0.0955095284609931"
"sofja";"50";"Max";"0.114967089828666"
"sluga";"50";"SRIC_EX";"0.00403469401137621"
"sluga";"50";"Max";"0.0204043566063769"
"dobroljubov";"50";"SRIC_EX";"0.0941364915995425"
"dobroljubov";"50";"Max";"0.109846354250674"
"sovetnik";"70";"SRIC_EX";"0.142744529744857"
"sovetnik";"70";"Max";"0.135823626742962"
"syn";"70";"SRIC_EX";"0.196064795208845"
"syn";"70";"Max";"0.16692076145104"
"brigadir";"70";"SRIC_EX";"0.17340736367037"
"brigadir";"70";"Max";"0.14427481961505"
"sovetnitsa";"70";"SRIC_EX";"0.209476460056455"
"sovetnitsa";"70";"Max";"0.182378095077681"
"brigadirsha";"70";"SRIC_EX";"0.11347834506434"
"brigadirsha";"70";"Max";"0.125043963216985"
"sofja";"70";"SRIC_EX";"0.113784321833102"
"sofja";"70";"Max";"0.115554200063925"
"sluga";"70";"SRIC_EX";"0"
"sluga";"70";"Max";"0.0201216206296416"
"dobroljubov";"70";"SRIC_EX";"0.0510441844220312"
"dobroljubov";"70";"Max";"0.109882913202716"
