"Element";"Quota";"Centrality";"Value"
"andrej";"30";"SRIC_EX";"0.246465560583208"
"andrej";"30";"Max";"0.213483146067416"
"krestjanin";"30";"SRIC_EX";"0.0566769230769231"
"krestjanin";"30";"Max";"0.189606741573034"
"korion";"30";"SRIC_EX";"0.372803418803419"
"korion";"30";"Max";"0.202247191011236"
"menandr";"30";"SRIC_EX";"0.267746405228758"
"menandr";"30";"Max";"0.213483146067416"
"zenovija";"30";"SRIC_EX";"0.0563076923076923"
"zenovija";"30";"Max";"0.181179775280899"
"andrej";"50";"SRIC_EX";"0.297115384615385"
"andrej";"50";"Max";"0.217064050891079"
"krestjanin";"50";"SRIC_EX";"0.0496978021978022"
"krestjanin";"50";"Max";"0.141164473364736"
"korion";"50";"SRIC_EX";"0.298818681318681"
"korion";"50";"Max";"0.274267955130384"
"menandr";"50";"SRIC_EX";"0.223736263736264"
"menandr";"50";"Max";"0.213082115281892"
"zenovija";"50";"SRIC_EX";"0.130631868131868"
"zenovija";"50";"Max";"0.154421405331909"
"andrej";"70";"SRIC_EX";"0.24922075670177"
"andrej";"70";"Max";"0.244444444444444"
"krestjanin";"70";"SRIC_EX";"0.0527435610302352"
"krestjanin";"70";"Max";"0.122222222222222"
"korion";"70";"SRIC_EX";"0.321327953044754"
"korion";"70";"Max";"0.280246913580247"
"menandr";"70";"SRIC_EX";"0.298208289133655"
"menandr";"70";"Max";"0.233333333333333"
"zenovija";"70";"SRIC_EX";"0.0784994400895857"
"zenovija";"70";"Max";"0.119753086419753"
