"Element";"Quota";"Centrality";"Value"
"gospozha_prostakova";"30";"SRIC_EX";"0.168211757250241"
"gospozha_prostakova";"30";"Max";"0.128359196928266"
"trishka";"30";"SRIC_EX";"0.00019289871261604"
"trishka";"30";"Max";"0.0072242036664931"
"mitrofan";"30";"SRIC_EX";"0.0780201214220726"
"mitrofan";"30";"Max";"0.0804857036133608"
"prostakov";"30";"SRIC_EX";"0.0734621884610716"
"prostakov";"30";"Max";"0.0812164124233559"
"skotinin";"30";"SRIC_EX";"0.0879688654662361"
"skotinin";"30";"Max";"0.0906818053671209"
"eremeevna";"30";"SRIC_EX";"0.0601619831113476"
"eremeevna";"30";"Max";"0.0703502692816415"
"sofja";"30";"SRIC_EX";"0.0855791152451928"
"sofja";"30";"Max";"0.0852836641665579"
"pravdin";"30";"SRIC_EX";"0.160560578301522"
"pravdin";"30";"Max";"0.121362697666829"
"milon";"30";"SRIC_EX";"0.0959069423485036"
"milon";"30";"Max";"0.0897333813947839"
"kutejkin";"30";"SRIC_EX";"0.0333609470819663"
"kutejkin";"30";"Max";"0.048252027295049"
"tsyfirkin";"30";"SRIC_EX";"0.0333609470819663"
"tsyfirkin";"30";"Max";"0.048252027295049"
"starodum";"30";"SRIC_EX";"0.113574439746308"
"starodum";"30";"Max";"0.0996597485522399"
"vralman";"30";"SRIC_EX";"0.00826016203210919"
"vralman";"30";"Max";"0.0256557195081299"
"sluga";"30";"SRIC_EX";"0.00038746713345312"
"sluga";"30";"Max";"0.00891228496009732"
"kamerdiner";"30";"SRIC_EX";"0.000991586605393635"
"kamerdiner";"30";"Max";"0.0145708578810264"
"gospozha_prostakova";"50";"SRIC_EX";"0.195756412264279"
"gospozha_prostakova";"50";"Max";"0.132140816876551"
"trishka";"50";"SRIC_EX";"0"
"trishka";"50";"Max";"0.0056896007338704"
"mitrofan";"50";"SRIC_EX";"0.0639619374251479"
"mitrofan";"50";"Max";"0.0825697691006762"
"prostakov";"50";"SRIC_EX";"0.0640863776570763"
"prostakov";"50";"Max";"0.0794764443289117"
"skotinin";"50";"SRIC_EX";"0.0933285525369936"
"skotinin";"50";"Max";"0.0906471531581754"
"eremeevna";"50";"SRIC_EX";"0.0500614769980337"
"eremeevna";"50";"Max";"0.0709801030571554"
"sofja";"50";"SRIC_EX";"0.0877451766952342"
"sofja";"50";"Max";"0.086508254479828"
"pravdin";"50";"SRIC_EX";"0.166938819066963"
"pravdin";"50";"Max";"0.124887992584154"
"milon";"50";"SRIC_EX";"0.0939351435705408"
"milon";"50";"Max";"0.0919824645745565"
"kutejkin";"50";"SRIC_EX";"0.029038801935244"
"kutejkin";"50";"Max";"0.0457589731657781"
"tsyfirkin";"50";"SRIC_EX";"0.029038801935244"
"tsyfirkin";"50";"Max";"0.0457589731657781"
"starodum";"50";"SRIC_EX";"0.117891242604508"
"starodum";"50";"Max";"0.100939385689003"
"vralman";"50";"SRIC_EX";"0.00746436424930331"
"vralman";"50";"Max";"0.023941394493913"
"sluga";"50";"SRIC_EX";"0.000131658508697978"
"sluga";"50";"Max";"0.00722600505605038"
"kamerdiner";"50";"SRIC_EX";"0.000621234552734795"
"kamerdiner";"50";"Max";"0.0114926695355987"
"gospozha_prostakova";"70";"SRIC_EX";"0.111111111111111"
"gospozha_prostakova";"70";"Max";"0.150557144260746"
"trishka";"70";"SRIC_EX";"0"
"trishka";"70";"Max";"0"
"mitrofan";"70";"SRIC_EX";"0.111111111111111"
"mitrofan";"70";"Max";"0.0857014961977126"
"prostakov";"70";"SRIC_EX";"0.111111111111111"
"prostakov";"70";"Max";"0.068361078636774"
"skotinin";"70";"SRIC_EX";"0.111111111111111"
"skotinin";"70";"Max";"0.0879688753890792"
"eremeevna";"70";"SRIC_EX";"0"
"eremeevna";"70";"Max";"0.062943967721011"
"sofja";"70";"SRIC_EX";"0.0909090909090909"
"sofja";"70";"Max";"0.0928948310816583"
"pravdin";"70";"SRIC_EX";"0.111111111111111"
"pravdin";"70";"Max";"0.12978078454553"
"milon";"70";"SRIC_EX";"0"
"milon";"70";"Max";"0.0984003608627063"
"kutejkin";"70";"SRIC_EX";"0"
"kutejkin";"70";"Max";"0.0389680758264826"
"tsyfirkin";"70";"SRIC_EX";"0"
"tsyfirkin";"70";"Max";"0.0389680758264826"
"starodum";"70";"SRIC_EX";"0.262626262626263"
"starodum";"70";"Max";"0.103652075323776"
"vralman";"70";"SRIC_EX";"0.0909090909090909"
"vralman";"70";"Max";"0.0224049626787172"
"sluga";"70";"SRIC_EX";"0"
"sluga";"70";"Max";"0.00746177169991205"
"kamerdiner";"70";"SRIC_EX";"0"
"kamerdiner";"70";"Max";"0.011936499949412"
