"Element";"Quota";"Centrality";"Value"
"knjaginja";"30";"SRIC_EX";"0.252956382100094"
"knjaginja";"30";"Max";"0.175956738768719"
"knjaz";"30";"SRIC_EX";"0.252956382100094"
"knjaz";"30";"Max";"0.175956738768719"
"seum";"30";"SRIC_EX";"0.218518592389067"
"seum";"30";"Max";"0.164725457570715"
"devka";"30";"SRIC_EX";"0.00584077575591386"
"devka";"30";"Max";"0.030306631804136"
"njanja";"30";"SRIC_EX";"0.0292923099097607"
"njanja";"30";"Max";"0.047153553601141"
"drugaja_njanja";"30";"SRIC_EX";"0.0292923099097607"
"drugaja_njanja";"30";"Max";"0.047153553601141"
"tretja_njanja";"30";"SRIC_EX";"0.0292923099097607"
"tretja_njanja";"30";"Max";"0.047153553601141"
"molodoj_knjaz";"30";"SRIC_EX";"0.0292923099097607"
"molodoj_knjaz";"30";"Max";"0.047153553601141"
"nelstecov";"30";"SRIC_EX";"0.0994832023283549"
"nelstecov";"30";"Max";"0.140658426432137"
"sluga";"30";"SRIC_EX";"0.0174963713856229"
"sluga";"30";"Max";"0.0505110530068933"
"grafinja";"30";"SRIC_EX";"0.017789527150905"
"grafinja";"30";"Max";"0.0366353696220585"
"pelikan";"30";"SRIC_EX";"0.017789527150905"
"pelikan";"30";"Max";"0.0366353696220585"
"knjaginja";"50";"SRIC_EX";"0.264645027770385"
"knjaginja";"50";"Max";"0.181295255996753"
"knjaz";"50";"SRIC_EX";"0.264645027770385"
"knjaz";"50";"Max";"0.181295255996753"
"seum";"50";"SRIC_EX";"0.218791009460749"
"seum";"50";"Max";"0.172520665570199"
"devka";"50";"SRIC_EX";"0.00256520588999012"
"devka";"50";"Max";"0.0275925411709422"
"njanja";"50";"SRIC_EX";"0.0244877199155206"
"njanja";"50";"Max";"0.0468355511886708"
"drugaja_njanja";"50";"SRIC_EX";"0.0244877199155206"
"drugaja_njanja";"50";"Max";"0.0468355511886708"
"tretja_njanja";"50";"SRIC_EX";"0.0244877199155206"
"tretja_njanja";"50";"Max";"0.0468355511886708"
"molodoj_knjaz";"50";"SRIC_EX";"0.0244877199155206"
"molodoj_knjaz";"50";"Max";"0.0468355511886708"
"nelstecov";"50";"SRIC_EX";"0.116663387995356"
"nelstecov";"50";"Max";"0.129965610782408"
"sluga";"50";"SRIC_EX";"0.009762159434144"
"sluga";"50";"Max";"0.0470107012410022"
"grafinja";"50";"SRIC_EX";"0.0124886510084535"
"grafinja";"50";"Max";"0.0364888822436295"
"pelikan";"50";"SRIC_EX";"0.0124886510084535"
"pelikan";"50";"Max";"0.0364888822436295"
"knjaginja";"70";"SRIC_EX";"0.239152770988944"
"knjaginja";"70";"Max";"0.183905466719923"
"knjaz";"70";"SRIC_EX";"0.239152770988944"
"knjaz";"70";"Max";"0.183905466719923"
"seum";"70";"SRIC_EX";"0.231166224348343"
"seum";"70";"Max";"0.179336777054227"
"devka";"70";"SRIC_EX";"0.0048416719757904"
"devka";"70";"Max";"0.0264427500100978"
"njanja";"70";"SRIC_EX";"0.0048416719757904"
"njanja";"70";"Max";"0.0438378788354778"
"drugaja_njanja";"70";"SRIC_EX";"0.0048416719757904"
"drugaja_njanja";"70";"Max";"0.0438378788354778"
"tretja_njanja";"70";"SRIC_EX";"0.0048416719757904"
"tretja_njanja";"70";"Max";"0.0438378788354778"
"molodoj_knjaz";"70";"SRIC_EX";"0.0048416719757904"
"molodoj_knjaz";"70";"Max";"0.0438378788354778"
"nelstecov";"70";"SRIC_EX";"0.209470104783725"
"nelstecov";"70";"Max";"0.128470835334192"
"sluga";"70";"SRIC_EX";"0.0158702241262692"
"sluga";"70";"Max";"0.0478007010111255"
"grafinja";"70";"SRIC_EX";"0.0204897724424119"
"grafinja";"70";"Max";"0.0373932439042999"
"pelikan";"70";"SRIC_EX";"0.0204897724424119"
"pelikan";"70";"Max";"0.0373932439042999"
