"Element";"Quota";"Centrality";"Value"
"inslar";"30";"SRIC_EX";"0.230254668066513"
"inslar";"30";"Max";"0.112235940155774"
"ehrik";"30";"SRIC_EX";"0.0895209316085148"
"ehrik";"30";"Max";"0.0830484942440713"
"gilderberg";"30";"SRIC_EX";"0.0553340564071815"
"gilderberg";"30";"Max";"0.0553141946369313"
"sluzhitel";"30";"SRIC_EX";"0.00162406015037594"
"sluzhitel";"30";"Max";"0.0163556784151117"
"posol";"30";"SRIC_EX";"0.00162406015037594"
"posol";"30";"Max";"0.0163556784151117"
"vestnik";"30";"SRIC_EX";"0.00971789760275129"
"vestnik";"30";"Max";"0.0328732325967986"
"floran";"30";"SRIC_EX";"0.0557761132594703"
"floran";"30";"Max";"0.0680625338538262"
"sluzhiteli";"30";"SRIC_EX";"0.00162406015037594"
"sluzhiteli";"30";"Max";"0.0163556784151117"
"velzen";"30";"SRIC_EX";"0.218647930935272"
"velzen";"30";"Max";"0.118403406862287"
"odin_iz_sluzhitelej";"30";"SRIC_EX";"0.0119661304580657"
"odin_iz_sluzhitelej";"30";"Max";"0.0244942938792282"
"ranenyj";"30";"SRIC_EX";"0.0119661304580657"
"ranenyj";"30";"Max";"0.0244942938792282"
"ehdvald";"30";"SRIC_EX";"0.0595897194320881"
"ehdvald";"30";"Max";"0.0652832514615514"
"godmila";"30";"SRIC_EX";"0.0941743109150572"
"godmila";"30";"Max";"0.088384168550029"
"nekotorye";"30";"SRIC_EX";"0.0446957493640586"
"nekotorye";"30";"Max";"0.0488541063523786"
"starejshij_vozhd";"30";"SRIC_EX";"0.0479676554420765"
"starejshij_vozhd";"30";"Max";"0.0472702142363511"
"vse_5-9";"30";"SRIC_EX";"0.0152548317969508"
"vse_5-9";"30";"Max";"0.0283494275201255"
"vse_4-2";"30";"SRIC_EX";"0.0152486683671405"
"vse_4-2";"30";"Max";"0.0327873139206933"
"odin_iz_naroda";"30";"SRIC_EX";"0.00503908074293944"
"odin_iz_naroda";"30";"Max";"0.0253908365864136"
"posol_ot_florana";"30";"SRIC_EX";"0.0114182028905357"
"posol_ot_florana";"30";"Max";"0.0265339285380751"
"vozhdi";"30";"SRIC_EX";"0.0114182028905357"
"vozhdi";"30";"Max";"0.0265339285380751"
"vtoroj_posol_ot_florana";"30";"SRIC_EX";"0.0040556029993194"
"vtoroj_posol_ot_florana";"30";"Max";"0.0235753376043632"
"vtoroj_voin";"30";"SRIC_EX";"0.00308193591233605"
"vtoroj_voin";"30";"Max";"0.0190440613384635"
"inslar";"50";"SRIC_EX";"0.247499998815274"
"inslar";"50";"Max";"0.129810614958137"
"ehrik";"50";"SRIC_EX";"0.0823164235503142"
"ehrik";"50";"Max";"0.0749129701525233"
"gilderberg";"50";"SRIC_EX";"0.064918534181361"
"gilderberg";"50";"Max";"0.0547665611839402"
"sluzhitel";"50";"SRIC_EX";"0"
"sluzhitel";"50";"Max";"0.0137325489430173"
"posol";"50";"SRIC_EX";"0"
"posol";"50";"Max";"0.0137325489430173"
"vestnik";"50";"SRIC_EX";"0.0125863636857684"
"vestnik";"50";"Max";"0.0286316541433421"
"floran";"50";"SRIC_EX";"0.0548017643704223"
"floran";"50";"Max";"0.0676901746227387"
"sluzhiteli";"50";"SRIC_EX";"0"
"sluzhiteli";"50";"Max";"0.0137325489430173"
"velzen";"50";"SRIC_EX";"0.216247413228352"
"velzen";"50";"Max";"0.133336236527639"
"odin_iz_sluzhitelej";"50";"SRIC_EX";"0.00657894736842105"
"odin_iz_sluzhitelej";"50";"Max";"0.0224280557659638"
"ranenyj";"50";"SRIC_EX";"0.00657894736842105"
"ranenyj";"50";"Max";"0.0224280557659638"
"ehdvald";"50";"SRIC_EX";"0.0722474908326636"
"ehdvald";"50";"Max";"0.0719521518388217"
"godmila";"50";"SRIC_EX";"0.0821054425062862"
"godmila";"50";"Max";"0.0875040358799626"
"nekotorye";"50";"SRIC_EX";"0.0615865599370366"
"nekotorye";"50";"Max";"0.0527475215078311"
"starejshij_vozhd";"50";"SRIC_EX";"0.0489127021312056"
"starejshij_vozhd";"50";"Max";"0.0498434474464647"
"vse_5-9";"50";"SRIC_EX";"0.00899286462424718"
"vse_5-9";"50";"Max";"0.0287717992502721"
"vse_4-2";"50";"SRIC_EX";"0.00914511467109986"
"vse_4-2";"50";"Max";"0.0299710824252054"
"odin_iz_naroda";"50";"SRIC_EX";"0.00225563909774436"
"odin_iz_naroda";"50";"Max";"0.0202203084599962"
"posol_ot_florana";"50";"SRIC_EX";"0.00948933672471141"
"posol_ot_florana";"50";"Max";"0.0244163039873174"
"vozhdi";"50";"SRIC_EX";"0.00948933672471141"
"vozhdi";"50";"Max";"0.0244163039873174"
"vtoroj_posol_ot_florana";"50";"SRIC_EX";"0.00239679123459206"
"vtoroj_posol_ot_florana";"50";"Max";"0.0211568085624877"
"vtoroj_voin";"50";"SRIC_EX";"0.00185032894736842"
"vtoroj_voin";"50";"Max";"0.013798266705024"
"inslar";"70";"SRIC_EX";"0.226153894008999"
"inslar";"70";"Max";"0.201732119968727"
"ehrik";"70";"SRIC_EX";"0.0537431318681319"
"ehrik";"70";"Max";"0.0495641633771554"
"gilderberg";"70";"SRIC_EX";"0.0502964237903997"
"gilderberg";"70";"Max";"0.0505628313527905"
"sluzhitel";"70";"SRIC_EX";"0"
"sluzhitel";"70";"Max";"0"
"posol";"70";"SRIC_EX";"0"
"posol";"70";"Max";"0"
"vestnik";"70";"SRIC_EX";"0.00631095811818703"
"vestnik";"70";"Max";"0.014914036214707"
"floran";"70";"SRIC_EX";"0.0914161840668621"
"floran";"70";"Max";"0.0831440909887299"
"sluzhiteli";"70";"SRIC_EX";"0"
"sluzhiteli";"70";"Max";"0"
"velzen";"70";"SRIC_EX";"0.208028526793916"
"velzen";"70";"Max";"0.186384733186021"
"odin_iz_sluzhitelej";"70";"SRIC_EX";"0.010989010989011"
"odin_iz_sluzhitelej";"70";"Max";"0"
"ranenyj";"70";"SRIC_EX";"0.010989010989011"
"ranenyj";"70";"Max";"0"
"ehdvald";"70";"SRIC_EX";"0.103570354696906"
"ehdvald";"70";"Max";"0.0689738755902293"
"godmila";"70";"SRIC_EX";"0.108780634125548"
"godmila";"70";"Max";"0.0781616209660717"
"nekotorye";"70";"SRIC_EX";"0.0224155037164737"
