"Element";"Quota";"Centrality";"Value"
"aleksej";"30";"SRIC_EX";"0.0359625866184828"
"aleksej";"30";"Max";"0.104668733427697"
"iharev";"30";"SRIC_EX";"0.327976582646489"
"iharev";"30";"Max";"0.198434473790008"
"gavrjushka";"30";"SRIC_EX";"0.00379448220676893"
"gavrjushka";"30";"Max";"0.0297560852409468"
"uteshitelnyj";"30";"SRIC_EX";"0.10833231834251"
"uteshitelnyj";"30";"Max";"0.152070067614759"
"mihail_aleksandrovich_glov";"30";"SRIC_EX";"0.0169635234507576"
"mihail_aleksandrovich_glov";"30";"Max";"0.0481227997246931"
"krugel";"30";"SRIC_EX";"0.177539733243793"
"krugel";"30";"Max";"0.181984678308492"
"shvohnev";"30";"SRIC_EX";"0.300750677562046"
"shvohnev";"30";"Max";"0.186608919772937"
"aleksandr_mihalych_glov";"30";"SRIC_EX";"0.0267684128356526"
"aleksandr_mihalych_glov";"30";"Max";"0.0746435679091748"
"zamuhryshkin";"30";"SRIC_EX";"0.00191168309349996"
"zamuhryshkin";"30";"Max";"0.0237106742112922"
"aleksej";"50";"SRIC_EX";"0.0259475179788657"
"aleksej";"50";"Max";"0.0828612687650389"
"iharev";"50";"SRIC_EX";"0.294562831948212"
"iharev";"50";"Max";"0.222191187780675"
"gavrjushka";"50";"SRIC_EX";"0.00113085646068331"
"gavrjushka";"50";"Max";"0.0262249083002994"
"uteshitelnyj";"50";"SRIC_EX";"0.176901238467724"
"uteshitelnyj";"50";"Max";"0.150379537531838"
"mihail_aleksandrovich_glov";"50";"SRIC_EX";"0.00972867200402848"
"mihail_aleksandrovich_glov";"50";"Max";"0.049397490703212"
"krugel";"50";"SRIC_EX";"0.198217048254231"
"krugel";"50";"Max";"0.169395391219791"
"shvohnev";"50";"SRIC_EX";"0.27026947149301"
"shvohnev";"50";"Max";"0.211801229440099"
"aleksandr_mihalych_glov";"50";"SRIC_EX";"0.0225168499004011"
"aleksandr_mihalych_glov";"50";"Max";"0.0669685519537774"
"zamuhryshkin";"50";"SRIC_EX";"0.000725513492843876"
"zamuhryshkin";"50";"Max";"0.0207804343052692"
"aleksej";"70";"SRIC_EX";"0.0293021455706014"
"aleksej";"70";"Max";"0.0748914218225838"
"iharev";"70";"SRIC_EX";"0.277274475788561"
"iharev";"70";"Max";"0.23059909010454"
"gavrjushka";"70";"SRIC_EX";"0.00299786537337323"
"gavrjushka";"70";"Max";"0.0249726582002399"
"uteshitelnyj";"70";"SRIC_EX";"0.161267604552605"
"uteshitelnyj";"70";"Max";"0.14240782939071"
"mihail_aleksandrovich_glov";"70";"SRIC_EX";"0.0151797963505547"
"mihail_aleksandrovich_glov";"70";"Max";"0.0506412679473388"
"krugel";"70";"SRIC_EX";"0.210919007988272"
"krugel";"70";"Max";"0.171212347439676"
"shvohnev";"70";"SRIC_EX";"0.275820841645394"
"shvohnev";"70";"Max";"0.218422540580986"
"aleksandr_mihalych_glov";"70";"SRIC_EX";"0.0261418436354034"
"aleksandr_mihalych_glov";"70";"Max";"0.0681336462314373"
"zamuhryshkin";"70";"SRIC_EX";"0.00109641909523496"
"zamuhryshkin";"70";"Max";"0.0187191982824882"
