"Element";"Quota";"Centrality";"Value"
"Grigorij";"30";"SRIC_EX";"0.41394179969729"
"Grigorij";"30";"Max";"0.180869565217391"
"Petr";"30";"SRIC_EX";"0.0297204455350313"
"Petr";"30";"Max";"0.0811594202898551"
"Ivan";"30";"SRIC_EX";"0.206135495728352"
"Ivan";"30";"Max";"0.170434782608696"
"ChuzhojSluga";"30";"SRIC_EX";"0.262784926480124"
"ChuzhojSluga";"30";"Max";"0.208695652173913"
"Barin";"30";"SRIC_EX";"0.0109744018898005"
"Barin";"30";"Max";"0.0834782608695652"
"GospodinVShube";"30";"SRIC_EX";"0.00543423568481433"
"GospodinVShube";"30";"Max";"0.0643478260869565"
"Devushka";"30";"SRIC_EX";"0.0129428803524057"
"Devushka";"30";"Max";"0.0684057971014493"
"PuzatyjDvoretskij";"30";"SRIC_EX";"0.0317500251584985"
"PuzatyjDvoretskij";"30";"Max";"0.0678260869565217"
"Annushka";"30";"SRIC_EX";"0.0263157894736842"
"Annushka";"30";"Max";"0.0747826086956522"
"Grigorij";"50";"SRIC_EX";"0.44179753820034"
"Grigorij";"50";"Max";"0.233134073441503"
"Petr";"50";"SRIC_EX";"0.0408688225011918"
"Petr";"50";"Max";"0.07600341588386"
"Ivan";"50";"SRIC_EX";"0.131265315680748"
"Ivan";"50";"Max";"0.169086251067464"
"ChuzhojSluga";"50";"SRIC_EX";"0.272807557687322"
"ChuzhojSluga";"50";"Max";"0.194705380017079"
"Barin";"50";"SRIC_EX";"0.0163590288290247"
"Barin";"50";"Max";"0.0640478223740393"
"GospodinVShube";"50";"SRIC_EX";"0.00881514130152969"
"GospodinVShube";"50";"Max";"0.0576430401366354"
"Devushka";"50";"SRIC_EX";"0.0266398755509463"
"Devushka";"50";"Max";"0.0661827497865073"
"PuzatyjDvoretskij";"50";"SRIC_EX";"0.0351309307752139"
"PuzatyjDvoretskij";"50";"Max";"0.0644748078565329"
"Annushka";"50";"SRIC_EX";"0.0263157894736842"
"Annushka";"50";"Max";"0.0747224594363792"
"Grigorij";"70";"SRIC_EX";"0.364610819747517"
"Grigorij";"70";"Max";"0.259112671560804"
"Petr";"70";"SRIC_EX";"0.0377655879522675"
"Petr";"70";"Max";"0.0812001276731567"
"Ivan";"70";"SRIC_EX";"0.233426561573015"
"Ivan";"70";"Max";"0.169486115544207"
"ChuzhojSluga";"70";"SRIC_EX";"0.250408050962068"
"ChuzhojSluga";"70";"Max";"0.201468241302266"
"Barin";"70";"SRIC_EX";"0.0229171963725739"
"Barin";"70";"Max";"0.0635812320459623"
"GospodinVShube";"70";"SRIC_EX";"0.00779727095516569"
"GospodinVShube";"70";"Max";"0.0498563676986913"
"Devushka";"70";"SRIC_EX";"0.0226456625348592"
"Devushka";"70";"Max";"0.0674752633258857"
"PuzatyjDvoretskij";"70";"SRIC_EX";"0.0341130604288499"
"PuzatyjDvoretskij";"70";"Max";"0.0661346951803383"
"Annushka";"70";"SRIC_EX";"0.0263157894736842"
"Annushka";"70";"Max";"0.0416852856686882"
