"Element";"Quota";"Centrality";"Value"
"MarjaAleksandrovna";"30";"SRIC_EX";"0.375"
"MarjaAleksandrovna";"30";"Max";"0.208333333333333"
"Misha";"30";"SRIC_EX";"0.25"
"Misha";"30";"Max";"0.25"
"Lakej";"30";"SRIC_EX";"0.25"
"Lakej";"30";"Max";"0.25"
"Sobachkin";"30";"SRIC_EX";"0.125"
"Sobachkin";"30";"Max";"0.291666666666667"
"MarjaAleksandrovna";"50";"SRIC_EX";"0.375"
"MarjaAleksandrovna";"50";"Max";"0.303030303030303"
"Misha";"50";"SRIC_EX";"0.265625"
"Misha";"50";"Max";"0.242424242424242"
"Lakej";"50";"SRIC_EX";"0.265625"
"Lakej";"50";"Max";"0.242424242424242"
"Sobachkin";"50";"SRIC_EX";"0.09375"
"Sobachkin";"50";"Max";"0.212121212121212"
"MarjaAleksandrovna";"70";"SRIC_EX";"0.375"
"MarjaAleksandrovna";"70";"Max";"0.321428571428571"
"Misha";"70";"SRIC_EX";"0.275"
"Misha";"70";"Max";"0.25"
"Lakej";"70";"SRIC_EX";"0.275"
"Lakej";"70";"Max";"0.25"
"Sobachkin";"70";"SRIC_EX";"0.075"
"Sobachkin";"70";"Max";"0.178571428571429"
