"Element";"Quota";"Centrality";"Value"
"PervyjCommeIlFaut";"30";"SRIC_EX";"0.004"
"PervyjCommeIlFaut";"30";"Max";"0"
"VtorojCommeIlFaut";"30";"SRIC_EX";"0.004"
"VtorojCommeIlFaut";"30";"Max";"0"
"PervyjOfitser_1";"30";"SRIC_EX";"0.004"
"PervyjOfitser_1";"30";"Max";"0"
"VtorojOfitser_1";"30";"SRIC_EX";"0.004"
"VtorojOfitser_1";"30";"Max";"0"
"GospodinNeskolkoBezzabotnyjNaschetLiteratury";"30";"SRIC_EX";"0.004"
"GospodinNeskolkoBezzabotnyjNaschetLiteratury";"30";"Max";"0"
"Drugoj";"30";"SRIC_EX";"0.004"
"Drugoj";"30";"Max";"0"
"OdnaBekesha_1";"30";"SRIC_EX";"0.004"
"OdnaBekesha_1";"30";"Max";"0"
"DrugajaBekesha_1";"30";"SRIC_EX";"0.004"
"DrugajaBekesha_1";"30";"Max";"0"
"PervyjOfitser_2";"30";"SRIC_EX";"0.0194285714285714"
"PervyjOfitser_2";"30";"Max";"0.00539374325782093"
"VtorojOfitser_2";"30";"SRIC_EX";"0.0194285714285714"
"VtorojOfitser_2";"30";"Max";"0.00539374325782093"
"OdinDrugojOfitser";"30";"SRIC_EX";"0.00857142857142857"
"OdinDrugojOfitser";"30";"Max";"0.00377562028047465"
"DrugojDrugojOfitser";"30";"SRIC_EX";"0.00857142857142857"
"DrugojDrugojOfitser";"30";"Max";"0.00377562028047465"
"NeizvestnoKakojChelovek";"30";"SRIC_EX";"0.004"
"NeizvestnoKakojChelovek";"30";"Max";"0"
"Literator";"30";"SRIC_EX";"0.004"
"Literator";"30";"Max";"0"
"PervyjLubitelIskusstva";"30";"SRIC_EX";"0.016"
"PervyjLubitelIskusstva";"30";"Max";"0.00431499460625674"
"VtorojLubitelIskusstva";"30";"SRIC_EX";"0.016"
"VtorojLubitelIskusstva";"30";"Max";"0.00431499460625674"
"TretijLubitelIskusstva";"30";"SRIC_EX";"0.016"
"TretijLubitelIskusstva";"30";"Max";"0.00431499460625674"
"ChetvertyjLubitelIskusstva";"30";"SRIC_EX";"0.016"
"ChetvertyjLubitelIskusstva";"30";"Max";"0.00431499460625674"
"PjatyjLubitelIskusstva";"30";"SRIC_EX";"0.016"
"PjatyjLubitelIskusstva";"30";"Max";"0.00431499460625674"
"NomerOdin";"30";"SRIC_EX";"0.004"
"NomerOdin";"30";"Max";"0"
"NomerDva";"30";"SRIC_EX";"0.004"
"NomerDva";"30";"Max";"0"
"GospodinA";"30";"SRIC_EX";"0.0122857142857143"
"GospodinA";"30";"Max";"0.00620280474649407"
"GospodinB";"30";"SRIC_EX";"0.0145"
"GospodinB";"30";"Max";"0.00809061488673139"
"OchenSkromnoOdetyjChelovek";"30";"SRIC_EX";"0.0122857142857143"
"OchenSkromnoOdetyjChelovek";"30";"Max";"0.00620280474649407"
"SinijArmjak";"30";"SRIC_EX";"0.0122857142857143"
"SinijArmjak";"30";"Max";"0.00620280474649407"
"GospodinV";"30";"SRIC_EX";"0.0250714285714286"
