"Element";"Quota";"Centrality";"Value"
"proletov";"30";"SRIC_EX";"0.5"
"proletov";"30";"Max";"0.25"
"lakej";"30";"SRIC_EX";"0.25"
"lakej";"30";"Max";"0.375"
"burdjukov";"30";"SRIC_EX";"0.25"
"burdjukov";"30";"Max";"0.375"
"proletov";"50";"SRIC_EX";"0.5"
"proletov";"50";"Max";"0.25"
"lakej";"50";"SRIC_EX";"0.25"
"lakej";"50";"Max";"0.375"
"burdjukov";"50";"SRIC_EX";"0.25"
"burdjukov";"50";"Max";"0.375"
"proletov";"70";"SRIC_EX";"0.5"
"proletov";"70";"Max";"0.4"
"lakej";"70";"SRIC_EX";"0.25"
"lakej";"70";"Max";"0.3"
"burdjukov";"70";"SRIC_EX";"0.25"
"burdjukov";"70";"Max";"0.3"
