"Element";"Quota";"Centrality";"Value"
"ivan_petrovich";"30";"SRIC_EX";"0.5"
"ivan_petrovich";"30";"Max";"0.216216216216216"
"lakej";"30";"SRIC_EX";"0.038961038961039"
"lakej";"30";"Max";"0.175675675675676"
"aleksandr_ivanovich";"30";"SRIC_EX";"0.383116883116883"
"aleksandr_ivanovich";"30";"Max";"0.27027027027027"
"shrejder";"30";"SRIC_EX";"0.038961038961039"
"shrejder";"30";"Max";"0.175675675675676"
"katerina_aleksandrovna";"30";"SRIC_EX";"0.038961038961039"
"katerina_aleksandrovna";"30";"Max";"0.162162162162162"
"ivan_petrovich";"50";"SRIC_EX";"0.5"
"ivan_petrovich";"50";"Max";"0.260869565217391"
"lakej";"50";"SRIC_EX";"0.0112781954887218"
"lakej";"50";"Max";"0.141304347826087"
"aleksandr_ivanovich";"50";"SRIC_EX";"0.466165413533835"
"aleksandr_ivanovich";"50";"Max";"0.326086956521739"
"shrejder";"50";"SRIC_EX";"0.0112781954887218"
"shrejder";"50";"Max";"0.141304347826087"
"katerina_aleksandrovna";"50";"SRIC_EX";"0.0112781954887218"
"katerina_aleksandrovna";"50";"Max";"0.130434782608696"
"ivan_petrovich";"70";"SRIC_EX";"0.5"
"ivan_petrovich";"70";"Max";"0.35"
"lakej";"70";"SRIC_EX";"0.038961038961039"
"lakej";"70";"Max";"0.12"
"aleksandr_ivanovich";"70";"SRIC_EX";"0.344155844155844"
"aleksandr_ivanovich";"70";"Max";"0.29"
"shrejder";"70";"SRIC_EX";"0.038961038961039"
"shrejder";"70";"Max";"0.12"
"katerina_aleksandrovna";"70";"SRIC_EX";"0.0779220779220779"
"katerina_aleksandrovna";"70";"Max";"0.12"
