"Element";"Quota";"Centrality";"Value"
"podkolesin";"30";"SRIC_EX";"0.0809458482345937"
"podkolesin";"30";"Max";"0.109145333456782"
"stepan";"30";"SRIC_EX";"0.00582797511072737"
"stepan";"30";"Max";"0.057612211824091"
"fekla";"30";"SRIC_EX";"0.137830812867169"
"fekla";"30";"Max";"0.116837975504827"
"kochkarev";"30";"SRIC_EX";"0.235152524780182"
"kochkarev";"30";"Max";"0.149697750568772"
"jaichnitsa";"30";"SRIC_EX";"0.142117045447129"
"jaichnitsa";"30";"Max";"0.116750336244983"
"zhevakin";"30";"SRIC_EX";"0.0920887952648241"
"zhevakin";"30";"Max";"0.0948878747550165"
"anuchkin";"30";"SRIC_EX";"0.110582378456637"
"anuchkin";"30";"Max";"0.0973884207334699"
"starikov";"30";"SRIC_EX";"0.0185834074872773"
"starikov";"30";"Max";"0.0388241921109117"
"agafja_tihonovna";"30";"SRIC_EX";"0.109538762837238"
"agafja_tihonovna";"30";"Max";"0.100874201616944"
"golos_izvozchika";"30";"SRIC_EX";"0.000294200666647295"
"golos_izvozchika";"30";"Max";"0.0146998956103332"
"arina_pantelejmonovna";"30";"SRIC_EX";"0.0623325934312695"
"arina_pantelejmonovna";"30";"Max";"0.0762885621577917"
"dunjashka";"30";"SRIC_EX";"0.00470565541630727"
"dunjashka";"30";"Max";"0.026993245416078"
"podkolesin";"50";"SRIC_EX";"0.0796117328827454"
"podkolesin";"50";"Max";"0.0917392019511842"
"stepan";"50";"SRIC_EX";"0.00371193408218091"
"stepan";"50";"Max";"0.0366442889526426"
"fekla";"50";"SRIC_EX";"0.141963185375549"
"fekla";"50";"Max";"0.121691193424258"
"kochkarev";"50";"SRIC_EX";"0.231252157047788"
"kochkarev";"50";"Max";"0.167379469116099"
"jaichnitsa";"50";"SRIC_EX";"0.14796539670444"
"jaichnitsa";"50";"Max";"0.122353635355625"
"zhevakin";"50";"SRIC_EX";"0.0896433789068784"
"zhevakin";"50";"Max";"0.0981961047505143"
"anuchkin";"50";"SRIC_EX";"0.10773924091214"
"anuchkin";"50";"Max";"0.10221125450033"
"starikov";"50";"SRIC_EX";"0.0172841616120733"
"starikov";"50";"Max";"0.0419634548914312"
"agafja_tihonovna";"50";"SRIC_EX";"0.114471956417974"
"agafja_tihonovna";"50";"Max";"0.106288978077952"
"golos_izvozchika";"50";"SRIC_EX";"0.000304256891982042"
"golos_izvozchika";"50";"Max";"0.00950128164235069"
"arina_pantelejmonovna";"50";"SRIC_EX";"0.0622187927324415"
"arina_pantelejmonovna";"50";"Max";"0.0776157053000939"
"dunjashka";"50";"SRIC_EX";"0.00383380643380765"
"dunjashka";"50";"Max";"0.0244154320375196"
"podkolesin";"70";"SRIC_EX";"0.0819672131147541"
"podkolesin";"70";"Max";"0.0887257909467771"
"stepan";"70";"SRIC_EX";"0.0398759415152858"
"stepan";"70";"Max";"0.0298890058526877"
"fekla";"70";"SRIC_EX";"0.198438192290651"
"fekla";"70";"Max";"0.123317822364383"
"kochkarev";"70";"SRIC_EX";"0.270124889233496"
"kochkarev";"70";"Max";"0.173240064576307"
"jaichnitsa";"70";"SRIC_EX";"0.101898260965884"
"jaichnitsa";"70";"Max";"0.122387799580235"
"zhevakin";"70";"SRIC_EX";"0.0274931693989071"
"zhevakin";"70";"Max";"0.0975625829331854"
"anuchkin";"70";"SRIC_EX";"0.0878355302023335"
"anuchkin";"70";"Max";"0.103818739173886"
"starikov";"70";"SRIC_EX";"0"
"starikov";"70";"Max";"0.0430024596114507"
"agafja_tihonovna";"70";"SRIC_EX";"0.173924180327869"
"agafja_tihonovna";"70";"Max";"0.109031389693775"
"golos_izvozchika";"70";"SRIC_EX";"0"
"golos_izvozchika";"70";"Max";"0.00783779141868787"
"arina_pantelejmonovna";"70";"SRIC_EX";"0.0184426229508197"
"arina_pantelejmonovna";"70";"Max";"0.0777608695438668"
"dunjashka";"70";"SRIC_EX";"0"
"dunjashka";"70";"Max";"0.0234256843047589"
