"Element";"Quota";"Centrality";"Value"
"ksenija";"30";"SRIC_EX";"0.143627055625428"
"ksenija";"30";"Max";"0.101398914397158"
"shura";"30";"SRIC_EX";"0.109712080446956"
"shura";"30";"Max";"0.0874374148000837"
"glafira";"30";"SRIC_EX";"0.0411226673063739"
"glafira";"30";"Max";"0.0522820781110517"
"varvara";"30";"SRIC_EX";"0.106739032782811"
"varvara";"30";"Max";"0.0770012453993149"
"bulychov";"30";"SRIC_EX";"0.232762682092492"
"bulychov";"30";"Max";"0.124281832636459"
"donat";"30";"SRIC_EX";"0.00380740802159577"
"donat";"30";"Max";"0.0226628294946413"
"zvontsov";"30";"SRIC_EX";"0.122725185546787"
"zvontsov";"30";"Max";"0.0872920993352472"
"bashkin";"30";"SRIC_EX";"0.045378180402885"
"bashkin";"30";"Max";"0.059662959710968"
"doktor";"30";"SRIC_EX";"0.000418931904795518"
"doktor";"30";"Max";"0.0087557443264136"
"laptev";"30";"SRIC_EX";"0.000774330684869891"
"laptev";"30";"Max";"0.0112466009220641"
"dostigaev";"30";"SRIC_EX";"0.0295399100263626"
"dostigaev";"30";"Max";"0.0440078745481987"
"pavlin";"30";"SRIC_EX";"0.0281105801258457"
"pavlin";"30";"Max";"0.0541867647736292"
"melanija";"30";"SRIC_EX";"0.0341674349738605"
"melanija";"30";"Max";"0.0488701197427169"
"propotej";"30";"SRIC_EX";"0.00813941500450861"
"propotej";"30";"Max";"0.0241846455104131"
"taisja";"30";"SRIC_EX";"0.00369526996301458"
"taisja";"30";"Max";"0.0214200066242088"
"antonina";"30";"SRIC_EX";"0.0217984892010326"
"antonina";"30";"Max";"0.0404314643562933"
"aleksej";"30";"SRIC_EX";"0.00138424387430554"
"aleksej";"30";"Max";"0.0129913298502137"
"tjatin";"30";"SRIC_EX";"0.0413100975499933"
"tjatin";"30";"Max";"0.052722423167449"
"trubach";"30";"SRIC_EX";"0.000890736033097867"
"trubach";"30";"Max";"0.0148085218778242"
"elizaveta";"30";"SRIC_EX";"0.0232101461645222"
"elizaveta";"30";"Max";"0.0378063919364184"
"zobunova";"30";"SRIC_EX";"0.000546777745099884"
"zobunova";"30";"Max";"0.0089623052005049"
"mokrousov";"30";"SRIC_EX";"0.000139344523362105"
"mokrousov";"30";"Max";"0.00758643327872839"
"ksenija";"50";"SRIC_EX";"0.189866970453185"
"ksenija";"50";"Max";"0.103471137116307"
"shura";"50";"SRIC_EX";"0.131909325903331"
"shura";"50";"Max";"0.0879962851675601"
"glafira";"50";"SRIC_EX";"0.0552528923099062"
"glafira";"50";"Max";"0.0560702772821944"
"varvara";"50";"SRIC_EX";"0.0842362032410356"
"varvara";"50";"Max";"0.080734767531345"
"bulychov";"50";"SRIC_EX";"0.205327488688642"
"bulychov";"50";"Max";"0.135662460605035"
"donat";"50";"SRIC_EX";"0.00152732260347611"
"donat";"50";"Max";"0.0199404287041892"
"zvontsov";"50";"SRIC_EX";"0.120497183494315"
"zvontsov";"50";"Max";"0.0937396608498197"
"bashkin";"50";"SRIC_EX";"0.0533833143010247"
"bashkin";"50";"Max";"0.0589215611712353"
"doktor";"50";"SRIC_EX";"0.000101821506898407"
"doktor";"50";"Max";"0.00731879068162556"
"laptev";"50";"SRIC_EX";"0.000312936323401608"
"laptev";"50";"Max";"0.00983176905560933"
"dostigaev";"50";"SRIC_EX";"0.0138515088690052"
"dostigaev";"50";"Max";"0.0437561239662844"
"pavlin";"50";"SRIC_EX";"0.0296047628633999"
"pavlin";"50";"Max";"0.0484357438310455"
