"Element";"Quota";"Centrality";"Value"
"lizanka";"30";"SRIC_EX";"0.0428190507865834"
"lizanka";"30";"Max";"0.0558974550834902"
"sofija";"30";"SRIC_EX";"0.108937219264821"
"sofija";"30";"Max";"0.065456607437192"
"famusov";"30";"SRIC_EX";"0.0538491936530607"
"famusov";"30";"Max";"0.0497902470704925"
"molchalin";"30";"SRIC_EX";"0.0462317480809154"
"molchalin";"30";"Max";"0.0484123563724741"
"chatskij";"30";"SRIC_EX";"0.114129803300899"
"chatskij";"30";"Max";"0.070067011103061"
"skalozub";"30";"SRIC_EX";"0.0453072712780094"
"skalozub";"30";"Max";"0.0469436638200166"
"grafinja_vnuchka";"30";"SRIC_EX";"0.0425848317262054"
"grafinja_vnuchka";"30";"Max";"0.0428973088546052"
"zagoretskij";"30";"SRIC_EX";"0.0580845358392285"
"zagoretskij";"30";"Max";"0.0501849834760476"
"platon_mihajlovich";"30";"SRIC_EX";"0.0467893630075809"
"platon_mihajlovich";"30";"Max";"0.0415176616379318"
"hlestova";"30";"SRIC_EX";"0.050479330825627"
"hlestova";"30";"Max";"0.0490572997043539"
"gn";"30";"SRIC_EX";"0.00139667792302049"
"gn";"30";"Max";"0.0079716831224079"
"natalja_dmitrievna";"30";"SRIC_EX";"0.0368025168549434"
"natalja_dmitrievna";"30";"Max";"0.0474264644970957"
"grafinja_babushka";"30";"SRIC_EX";"0.00724757443870016"
"grafinja_babushka";"30";"Max";"0.0264377636557194"
"knjaz";"30";"SRIC_EX";"0.0172524800292991"
"knjaz";"30";"Max";"0.031483099050295"
"knjaginja";"30";"SRIC_EX";"0.0934792142443907"
"knjaginja";"30";"Max";"0.0523314050983281"
"pervaja_knjazhna";"30";"SRIC_EX";"0.0377862123824121"
"pervaja_knjazhna";"30";"Max";"0.0400011682052115"
"vtoraja_knjazhna";"30";"SRIC_EX";"0.0377862123824121"
"vtoraja_knjazhna";"30";"Max";"0.0400011682052115"
"tretja_knjazhna";"30";"SRIC_EX";"0.0377862123824121"
"tretja_knjazhna";"30";"Max";"0.0400011682052115"
"chetviortaja_knjazhna";"30";"SRIC_EX";"0.0377862123824121"
"chetviortaja_knjazhna";"30";"Max";"0.0400011682052115"
"pjataja_knjazhna";"30";"SRIC_EX";"0.0377862123824121"
"pjataja_knjazhna";"30";"Max";"0.0400011682052115"
"shestaja_knjazhna";"30";"SRIC_EX";"0.0377862123824121"
"shestaja_knjazhna";"30";"Max";"0.0400011682052115"
"lakej_chatskogo";"30";"SRIC_EX";"0.000518007763697075"
"lakej_chatskogo";"30";"Max";"0.00954618494374932"
"sluga_2-3";"30";"SRIC_EX";"0.000242363172772386"
"sluga_2-3";"30";"Max";"0.00627348042143776"
"repetilov";"30";"SRIC_EX";"0.00203758328629704"
"repetilov";"30";"Max";"0.0223615903018332"
"lakej_4-4";"30";"SRIC_EX";"0.00046238535751557"
"lakej_4-4";"30";"Max";"0.00745774871695953"
"lakej_4-2a";"30";"SRIC_EX";"0.00143850714502888"
"lakej_4-2a";"30";"Max";"0.00709109506593342"
"lakej_4-2b";"30";"SRIC_EX";"0.00143850714502888"
"lakej_4-2b";"30";"Max";"0.00709109506593342"
