"Element";"Quota";"Centrality";"Value"
"Kadm";"30";"SRIC_EX";"0.103772642054665"
"Kadm";"30";"Max";"0.0844882531683095"
"Ehion";"30";"SRIC_EX";"0.103772642054665"
"Ehion";"30";"Max";"0.0844882531683095"
"Agava";"30";"SRIC_EX";"0.0870615722924684"
"Agava";"30";"Max";"0.0782628029348551"
"Akteon";"30";"SRIC_EX";"0.109919601522574"
"Akteon";"30";"Max";"0.101385903801971"
"PervyjJunosha";"30";"SRIC_EX";"0.0518139721740602"
"PervyjJunosha";"30";"Max";"0.0613651523011932"
"VtorojJunosha";"30";"SRIC_EX";"0.0518139721740602"
"VtorojJunosha";"30";"Max";"0.0613651523011932"
"TretijJunosha";"30";"SRIC_EX";"0.0518139721740602"
"TretijJunosha";"30";"Max";"0.0613651523011932"
"Krokale";"30";"SRIC_EX";"0.0819765970904491"
"Krokale";"30";"Max";"0.074483065293115"
"Ranis";"30";"SRIC_EX";"0.0819765970904491"
"Ranis";"30";"Max";"0.074483065293115"
"Hiale";"30";"SRIC_EX";"0.0819765970904491"
"Hiale";"30";"Max";"0.074483065293115"
"Diana";"30";"SRIC_EX";"0.0819765970904491"
"Diana";"30";"Max";"0.074483065293115"
"PervyjPes";"30";"SRIC_EX";"0.0272549019607843"
"PervyjPes";"30";"Max";"0.044022826650856"
"VtorojPes";"30";"SRIC_EX";"0.0272549019607843"
"VtorojPes";"30";"Max";"0.044022826650856"
"TretijPes";"30";"SRIC_EX";"0.0272549019607843"
"TretijPes";"30";"Max";"0.044022826650856"
"Ohotnitsy";"30";"SRIC_EX";"0.0303605313092979"
"Ohotnitsy";"30";"Max";"0.0372785888979471"
"Kadm";"50";"SRIC_EX";"0.111120538995815"
"Kadm";"50";"Max";"0.0903755868544601"
"Ehion";"50";"SRIC_EX";"0.111120538995815"
"Ehion";"50";"Max";"0.0903755868544601"
"Agava";"50";"SRIC_EX";"0.0707263242375602"
"Agava";"50";"Max";"0.0774647887323944"
"Akteon";"50";"SRIC_EX";"0.110466014611242"
"Akteon";"50";"Max";"0.144366197183099"
"PervyjJunosha";"50";"SRIC_EX";"0.0475446662966352"
"PervyjJunosha";"50";"Max";"0.0563380281690141"
"VtorojJunosha";"50";"SRIC_EX";"0.0475446662966352"
"VtorojJunosha";"50";"Max";"0.0563380281690141"
"TretijJunosha";"50";"SRIC_EX";"0.0475446662966352"
"TretijJunosha";"50";"Max";"0.0563380281690141"
"Krokale";"50";"SRIC_EX";"0.0921348314606742"
"Krokale";"50";"Max";"0.0821596244131455"
"Ranis";"50";"SRIC_EX";"0.0921348314606742"
"Ranis";"50";"Max";"0.0821596244131455"
"Hiale";"50";"SRIC_EX";"0.0921348314606742"
"Hiale";"50";"Max";"0.0821596244131455"
"Diana";"50";"SRIC_EX";"0.0921348314606742"
"Diana";"50";"Max";"0.0821596244131455"
"PervyjPes";"50";"SRIC_EX";"0.0224719101123596"
"PervyjPes";"50";"Max";"0.0176056338028169"
"VtorojPes";"50";"SRIC_EX";"0.0224719101123596"
"VtorojPes";"50";"Max";"0.0176056338028169"
"TretijPes";"50";"SRIC_EX";"0.0224719101123596"
"TretijPes";"50";"Max";"0.0176056338028169"
"Ohotnitsy";"50";"SRIC_EX";"0.0179775280898876"
"Ohotnitsy";"50";"Max";"0.0469483568075117"
"Kadm";"70";"SRIC_EX";"0.076056338028169"
"Kadm";"70";"Max";"0.0898841568251642"
"Ehion";"70";"SRIC_EX";"0.076056338028169"
"Ehion";"70";"Max";"0.0898841568251642"
"Agava";"70";"SRIC_EX";"0.0724346076458752"
"Agava";"70";"Max";"0.0776233828461907"
"Akteon";"70";"SRIC_EX";"0.111468812877264"
"Akteon";"70";"Max";"0.142591392091096"
"PervyjJunosha";"70";"SRIC_EX";"0.0354124748490946"
"PervyjJunosha";"70";"Max";"0.0559767749936582"
"VtorojJunosha";"70";"SRIC_EX";"0.0354124748490946"
"VtorojJunosha";"70";"Max";"0.0559767749936582"
"TretijJunosha";"70";"SRIC_EX";"0.0354124748490946"
"TretijJunosha";"70";"Max";"0.0559767749936582"
"Krokale";"70";"SRIC_EX";"0.109859154929577"
"Krokale";"70";"Max";"0.0828659206854759"
"Ranis";"70";"SRIC_EX";"0.109859154929577"
"Ranis";"70";"Max";"0.0828659206854759"
"Hiale";"70";"SRIC_EX";"0.109859154929577"
"Hiale";"70";"Max";"0.0828659206854759"
"Diana";"70";"SRIC_EX";"0.109859154929577"
"Diana";"70";"Max";"0.0828659206854759"
"PervyjPes";"70";"SRIC_EX";"0.028169014084507"
"PervyjPes";"70";"Max";"0.0177569830040306"
"VtorojPes";"70";"SRIC_EX";"0.028169014084507"
"VtorojPes";"70";"Max";"0.0177569830040306"
"TretijPes";"70";"SRIC_EX";"0.028169014084507"
"TretijPes";"70";"Max";"0.0177569830040306"
"Ohotnitsy";"70";"SRIC_EX";"0.0338028169014084"
"Ohotnitsy";"70";"Max";"0.0473519546774148"
