"Element";"Quota";"Centrality";"Value"
"Dervish";"30";"SRIC_EX";"0.148871232327595"
"Dervish";"30";"Max";"0.092464170134073"
"Peri";"30";"SRIC_EX";"0.148871232327595"
"Peri";"30";"Max";"0.092464170134073"
"Junosha";"30";"SRIC_EX";"0.0771043184348078"
"Junosha";"30";"Max";"0.0587567772033792"
"Rab";"30";"SRIC_EX";"0.019390784524531"
"Rab";"30";"Max";"0.0356967735608512"
"Beduin";"30";"SRIC_EX";"0.0771043184348078"
"Beduin";"30";"Max";"0.0587567772033792"
"Iskander";"30";"SRIC_EX";"0.019390784524531"
"Iskander";"30";"Max";"0.0356967735608512"
"Kalif";"30";"SRIC_EX";"0.019390784524531"
"Kalif";"30";"Max";"0.0356967735608512"
"Astrolog";"30";"SRIC_EX";"0.0951493409605037"
"Astrolog";"30";"Max";"0.0706090026478376"
"Staruha";"30";"SRIC_EX";"0.0384292544234848"
"Staruha";"30";"Max";"0.046960590649911"
"Kadi";"30";"SRIC_EX";"0.0384292544234848"
"Kadi";"30";"Max";"0.046960590649911"
"Shejh";"30";"SRIC_EX";"0.0384292544234848"
"Shejh";"30";"Max";"0.046960590649911"
"Pirat";"30";"SRIC_EX";"0.0384292544234848"
"Pirat";"30";"Max";"0.046960590649911"
"SynKalifa";"30";"SRIC_EX";"0.0384292544234848"
"SynKalifa";"30";"Max";"0.046960590649911"
"Sindbad";"30";"SRIC_EX";"0.0384292544234848"
"Sindbad";"30";"Max";"0.046960590649911"
"Glashataj";"30";"SRIC_EX";"0.0384292544234848"
"Glashataj";"30";"Max";"0.046960590649911"
"PervyjJevnuh";"30";"SRIC_EX";"0.0384292544234848"
"PervyjJevnuh";"30";"Max";"0.046960590649911"
"VtorojJevnuh";"30";"SRIC_EX";"0.0384292544234848"
"VtorojJevnuh";"30";"Max";"0.046960590649911"
"Gafiz";"30";"SRIC_EX";"0.016287971376578"
"Gafiz";"30";"Max";"0.0324044887151683"
"Ptitsy";"30";"SRIC_EX";"0.016287971376578"
"Ptitsy";"30";"Max";"0.0324044887151683"
"Angel";"30";"SRIC_EX";"0.016287971376578"
"Angel";"30";"Max";"0.0324044887151683"
"Dervish";"50";"SRIC_EX";"0.203042155584528"
"Dervish";"50";"Max";"0.114136732329085"
"Peri";"50";"SRIC_EX";"0.203042155584528"
"Peri";"50";"Max";"0.114136732329085"
"Junosha";"50";"SRIC_EX";"0.14767492394611"
"Junosha";"50";"Max";"0.0485515643105446"
"Rab";"50";"SRIC_EX";"0.0398087787918296"
"Rab";"50";"Max";"0.0261877172653534"
"Beduin";"50";"SRIC_EX";"0.14767492394611"
"Beduin";"50";"Max";"0.0485515643105446"
"Iskander";"50";"SRIC_EX";"0.0398087787918296"
"Iskander";"50";"Max";"0.0261877172653534"
"Kalif";"50";"SRIC_EX";"0.0398087787918296"
