"Element";"Quota";"Centrality";"Value"
"DonZhuan";"30";"SRIC_EX";"0.153061224489796"
"DonZhuan";"30";"Max";"0.205882352941176"
"Leporello";"30";"SRIC_EX";"0.346938775510204"
"Leporello";"30";"Max";"0.294117647058824"
"Amerikanets";"30";"SRIC_EX";"0.346938775510204"
"Amerikanets";"30";"Max";"0.294117647058824"
"Amerikanka";"30";"SRIC_EX";"0.153061224489796"
"Amerikanka";"30";"Max";"0.205882352941176"
"DonZhuan";"50";"SRIC_EX";"0.153061224489796"
"DonZhuan";"50";"Max";"0.22"
"Leporello";"50";"SRIC_EX";"0.346938775510204"
"Leporello";"50";"Max";"0.28"
"Amerikanets";"50";"SRIC_EX";"0.346938775510204"
"Amerikanets";"50";"Max";"0.28"
"Amerikanka";"50";"SRIC_EX";"0.153061224489796"
"Amerikanka";"50";"Max";"0.22"
"DonZhuan";"70";"SRIC_EX";"0.161654135338346"
"DonZhuan";"70";"Max";"0.22"
"Leporello";"70";"SRIC_EX";"0.338345864661654"
"Leporello";"70";"Max";"0.28"
"Amerikanets";"70";"SRIC_EX";"0.338345864661654"
"Amerikanets";"70";"Max";"0.28"
"Amerikanka";"70";"SRIC_EX";"0.161654135338346"
"Amerikanka";"70";"Max";"0.22"
