"Element";"Quota";"Centrality";"Value"
"konung";"30";"SRIC_EX";"0.0634791378710647"
"konung";"30";"Max";"0.0856156781463605"
"lage";"30";"SRIC_EX";"0.171103421700894"
"lage";"30";"Max";"0.152670652093949"
"ahti";"30";"SRIC_EX";"0.15488259300056"
"ahti";"30";"Max";"0.147045506158861"
"grubbe";"30";"SRIC_EX";"0.181858486750397"
"grubbe";"30";"Max";"0.158175211665851"
"snorre";"30";"SRIC_EX";"0.181858486750397"
"snorre";"30";"Max";"0.158175211665851"
"gondla";"30";"SRIC_EX";"0.140573039582139"
"gondla";"30";"Max";"0.126265565076654"
"vozhd";"30";"SRIC_EX";"0.0416186829038519"
"vozhd";"30";"Max";"0.0798168494653578"
"lera";"30";"SRIC_EX";"0.0646261514406968"
"lera";"30";"Max";"0.0922353257271166"
"konung";"50";"SRIC_EX";"0.065122087722317"
"konung";"50";"Max";"0.0860927152317881"
"lage";"50";"SRIC_EX";"0.166631893312744"
"lage";"50";"Max";"0.152317880794702"
"ahti";"50";"SRIC_EX";"0.149436134791413"
"ahti";"50";"Max";"0.145695364238411"
"grubbe";"50";"SRIC_EX";"0.183969265537428"
"grubbe";"50";"Max";"0.158940397350993"
"snorre";"50";"SRIC_EX";"0.183969265537428"
"snorre";"50";"Max";"0.158940397350993"
"gondla";"50";"SRIC_EX";"0.124591565381702"
"gondla";"50";"Max";"0.125827814569536"
"vozhd";"50";"SRIC_EX";"0.0511249940590223"
"vozhd";"50";"Max";"0.0794701986754967"
"lera";"50";"SRIC_EX";"0.0751547936579461"
"lera";"50";"Max";"0.0927152317880795"
"konung";"70";"SRIC_EX";"0.0337856332851054"
"konung";"70";"Max";"0.0864503718433734"
"lage";"70";"SRIC_EX";"0.210994787352665"
"lage";"70";"Max";"0.152808028039466"
"ahti";"70";"SRIC_EX";"0.194607460323379"
"ahti";"70";"Max";"0.145691803301355"
"grubbe";"70";"SRIC_EX";"0.201477960099711"
"grubbe";"70";"Max";"0.158994802409433"
"snorre";"70";"SRIC_EX";"0.201477960099711"
"snorre";"70";"Max";"0.158994802409433"
"gondla";"70";"SRIC_EX";"0.142106387743783"
"gondla";"70";"Max";"0.125971814847871"
"vozhd";"70";"SRIC_EX";"0"
"vozhd";"70";"Max";"0.079036614315471"
"lera";"70";"SRIC_EX";"0.0155498110956453"
"lera";"70";"Max";"0.0920517628335959"
