"Element";"Quota";"Centrality";"Value"
"kreont";"30";"SRIC_EX";"0.129668701015449"
"kreont";"30";"Max";"0.155925155925156"
"forbat";"30";"SRIC_EX";"0.0491171664568078"
"forbat";"30";"Max";"0.124740124740125"
"ehmon";"30";"SRIC_EX";"0.306733743892214"
"ehmon";"30";"Max";"0.207900207900208"
"antigona";"30";"SRIC_EX";"0.444311455628734"
"antigona";"30";"Max";"0.192307692307692"
"ehgina";"30";"SRIC_EX";"0.0547989769209559"
"ehgina";"30";"Max";"0.155925155925156"
"posol";"30";"SRIC_EX";"0.00318999088574033"
"posol";"30";"Max";"0.0550935550935551"
"dimas";"30";"SRIC_EX";"0.0121799652000994"
"dimas";"30";"Max";"0.108108108108108"
"kreont";"50";"SRIC_EX";"0.0772745317538248"
"kreont";"50";"Max";"0.146514507546602"
"forbat";"50";"SRIC_EX";"0.0859299232891331"
"forbat";"50";"Max";"0.121555503497206"
"ehmon";"50";"SRIC_EX";"0.316365626710454"
"ehmon";"50";"Max";"0.209758709547873"
"antigona";"50";"SRIC_EX";"0.455119971321669"
"antigona";"50";"Max";"0.242522003948998"
"ehgina";"50";"SRIC_EX";"0.0543663400014119"
"ehgina";"50";"Max";"0.148890599377531"
"posol";"50";"SRIC_EX";"0.00312674483528755"
"posol";"50";"Max";"0.0443224791673639"
"dimas";"50";"SRIC_EX";"0.00781686208821887"
"dimas";"50";"Max";"0.0864361969144272"
"kreont";"70";"SRIC_EX";"0.190680605429114"
"kreont";"70";"Max";"0.149096579218107"
"forbat";"70";"SRIC_EX";"0.0599688272322543"
"forbat";"70";"Max";"0.104648919753086"
"ehmon";"70";"SRIC_EX";"0.28533703043507"
"ehmon";"70";"Max";"0.228427211934156"
"antigona";"70";"SRIC_EX";"0.378934270238618"
"antigona";"70";"Max";"0.26781121399177"
"ehgina";"70";"SRIC_EX";"0.0727823848028452"
"ehgina";"70";"Max";"0.139853395061728"
"posol";"70";"SRIC_EX";"0.00341580051724979"
"posol";"70";"Max";"0.0374710648148148"
"dimas";"70";"SRIC_EX";"0.00888108134484946"
"dimas";"70";"Max";"0.0726916152263375"
