"Element";"Quota";"Centrality";"Value"
"pryamikov";"30";"SRIC_EX";"0.0206420515493269"
"pryamikov";"30";"Max";"0.0383901554168051"
"dobrov";"30";"SRIC_EX";"0.0175464974308167"
"dobrov";"30";"Max";"0.0402509941830205"
"anna";"30";"SRIC_EX";"0.0460751554432196"
"anna";"30";"Max";"0.056554659712324"
"sofia";"30";"SRIC_EX";"0.00649474319221877"
"sofia";"30";"Max";"0.022187364754173"
"krivosudov";"30";"SRIC_EX";"0.184320855526157"
"krivosudov";"30";"Max";"0.126759287554859"
"pravolov";"30";"SRIC_EX";"0.0619739046265066"
"pravolov";"30";"Max";"0.0701369353068092"
"khvataiko";"30";"SRIC_EX";"0.0740953532220432"
"khvataiko";"30";"Max";"0.0768413558564661"
"fyokla";"30";"SRIC_EX";"0.0990271587980172"
"fyokla";"30";"Max";"0.0882056336596776"
"bulbulkin";"30";"SRIC_EX";"0.109675242313395"
"bulbulkin";"30";"Max";"0.093689300933"
"naumych";"30";"SRIC_EX";"0.0420601085344308"
"naumych";"30";"Max";"0.0562978770231916"
"parolkin";"30";"SRIC_EX";"0.109675242313395"
"parolkin";"30";"Max";"0.093689300933"
"atuev";"30";"SRIC_EX";"0.0883012503877809"
"atuev";"30";"Max";"0.0832797418961121"
"radbyn";"30";"SRIC_EX";"0.0759013309554722"
"radbyn";"30";"Max";"0.0773218697313766"
"kokhtin";"30";"SRIC_EX";"0.064139024472079"
"kokhtin";"30";"Max";"0.0715204458515043"
"arkhip";"30";"SRIC_EX";"7.20812351401101e-05"
"arkhip";"30";"Max";"0.00487507718768064"
"pryamikov";"50";"SRIC_EX";"0.0159603663760582"
"pryamikov";"50";"Max";"0.0371957867224474"
"dobrov";"50";"SRIC_EX";"0.0076277515024359"
"dobrov";"50";"Max";"0.0368061539022986"
"anna";"50";"SRIC_EX";"0.0304903558993497"
"anna";"50";"Max";"0.0575044748854341"
"sofia";"50";"SRIC_EX";"0.00645425127129192"
"sofia";"50";"Max";"0.0209491706806582"
"krivosudov";"50";"SRIC_EX";"0.256956989163027"
"krivosudov";"50";"Max";"0.12865842106017"
"pravolov";"50";"SRIC_EX";"0.0101727877926546"
"pravolov";"50";"Max";"0.0699711242480146"
"khvataiko";"50";"SRIC_EX";"0.0676603503118723"
"khvataiko";"50";"Max";"0.077179293435107"
"fyokla";"50";"SRIC_EX";"0.0228518114389134"
"fyokla";"50";"Max";"0.0880974027729195"
"bulbulkin";"50";"SRIC_EX";"0.175777767994038"
"bulbulkin";"50";"Max";"0.0949766747444805"
"naumych";"50";"SRIC_EX";"0.00375423374053355"
"naumych";"50";"Max";"0.0566600201313951"
"parolkin";"50";"SRIC_EX";"0.175777767994038"
"parolkin";"50";"Max";"0.0949766747444805"
"atuev";"50";"SRIC_EX";"0.118767514296315"
"atuev";"50";"Max";"0.0836866012271482"
"radbyn";"50";"SRIC_EX";"0.0883281269330019"
"radbyn";"50";"Max";"0.0781044859858157"
"kokhtin";"50";"SRIC_EX";"0.0194199252864711"
"kokhtin";"50";"Max";"0.0718523440556663"
"arkhip";"50";"SRIC_EX";"0"
"arkhip";"50";"Max";"0.00338137140396369"
"pryamikov";"70";"SRIC_EX";"0"
"pryamikov";"70";"Max";"0.019272401810037"
"dobrov";"70";"SRIC_EX";"0"
"dobrov";"70";"Max";"0"
"anna";"70";"SRIC_EX";"0"
"anna";"70";"Max";"0"
"sofia";"70";"SRIC_EX";"0"
"sofia";"70";"Max";"0"
"krivosudov";"70";"SRIC_EX";"0"
"krivosudov";"70";"Max";"0.199308147563607"
"pravolov";"70";"SRIC_EX";"0"
"pravolov";"70";"Max";"0.0377661636141989"
"khvataiko";"70";"SRIC_EX";"0"
"khvataiko";"70";"Max";"0.104375415488013"
"fyokla";"70";"SRIC_EX";"0"
"fyokla";"70";"Max";"0"
"bulbulkin";"70";"SRIC_EX";"0"
"bulbulkin";"70";"Max";"0.141212165021235"
"naumych";"70";"SRIC_EX";"1"
"naumych";"70";"Max";"0.00549409846059142"
"parolkin";"70";"SRIC_EX";"0"
"parolkin";"70";"Max";"0.141212165021235"
"atuev";"70";"SRIC_EX";"0"
"atuev";"70";"Max";"0.128922585978447"
"radbyn";"70";"SRIC_EX";"0"
"radbyn";"70";"Max";"0.118984203030194"
"kokhtin";"70";"SRIC_EX";"0"
"kokhtin";"70";"Max";"0.10345265401244"
"arkhip";"70";"SRIC_EX";"0"
"arkhip";"70";"Max";"0"
