"Element";"Quota";"Centrality";"Value"
"flink";"30";"SRIC_EX";"0.0517964829176264"
"flink";"30";"Max";"0.050314399110928"
"fabricius";"30";"SRIC_EX";"0.0588279489362645"
"fabricius";"30";"Max";"0.0563728008890447"
"rembrandt";"30";"SRIC_EX";"0.279639081111681"
"rembrandt";"30";"Max";"0.112777727771535"
"saskiya";"30";"SRIC_EX";"0.0373380144699011"
"saskiya";"30";"Max";"0.0426794572256814"
"lyudvig";"30";"SRIC_EX";"0.108296084873169"
"lyudvig";"30";"Max";"0.0664932211280709"
"banning_kuk";"30";"SRIC_EX";"0.054642190011842"
"banning_kuk";"30";"Max";"0.054260639438302"
"prodavec_krasok";"30";"SRIC_EX";"0.000418164988916996"
"prodavec_krasok";"30";"Max";"0.011871289763857"
"lejtenant";"30";"SRIC_EX";"0.0103826802297165"
"lejtenant";"30";"Max";"0.0194308950206921"
"pervyj_strelok";"30";"SRIC_EX";"0.0057350336857856"
"pervyj_strelok";"30";"Max";"0.0131856357983316"
"vtoroj_strelok";"30";"SRIC_EX";"0.0057350336857856"
"vtoroj_strelok";"30";"Max";"0.0131856357983316"
"strelki";"30";"SRIC_EX";"0.0103826802297165"
"strelki";"30";"Max";"0.0194308950206921"
"siks";"30";"SRIC_EX";"0.0791717354250472"
"siks";"30";"Max";"0.0582712250263131"
"hendrike";"30";"SRIC_EX";"0.0310235963077331"
"hendrike";"30";"Max";"0.0412172733514669"
"sudebnyj_pristav";"30";"SRIC_EX";"0.0275778277417962"
"sudebnyj_pristav";"30";"Max";"0.0325766258999454"
"pervyj_strazhnik";"30";"SRIC_EX";"0.0124554891108365"
"pervyj_strazhnik";"30";"Max";"0.0176693270495707"
"vtoroj_strazhnik";"30";"SRIC_EX";"0.0124554891108365"
"vtoroj_strazhnik";"30";"Max";"0.0176693270495707"
"tretij_strazhnik";"30";"SRIC_EX";"0.0212238133466941"
"tretij_strazhnik";"30";"Max";"0.0282995192282709"
"chetvertyj_strazhnik";"30";"SRIC_EX";"0.0124554891108365"
"chetvertyj_strazhnik";"30";"Max";"0.0176693270495707"
"pyatyj_strazhnik";"30";"SRIC_EX";"0.0124554891108365"
"pyatyj_strazhnik";"30";"Max";"0.0176693270495707"
"pervyj_gorozhanin";"30";"SRIC_EX";"0.0124554891108365"
"pervyj_gorozhanin";"30";"Max";"0.0176693270495707"
"vtoroj_gorozhanin";"30";"SRIC_EX";"0.0124554891108365"
"vtoroj_gorozhanin";"30";"Max";"0.0176693270495707"
"pisec";"30";"SRIC_EX";"0.00694569873915032"
"pisec";"30";"Max";"0.0195849824634337"
"hozyain_gostinicy";"30";"SRIC_EX";"0.00926640918760583"
"hozyain_gostinicy";"30";"Max";"0.0134310764437021"
"magdalina_van_loo";"30";"SRIC_EX";"0.00926640918760583"
"magdalina_van_loo";"30";"Max";"0.0134310764437021"
"pervyj_sosed";"30";"SRIC_EX";"0.00926640918760583"
"pervyj_sosed";"30";"Max";"0.0134310764437021"
"vtoroj_sosed";"30";"SRIC_EX";"0.00926640918760583"
"vtoroj_sosed";"30";"Max";"0.0134310764437021"
"golosa";"30";"SRIC_EX";"0.00926640918760583"
"golosa";"30";"Max";"0.0134310764437021"
"mortejra";"30";"SRIC_EX";"0.0157160224009237"
"mortejra";"30";"Max";"0.0265748750844174"
"byurger";"30";"SRIC_EX";"0.000488426801764977"
"byurger";"30";"Max";"0.0087681420156784"
"golos_s_ulicy";"30";"SRIC_EX";"0.000725863860759643"
"golos_s_ulicy";"30";"Max";"0.0089058176378941"
"pushkar";"30";"SRIC_EX";"0.00825297151669585"
"pushkar";"30";"Max";"0.0243858660229754"
"doktor_tyulp";"30";"SRIC_EX";"0.00160113157603475"
"doktor_tyulp";"30";"Max";"0.0114585298563896"
"pastor";"30";"SRIC_EX";"0.000722753809360532"
"pastor";"30";"Max";"0.0127911654052706"
"princ";"30";"SRIC_EX";"0.00285117579970388"
"princ";"30";"Max";"0.013161404536687"
"kreditor";"30";"SRIC_EX";"0.00163077789561583"
"kreditor";"30";"Max";"0.00834326595337889"
"pervyj_kupec";"30";"SRIC_EX";"0.00963497150587778"
"pervyj_kupec";"30";"Max";"0.0120812276727463"
"pervaya_dama";"30";"SRIC_EX";"0.00963497150587778"
"pervaya_dama";"30";"Max";"0.0120812276727463"
"vtoroj_kupec";"30";"SRIC_EX";"0.00963497150587778"
"vtoroj_kupec";"30";"Max";"0.0120812276727463"
"tretij_kupec";"30";"SRIC_EX";"0.00963497150587778"
"tretij_kupec";"30";"Max";"0.0120812276727463"
"vtoraya_dama";"30";"SRIC_EX";"0.00963497150587778"
"vtoraya_dama";"30";"Max";"0.0120812276727463"
"tretya_dama";"30";"SRIC_EX";"0.00963497150587778"
"tretya_dama";"30";"Max";"0.0120812276727463"
"flink";"50";"SRIC_EX";"0.0220800887329952"
"flink";"50";"Max";"0.0485814475360754"
"fabricius";"50";"SRIC_EX";"0.0780068593696026"
"fabricius";"50";"Max";"0.0634472772958075"
"rembrandt";"50";"SRIC_EX";"0.277022596577701"
"rembrandt";"50";"Max";"0.136500747183765"
"saskiya";"50";"SRIC_EX";"0.0509615278312255"
"saskiya";"50";"Max";"0.0424360382504197"
"lyudvig";"50";"SRIC_EX";"0.0934210412090655"
"lyudvig";"50";"Max";"0.0732679747666147"
"banning_kuk";"50";"SRIC_EX";"0.101935575045081"
"banning_kuk";"50";"Max";"0.0610493625345218"
"prodavec_krasok";"50";"SRIC_EX";"0.000774583814886763"
"prodavec_krasok";"50";"Max";"0.00559004805464607"
"lejtenant";"50";"SRIC_EX";"0.01608524951871"
"lejtenant";"50";"Max";"0.0174475042035664"
"pervyj_strelok";"50";"SRIC_EX";"0.00771057622552017"
"pervyj_strelok";"50";"Max";"0.0130725958273253"
"vtoroj_strelok";"50";"SRIC_EX";"0.00771057622552017"
"vtoroj_strelok";"50";"Max";"0.0130725958273253"
"strelki";"50";"SRIC_EX";"0.01608524951871"
"strelki";"50";"Max";"0.0174475042035664"
"siks";"50";"SRIC_EX";"0.0889447829208512"
"siks";"50";"Max";"0.0632993743560114"
"hendrike";"50";"SRIC_EX";"0.0176923014749227"
"hendrike";"50";"Max";"0.0416883514406122"
"sudebnyj_pristav";"50";"SRIC_EX";"0.0194760941983269"
"sudebnyj_pristav";"50";"Max";"0.0310179795041715"
