"Element";"Quota";"Centrality";"Value"
"knjaz_ruksalon";"30";"SRIC_EX";"0.0485335284548205"
"knjaz_ruksalon";"30";"Max";"0.0585438974932286"
"knjaz_feodor";"30";"SRIC_EX";"0.0319864289799659"
"knjaz_feodor";"30";"Max";"0.051563979357936"
"knjaz_dimitrij";"30";"SRIC_EX";"0.226069883891797"
"knjaz_dimitrij";"30";"Max";"0.135743209158703"
"bojarin_ioann";"30";"SRIC_EX";"0.00819312359339534"
"bojarin_ioann";"30";"Max";"0.0286592974913292"
"knjaz_pozharskij";"30";"SRIC_EX";"0.121227401047882"
"knjaz_pozharskij";"30";"Max";"0.0975783312544049"
"leon";"30";"SRIC_EX";"0.174495571399727"
"leon";"30";"Max";"0.117228673508377"
"sofija";"30";"SRIC_EX";"0.173062535435609"
"sofija";"30";"Max";"0.114310024043878"
"minin";"30";"SRIC_EX";"0.0466521526640108"
"minin";"30";"Max";"0.0553724953864614"
"odin_iz_voinov";"30";"SRIC_EX";"0.0021094899388366"
"odin_iz_voinov";"30";"Max";"0.0147723103127898"
"hotkeev";"30";"SRIC_EX";"0.0228092726997845"
"hotkeev";"30";"Max";"0.0274245217347885"
"vjanko";"30";"SRIC_EX";"0.0725774189002933"
"vjanko";"30";"Max";"0.0761696511729848"
"getman_zhelkovskij";"30";"SRIC_EX";"0.0121200146328237"
"getman_zhelkovskij";"30";"Max";"0.0317473045293646"
"vestnik";"30";"SRIC_EX";"0.00041246310944172"
"vestnik";"30";"Max";"0.0122209279181019"
"narod";"30";"SRIC_EX";"0.00269943319947294"
"narod";"30";"Max";"0.0162804764914606"
"voenachalnik_polskij";"30";"SRIC_EX";"0.0100147935523044"
"voenachalnik_polskij";"30";"Max";"0.0193885230882798"
"velmozha";"30";"SRIC_EX";"0.0100147935523044"
"velmozha";"30";"Max";"0.0193885230882798"
"parfenija";"30";"SRIC_EX";"0.017361571505042"
"parfenija";"30";"Max";"0.0425458982834499"
"velmozhi";"30";"SRIC_EX";"0.00820605678221653"
"velmozhi";"30";"Max";"0.0185650116129794"
"devitsy";"30";"SRIC_EX";"0.00820605678221653"
"devitsy";"30";"Max";"0.0185650116129794"
"nachalnik";"30";"SRIC_EX";"0.000341348988114624"
"nachalnik";"30";"Max";"0.0130075547424991"
"voin";"30";"SRIC_EX";"0.000885619695610407"
"voin";"30";"Max";"0.0134117691662729"
"drugoj_voin";"30";"SRIC_EX";"0.00202104119433049"
"drugoj_voin";"30";"Max";"0.0175126085514513"
"knjaz_ruksalon";"50";"SRIC_EX";"0.0553027368034135"
"knjaz_ruksalon";"50";"Max";"0.0637285970660117"
"knjaz_feodor";"50";"SRIC_EX";"0.0276326627236772"
"knjaz_feodor";"50";"Max";"0.0470272757301604"
