"Element";"Quota";"Centrality";"Value"
"korans";"30";"SRIC_EX";"0.345353679576417"
"korans";"30";"Max";"0.211092715231788"
"zaneta";"30";"SRIC_EX";"0.055620262393125"
"zaneta";"30";"Max";"0.160182119205298"
"oficer";"30";"SRIC_EX";"0.0314910896790466"
"oficer";"30";"Max";"0.109271523178808"
"mirozi";"30";"SRIC_EX";"0.381615868408321"
"mirozi";"30";"Max";"0.211092715231788"
"zherom";"30";"SRIC_EX";"0.111918648702346"
"zherom";"30";"Max";"0.162665562913907"
"odin_voin";"30";"SRIC_EX";"0.0370002256203718"
"odin_voin";"30";"Max";"0.0728476821192053"
"vestnik";"30";"SRIC_EX";"0.0370002256203718"
"vestnik";"30";"Max";"0.0728476821192053"
"korans";"50";"SRIC_EX";"0.374356783068041"
"korans";"50";"Max";"0.229483083118134"
"zaneta";"50";"SRIC_EX";"0.0528411571373315"
"zaneta";"50";"Max";"0.131439576311988"
"oficer";"50";"SRIC_EX";"0.0404722104725045"
"oficer";"50";"Max";"0.103558454063991"
"mirozi";"50";"SRIC_EX";"0.336233457402812"
"mirozi";"50";"Max";"0.230095855035672"
"zherom";"50";"SRIC_EX";"0.102586797740737"
"zherom";"50";"Max";"0.150391736332998"
"odin_voin";"50";"SRIC_EX";"0.0467547970892871"
"odin_voin";"50";"Max";"0.0775156475686086"
"vestnik";"50";"SRIC_EX";"0.0467547970892871"
"vestnik";"50";"Max";"0.0775156475686086"
"korans";"70";"SRIC_EX";"0.303761312217195"
"korans";"70";"Max";"0.232640738767537"
"zaneta";"70";"SRIC_EX";"0.0888588934724581"
"zaneta";"70";"Max";"0.123068726691529"
"oficer";"70";"SRIC_EX";"0.0541009463722397"
"oficer";"70";"Max";"0.100870182916001"
"mirozi";"70";"SRIC_EX";"0.32997732066526"
"mirozi";"70";"Max";"0.237968389273664"
"zherom";"70";"SRIC_EX";"0.139789341179325"
"zherom";"70";"Max";"0.144734505416445"
"odin_voin";"70";"SRIC_EX";"0.0417560930467608"
"odin_voin";"70";"Max";"0.0803587284674125"
"vestnik";"70";"SRIC_EX";"0.0417560930467608"
"vestnik";"70";"Max";"0.0803587284674125"
