"Element";"Quota";"Centrality";"Value"
"snezini";"30";"SRIC_EX";"0"
"snezini";"30";"Max";"0"
"smehini";"30";"SRIC_EX";"0"
"smehini";"30";"Max";"0"
"nemini";"30";"SRIC_EX";"0"
"nemini";"30";"Max";"0"
"slepini";"30";"SRIC_EX";"0"
"slepini";"30";"Max";"0"
"berezomir";"30";"SRIC_EX";"0"
"berezomir";"30";"Max";"0"
"skazchich-morochich";"30";"SRIC_EX";"0"
"skazchich-morochich";"30";"Max";"0"
"molchaschie_sestry";"30";"SRIC_EX";"0"
"molchaschie_sestry";"30";"Max";"0"
"njanja-leshij";"30";"SRIC_EX";"0"
"njanja-leshij";"30";"Max";"0"
"dukhi";"30";"SRIC_EX";"0"
"dukhi";"30";"Max";"0"
"molodoj_rabochij";"30";"SRIC_EX";"0"
"molodoj_rabochij";"30";"Max";"0"
"vtoroj_chelovek";"30";"SRIC_EX";"0"
"vtoroj_chelovek";"30";"Max";"0"
"nekij_glas";"30";"SRIC_EX";"0"
"nekij_glas";"30";"Max";"0"
"veschezhonka";"30";"SRIC_EX";"0"
"veschezhonka";"30";"Max";"0"
"starushka-dokladchitsa";"30";"SRIC_EX";"0"
"starushka-dokladchitsa";"30";"Max";"0"
"bes";"30";"SRIC_EX";"0"
"bes";"30";"Max";"0"
"besenysh-besok";"30";"SRIC_EX";"0"
"besenysh-besok";"30";"Max";"0"
"lipjanoe_byvmo";"30";"SRIC_EX";"0"
"lipjanoe_byvmo";"30";"Max";"0"
"vselennichi";"30";"SRIC_EX";"0"
"vselennichi";"30";"Max";"0"
"vse_1";"30";"SRIC_EX";"0"
"vse_1";"30";"Max";"0"
"moroznyj_tjatka";"30";"SRIC_EX";"0"
"moroznyj_tjatka";"30";"Max";"0"
"snezhak";"30";"SRIC_EX";"0.0252100840336134"
"snezhak";"30";"Max";"0.00563556668753914"
"drevoljud";"30";"SRIC_EX";"0"
"drevoljud";"30";"Max";"0"
"snezhachiha";"30";"SRIC_EX";"0"
"snezhachiha";"30";"Max";"0"
"lipovyj_paren";"30";"SRIC_EX";"0"
"lipovyj_paren";"30";"Max";"0"
"snegchie";"30";"SRIC_EX";"0"
"snegchie";"30";"Max";"0"
"belyj_muzhik";"30";"SRIC_EX";"0"
"belyj_muzhik";"30";"Max";"0"
"belyj_bojarin";"30";"SRIC_EX";"0"
"belyj_bojarin";"30";"Max";"0"
"snezhnye_mamki";"30";"SRIC_EX";"0"
"snezhnye_mamki";"30";"Max";"0"
"snegomuzhe";"30";"SRIC_EX";"0"
"snegomuzhe";"30";"Max";"0"
"zajats";"30";"SRIC_EX";"0"
"zajats";"30";"Max";"0"
"snegun";"30";"SRIC_EX";"0"
"snegun";"30";"Max";"0"
"voron";"30";"SRIC_EX";"0"
"voron";"30";"Max";"0"
"rynda";"30";"SRIC_EX";"0"
"rynda";"30";"Max";"0"
"pechalnyj_leshij-leshachonok";"30";"SRIC_EX";"0.0168067226890756"
"pechalnyj_leshij-leshachonok";"30";"Max";"0.00375704445835942"
"snegiri";"30";"SRIC_EX";"0.0168067226890756"
"snegiri";"30";"Max";"0.00375704445835942"
"leshachiha";"30";"SRIC_EX";"0.0168067226890756"
"leshachiha";"30";"Max";"0.00375704445835942"
"hovun";"30";"SRIC_EX";"0"
