"Element";"Quota";"Centrality";"Value"
"prelestina";"30";"SRIC_EX";"0.0625226027928464"
"prelestina";"30";"Max";"0.0995082659587306"
"liza";"30";"SRIC_EX";"0.1234984531702"
"liza";"30";"Max";"0.123491613370339"
"vestina";"30";"SRIC_EX";"0.0847419781868167"
"vestina";"30";"Max";"0.0749366477615543"
"svahina";"30";"SRIC_EX";"0.0971811496883354"
"svahina";"30";"Max";"0.0890551466151804"
"graf";"30";"SRIC_EX";"0.2740515196621"
"graf";"30";"Max";"0.156027512972125"
"chvanova";"30";"SRIC_EX";"0.0890922564369801"
"chvanova";"30";"Max";"0.0830819355617232"
"modestov";"30";"SRIC_EX";"0.058756040926083"
"modestov";"30";"Max";"0.0986484855798238"
"sporkina";"30";"SRIC_EX";"0.0561367719010681"
"sporkina";"30";"Max";"0.0669723663569446"
"vzdorkina";"30";"SRIC_EX";"0.0561367719010681"
"vzdorkina";"30";"Max";"0.0669723663569446"
"gromova";"30";"SRIC_EX";"0.0468442767837463"
"gromova";"30";"Max";"0.0516773259321829"
"ivanova";"30";"SRIC_EX";"0.0468442767837463"
"ivanova";"30";"Max";"0.0516773259321829"
"sluga";"30";"SRIC_EX";"0.00419390176701"
"sluga";"30";"Max";"0.0379510076022686"
"prelestina";"50";"SRIC_EX";"0.0501576169857565"
"prelestina";"50";"Max";"0.073173162694586"
"liza";"50";"SRIC_EX";"0.135421359154247"
"liza";"50";"Max";"0.113394127810867"
"vestina";"50";"SRIC_EX";"0.0745825119070316"
"vestina";"50";"Max";"0.0834510036316076"
"svahina";"50";"SRIC_EX";"0.100378933516127"
"svahina";"50";"Max";"0.0932853380257905"
"graf";"50";"SRIC_EX";"0.289353395950868"
"graf";"50";"Max";"0.183037520111837"
"chvanova";"50";"SRIC_EX";"0.0879606475251166"
"chvanova";"50";"Max";"0.0870193692510887"
"modestov";"50";"SRIC_EX";"0.08389510871814"
"modestov";"50";"Max";"0.0888286051021805"
"sporkina";"50";"SRIC_EX";"0.0493109279628592"
"sporkina";"50";"Max";"0.069395570324361"
"vzdorkina";"50";"SRIC_EX";"0.0493109279628592"
"vzdorkina";"50";"Max";"0.069395570324361"
"gromova";"50";"SRIC_EX";"0.0380299867594279"
"gromova";"50";"Max";"0.0565839866647401"
"ivanova";"50";"SRIC_EX";"0.0380299867594279"
"ivanova";"50";"Max";"0.0565839866647401"
"sluga";"50";"SRIC_EX";"0.00356859679813793"
"sluga";"50";"Max";"0.025851759393841"
"prelestina";"70";"SRIC_EX";"0.128457330362331"
"prelestina";"70";"Max";"0.0727028000266872"
"liza";"70";"SRIC_EX";"0.178661572450951"
"liza";"70";"Max";"0.114512903798167"
"vestina";"70";"SRIC_EX";"0.0480716061843795"
"vestina";"70";"Max";"0.0877431320882954"
"svahina";"70";"SRIC_EX";"0.0523458129902319"
"svahina";"70";"Max";"0.0987872368887246"
"graf";"70";"SRIC_EX";"0.37735183026516"
"graf";"70";"Max";"0.187261704684948"
"chvanova";"70";"SRIC_EX";"0.077880359451871"
"chvanova";"70";"Max";"0.101475168501819"
"modestov";"70";"SRIC_EX";"0.127780543200566"
"modestov";"70";"Max";"0.0839492306439686"
"sporkina";"70";"SRIC_EX";"0"
"sporkina";"70";"Max";"0.0695599277040236"
"vzdorkina";"70";"SRIC_EX";"0"
"vzdorkina";"70";"Max";"0.0695599277040236"
"gromova";"70";"SRIC_EX";"0"
"gromova";"70";"Max";"0.047672289649929"
"ivanova";"70";"SRIC_EX";"0"
"ivanova";"70";"Max";"0.047672289649929"
"sluga";"70";"SRIC_EX";"0.00945094509450945"
"sluga";"70";"Max";"0.0191033886594848"
