"Element";"Quota";"Centrality";"Value"
"evgeniya";"30";"SRIC_EX";"0.299576627994012"
"evgeniya";"30";"Max";"0.212044211343239"
"dasha";"30";"SRIC_EX";"0.195889229293351"
"dasha";"30";"Max";"0.233949605077044"
"radugin";"30";"SRIC_EX";"0.120973411703724"
"radugin";"30";"Max";"0.142034572969996"
"stolicyn";"30";"SRIC_EX";"0.163756607424686"
"stolicyn";"30";"Max";"0.178748012867854"
"ramirskij";"30";"SRIC_EX";"0.205832067696003"
"ramirskij";"30";"Max";"0.183629786328531"
"evgenij";"30";"SRIC_EX";"0.0139720558882236"
"evgenij";"30";"Max";"0.049593811413336"
"evgeniya";"50";"SRIC_EX";"0.310773460307474"
"evgeniya";"50";"Max";"0.229649728663049"
"dasha";"50";"SRIC_EX";"0.198560057242219"
"dasha";"50";"Max";"0.195691498108864"
"radugin";"50";"SRIC_EX";"0.0948641208579545"
"radugin";"50";"Max";"0.140601874691663"
"stolicyn";"50";"SRIC_EX";"0.182069646059568"
"stolicyn";"50";"Max";"0.186975826344351"
"ramirskij";"50";"SRIC_EX";"0.202633274907392"
"ramirskij";"50";"Max";"0.192238118730472"
"evgenij";"50";"SRIC_EX";"0.0110994406253928"
"evgenij";"50";"Max";"0.0548429534616017"
"evgeniya";"70";"SRIC_EX";"0.265667985394003"
"evgeniya";"70";"Max";"0.246135341025527"
"dasha";"70";"SRIC_EX";"0.197566644612018"
"dasha";"70";"Max";"0.188778010424556"
"radugin";"70";"SRIC_EX";"0.127400689175562"
"radugin";"70";"Max";"0.14243551476812"
"stolicyn";"70";"SRIC_EX";"0.202649232710198"
"stolicyn";"70";"Max";"0.187913347400139"
"ramirskij";"70";"SRIC_EX";"0.19955798389554"
"ramirskij";"70";"Max";"0.192809729585245"
"evgenij";"70";"SRIC_EX";"0.00715746421267894"
"evgenij";"70";"Max";"0.0419280567964134"
