"Element";"Quota";"Centrality";"Value"
"sasha";"30";"SRIC_EX";"0.354432124479294"
"sasha";"30";"Max";"0.206825232678387"
"aglaeva";"30";"SRIC_EX";"0.204977333986768"
"aglaeva";"30";"Max";"0.227507755946225"
"ipat";"30";"SRIC_EX";"0.0255513354569958"
"ipat";"30";"Max";"0.105480868665977"
"viktor";"30";"SRIC_EX";"0.116662582700319"
"viktor";"30";"Max";"0.248190279214064"
"alnaskarov";"30";"SRIC_EX";"0.298376623376623"
"alnaskarov";"30";"Max";"0.211995863495346"
"sasha";"50";"SRIC_EX";"0.307325558852288"
"sasha";"50";"Max";"0.247937933850551"
"aglaeva";"50";"SRIC_EX";"0.246360969340484"
"aglaeva";"50";"Max";"0.225398121682319"
"ipat";"50";"SRIC_EX";"0.0310849437643696"
"ipat";"50";"Max";"0.100612494895876"
"viktor";"50";"SRIC_EX";"0.135926191623297"
"viktor";"50";"Max";"0.177133523887301"
"alnaskarov";"50";"SRIC_EX";"0.279302336419561"
"alnaskarov";"50";"Max";"0.248917925683953"
"sasha";"70";"SRIC_EX";"0.357846316209117"
"sasha";"70";"Max";"0.277130299907589"
"aglaeva";"70";"SRIC_EX";"0.198799944114654"
"aglaeva";"70";"Max";"0.221482112424034"
"ipat";"70";"SRIC_EX";"0.0312693983132456"
"ipat";"70";"Max";"0.0765928534802458"
"viktor";"70";"SRIC_EX";"0.121183822739693"
"viktor";"70";"Max";"0.184074337535931"
"alnaskarov";"70";"SRIC_EX";"0.290900518623291"
"alnaskarov";"70";"Max";"0.240720396652201"
