"Element";"Quota";"Centrality";"Value"
"grafinya";"30";"SRIC_EX";"0.379985119047619"
"grafinya";"30";"Max";"0.323741007194245"
"svetlana";"30";"SRIC_EX";"0.257554945054945"
"svetlana";"30";"Max";"0.345323741007194"
"plamirskij";"30";"SRIC_EX";"0.362459935897436"
"plamirskij";"30";"Max";"0.330935251798561"
"ehledin";"30";"SRIC_EX";"0"
"ehledin";"30";"Max";"0"
"grafinya";"50";"SRIC_EX";"0.272122805690073"
"grafinya";"50";"Max";"0.27776780907949"
"svetlana";"50";"SRIC_EX";"0.259591238839286"
"svetlana";"50";"Max";"0.260052525977521"
"plamirskij";"50";"SRIC_EX";"0.272419557733051"
"plamirskij";"50";"Max";"0.2790238650637"
"ehledin";"50";"SRIC_EX";"0.195866397737591"
"ehledin";"50";"Max";"0.183155799879288"
"grafinya";"70";"SRIC_EX";"0.358169043624161"
"grafinya";"70";"Max";"0.366566333016007"
"svetlana";"70";"SRIC_EX";"0.275482382550336"
"svetlana";"70";"Max";"0.287645754345804"
"plamirskij";"70";"SRIC_EX";"0.366348573825503"
"plamirskij";"70";"Max";"0.345787912638188"
"ehledin";"70";"SRIC_EX";"0"
"ehledin";"70";"Max";"0"
