"Element";"Quota";"Centrality";"Value"
"prolaz";"30";"SRIC_EX";"0.154662553954442"
"prolaz";"30";"Max";"0.116161331940852"
"lentjagin";"30";"SRIC_EX";"0.142144735637351"
"lentjagin";"30";"Max";"0.117592344327857"
"lentjagina";"30";"SRIC_EX";"0.198408743697406"
"lentjagina";"30";"Max";"0.134813849206892"
"marina";"30";"SRIC_EX";"0.0148541636803922"
"marina";"30";"Max";"0.0484225150881985"
"vysonos";"30";"SRIC_EX";"0.0152093684561175"
"vysonos";"30";"Max";"0.0529511884678118"
"prijat";"30";"SRIC_EX";"0.0367024292450451"
"prijat";"30";"Max";"0.0573669111271971"
"vetromah";"30";"SRIC_EX";"0.146929510339337"
"vetromah";"30";"Max";"0.109416085969797"
"major";"30";"SRIC_EX";"0.0466769139343942"
"major";"30";"Max";"0.0538691992751745"
"trusim";"30";"SRIC_EX";"0.0657661983198554"
"trusim";"30";"Max";"0.072851713389693"
"sudja";"30";"SRIC_EX";"0.040152569968245"
"sudja";"30";"Max";"0.0473994990804628"
"ulinka";"30";"SRIC_EX";"0.0181973633621693"
"ulinka";"30";"Max";"0.0484225150881985"
"trompetin";"30";"SRIC_EX";"0.0578899102658101"
"trompetin";"30";"Max";"0.0614935877026482"
"svirelkin";"30";"SRIC_EX";"0.0617722213181657"
"svirelkin";"30";"Max";"0.0668527549199751"
"lakej";"30";"SRIC_EX";"0.000633317821268758"
"lakej";"30";"Max";"0.0123865044152425"
"prolaz";"50";"SRIC_EX";"0.152637462027207"
"prolaz";"50";"Max";"0.120774183305502"
"lentjagin";"50";"SRIC_EX";"0.161894854807159"
"lentjagin";"50";"Max";"0.118241986660489"
"lentjagina";"50";"SRIC_EX";"0.216264944364805"
"lentjagina";"50";"Max";"0.145803708685063"
"marina";"50";"SRIC_EX";"0.0185420737963905"
"marina";"50";"Max";"0.0401031774617279"
"vysonos";"50";"SRIC_EX";"0.0168259838105471"
"vysonos";"50";"Max";"0.0444599408490952"
"prijat";"50";"SRIC_EX";"0.0295403907757379"
"prijat";"50";"Max";"0.0554428920367348"
"vetromah";"50";"SRIC_EX";"0.154746674774807"
"vetromah";"50";"Max";"0.11783974495132"
"major";"50";"SRIC_EX";"0.0382067862675769"
"major";"50";"Max";"0.0568955003900053"
"trusim";"50";"SRIC_EX";"0.0633574243342299"
"trusim";"50";"Max";"0.0713597712156706"
"sudja";"50";"SRIC_EX";"0.0282484715903479"
"sudja";"50";"Max";"0.0518224499876629"
"ulinka";"50";"SRIC_EX";"0.00868129791797673"
"ulinka";"50";"Max";"0.0382108499500161"
"trompetin";"50";"SRIC_EX";"0.0523061083367836"
"trompetin";"50";"Max";"0.0626665830712392"
"svirelkin";"50";"SRIC_EX";"0.0584462664552602"
"svirelkin";"50";"Max";"0.066572240538605"
"lakej";"50";"SRIC_EX";"0.000301260741171484"
"lakej";"50";"Max";"0.0098069708968692"
"prolaz";"70";"SRIC_EX";"0.297389537477614"
"prolaz";"70";"Max";"0.121845253550368"
"lentjagin";"70";"SRIC_EX";"0.024390243902439"
"lentjagin";"70";"Max";"0.117370045106899"
"lentjagina";"70";"SRIC_EX";"0.215486887224213"
"lentjagina";"70";"Max";"0.14955541240846"
"marina";"70";"SRIC_EX";"0.0409196218160591"
"marina";"70";"Max";"0.0355088238273086"
"vysonos";"70";"SRIC_EX";"0.0130961475499291"
"vysonos";"70";"Max";"0.0402448954490554"
"prijat";"70";"SRIC_EX";"0.0438909500020856"
"prijat";"70";"Max";"0.0549672780008659"
"vetromah";"70";"SRIC_EX";"0.239012650079244"
"vetromah";"70";"Max";"0.122031337311049"
"major";"70";"SRIC_EX";"0"
"major";"70";"Max";"0.0592971902429386"
"trusim";"70";"SRIC_EX";"0.0930735930735931"
"trusim";"70";"Max";"0.0726120351324738"
"sudja";"70";"SRIC_EX";"0"
"sudja";"70";"Max";"0.0536434608095128"
"ulinka";"70";"SRIC_EX";"0.0327403688748227"
"ulinka";"70";"Max";"0.0344993369870949"
"trompetin";"70";"SRIC_EX";"0"
"trompetin";"70";"Max";"0.064479833486628"
"svirelkin";"70";"SRIC_EX";"0"
"svirelkin";"70";"Max";"0.0676533763781779"
"lakej";"70";"SRIC_EX";"0"
"lakej";"70";"Max";"0.00629172130916771"
