"Element";"Quota";"Centrality";"Value"
"antenor";"30";"SRIC_EX";"0.0516453756063347"
"antenor";"30";"Max";"0.0841561938958707"
"enej";"30";"SRIC_EX";"0.117302465868343"
"enej";"30";"Max";"0.1120960502693"
"timar";"30";"SRIC_EX";"0.0382130949078222"
"timar";"30";"Max";"0.0586568671454219"
"didona";"30";"SRIC_EX";"0.404454764361885"
"didona";"30";"Max";"0.159055206463196"
"jarb";"30";"SRIC_EX";"0.142602824527282"
"jarb";"30";"Max";"0.123541292639138"
"eliza";"30";"SRIC_EX";"0.17616324521379"
"eliza";"30";"Max";"0.201469928186715"
"arsina";"30";"SRIC_EX";"0.0342093956879068"
"arsina";"30";"Max";"0.0934133752244165"
"voin";"30";"SRIC_EX";"0.0164889851854247"
"voin";"30";"Max";"0.066399236983842"
"gias";"30";"SRIC_EX";"0.0189198486412109"
"gias";"30";"Max";"0.101211849192101"
"antenor";"50";"SRIC_EX";"0.0539686482137527"
"antenor";"50";"Max";"0.0777888514674548"
"enej";"50";"SRIC_EX";"0.106437087334667"
"enej";"50";"Max";"0.117774417485738"
"timar";"50";"SRIC_EX";"0.0271890281585333"
"timar";"50";"Max";"0.0545054642930786"
"didona";"50";"SRIC_EX";"0.431876389265384"
"didona";"50";"Max";"0.216045776342017"
"jarb";"50";"SRIC_EX";"0.132694323851528"
"jarb";"50";"Max";"0.135232662038628"
"eliza";"50";"SRIC_EX";"0.190304712222414"
"eliza";"50";"Max";"0.18078562100488"
"arsina";"50";"SRIC_EX";"0.0370170569882486"
"arsina";"50";"Max";"0.0888205374939858"
"voin";"50";"SRIC_EX";"0.00940164285436212"
"voin";"50";"Max";"0.0568080280431645"
"gias";"50";"SRIC_EX";"0.0111111111111111"
"gias";"50";"Max";"0.0722386418310537"
"antenor";"70";"SRIC_EX";"0.0545396988759818"
"antenor";"70";"Max";"0.0686620307469899"
"enej";"70";"SRIC_EX";"0.125674160530113"
"enej";"70";"Max";"0.122660009503858"
"timar";"70";"SRIC_EX";"0.0432561203508099"
"timar";"70";"Max";"0.056715279125645"
"didona";"70";"SRIC_EX";"0.37885074089417"
"didona";"70";"Max";"0.243352318740672"
"jarb";"70";"SRIC_EX";"0.160363695355675"
"jarb";"70";"Max";"0.143033069411631"
"eliza";"70";"SRIC_EX";"0.142321721121449"
"eliza";"70";"Max";"0.161538821923126"
"arsina";"70";"SRIC_EX";"0.0513044419028778"
"arsina";"70";"Max";"0.084510718612169"
"voin";"70";"SRIC_EX";"0.0316682637321876"
"voin";"70";"Max";"0.0593857294880633"
"gias";"70";"SRIC_EX";"0.0120211572367367"
"gias";"70";"Max";"0.0601420224478459"
