"Element";"Quota";"Centrality";"Value"
"polist";"30";"SRIC_EX";"0.243902875845458"
"polist";"30";"Max";"0.164912746342905"
"prostodum";"30";"SRIC_EX";"0.0965095925005192"
"prostodum";"30";"Max";"0.111050996943415"
"portnoj";"30";"SRIC_EX";"0.00480373853839783"
"portnoj";"30";"Max";"0.0321554775401187"
"verholet";"30";"SRIC_EX";"0.114222026571337"
"verholet";"30";"Max";"0.121129244831676"
"marina";"30";"SRIC_EX";"0.116810601514895"
"marina";"30";"Max";"0.12271403009583"
"chvankina";"30";"SRIC_EX";"0.156206135677939"
"chvankina";"30";"Max";"0.133127759328461"
"milena";"30";"SRIC_EX";"0.0800706486873"
"milena";"30";"Max";"0.0830348776946645"
"prikazchik";"30";"SRIC_EX";"0.00688576954888195"
"prikazchik";"30";"Max";"0.0253338585847191"
"zamir";"30";"SRIC_EX";"0.0749591785009819"
"zamir";"30";"Max";"0.0882865593180513"
"cheston";"30";"SRIC_EX";"0.101241152565522"
"cheston";"30";"Max";"0.0992267382085184"
"blagochinnyj";"30";"SRIC_EX";"0.00438828004876887"
"blagochinnyj";"30";"Max";"0.0190277111116407"
"polist";"50";"SRIC_EX";"0.237558962708412"
"polist";"50";"Max";"0.176796860379421"
"prostodum";"50";"SRIC_EX";"0.102853410576689"
"prostodum";"50";"Max";"0.106626928509385"
"portnoj";"50";"SRIC_EX";"0.00291153542258082"
"portnoj";"50";"Max";"0.025025641804433"
"verholet";"50";"SRIC_EX";"0.126972168744262"
"verholet";"50";"Max";"0.112472721501865"
"marina";"50";"SRIC_EX";"0.122597108886603"
"marina";"50";"Max";"0.116983374613933"
"chvankina";"50";"SRIC_EX";"0.172384504892371"
"chvankina";"50";"Max";"0.138302474428655"
"milena";"50";"SRIC_EX";"0.0658727848261143"
"milena";"50";"Max";"0.0882407690486582"
"prikazchik";"50";"SRIC_EX";"0.004198650305831"
"prikazchik";"50";"Max";"0.0256944296249811"
"zamir";"50";"SRIC_EX";"0.0671207207113467"
"zamir";"50";"Max";"0.0865050508627374"
"cheston";"50";"SRIC_EX";"0.0948222069827195"
"cheston";"50";"Max";"0.103411874741177"
"blagochinnyj";"50";"SRIC_EX";"0.00270794594306856"
"blagochinnyj";"50";"Max";"0.0199398744847549"
"polist";"70";"SRIC_EX";"0.252663411907923"
"polist";"70";"Max";"0.17866277092328"
"prostodum";"70";"SRIC_EX";"0.146499798201872"
"prostodum";"70";"Max";"0.105949851229777"
"portnoj";"70";"SRIC_EX";"0"
"portnoj";"70";"Max";"0.0236812048004679"
"verholet";"70";"SRIC_EX";"0.0410592808551992"
"verholet";"70";"Max";"0.112694422783282"
"marina";"70";"SRIC_EX";"0.160593848767641"
"marina";"70";"Max";"0.116058956669838"
"chvankina";"70";"SRIC_EX";"0.208113656847001"
"chvankina";"70";"Max";"0.139082900834495"
"milena";"70";"SRIC_EX";"0.0897203853608483"
"milena";"70";"Max";"0.0890760498075834"
"prikazchik";"70";"SRIC_EX";"0"
"prikazchik";"70";"Max";"0.0255176908932323"
"zamir";"70";"SRIC_EX";"0"
"zamir";"70";"Max";"0.0852302510795111"
"cheston";"70";"SRIC_EX";"0.101349618059514"
"cheston";"70";"Max";"0.104077700088936"
"blagochinnyj";"70";"SRIC_EX";"0"
"blagochinnyj";"70";"Max";"0.0199682008895973"
