"Element";"Quota";"Centrality";"Value"
"vsevesta";"30";"SRIC_EX";"0.27418943434694"
"vsevesta";"30";"Max";"0.217568019891933"
"olga";"30";"SRIC_EX";"0.386153689148296"
"olga";"30";"Max";"0.198441161000335"
"mirved";"30";"SRIC_EX";"0.153369105416632"
"mirved";"30";"Max";"0.187443217137666"
"svyatoslav";"30";"SRIC_EX";"0.0834267293922391"
"svyatoslav";"30";"Max";"0.144407784631569"
"volod";"30";"SRIC_EX";"0.0226712819861744"
"volod";"30";"Max";"0.0705302921627696"
"mal";"30";"SRIC_EX";"0.0605885938650006"
"mal";"30";"Max";"0.109023095682112"
"zlovred";"30";"SRIC_EX";"0.0196011658447178"
"zlovred";"30";"Max";"0.0725864294936164"
"vsevesta";"50";"SRIC_EX";"0.244880875257662"
"vsevesta";"50";"Max";"0.205213155896332"
"olga";"50";"SRIC_EX";"0.404594118329905"
"olga";"50";"Max";"0.256013122630148"
"mirved";"50";"SRIC_EX";"0.114575328412601"
"mirved";"50";"Max";"0.162474390680384"
"svyatoslav";"50";"SRIC_EX";"0.11968781844596"
"svyatoslav";"50";"Max";"0.13725586192591"
"volod";"50";"SRIC_EX";"0.0292871704269926"
"volod";"50";"Max";"0.0677821247124065"
"mal";"50";"SRIC_EX";"0.06836524944802"
"mal";"50";"Max";"0.109580111307607"
"zlovred";"50";"SRIC_EX";"0.0186094396788597"
"zlovred";"50";"Max";"0.0616812328472118"
"vsevesta";"70";"SRIC_EX";"0.271876094908538"
"vsevesta";"70";"Max";"0.21052169964928"
"olga";"70";"SRIC_EX";"0.313731876939571"
"olga";"70";"Max";"0.268389999173289"
"mirved";"70";"SRIC_EX";"0.207073950919752"
"mirved";"70";"Max";"0.16880630582281"
"svyatoslav";"70";"SRIC_EX";"0.106639230583556"
"svyatoslav";"70";"Max";"0.134212885050689"
"volod";"70";"SRIC_EX";"0.0217646150931347"
"volod";"70";"Max";"0.0579301097212821"
"mal";"70";"SRIC_EX";"0.056981396843019"
"mal";"70";"Max";"0.0998428406147219"
"zlovred";"70";"SRIC_EX";"0.0219328347124295"
"zlovred";"70";"Max";"0.0602961599679275"
