"Element";"Quota";"Centrality";"Value"
"vigor";"30";"SRIC_EX";"0.0783889846269344"
"vigor";"30";"Max";"0.128884826325411"
"prenest";"30";"SRIC_EX";"0.12319606270736"
"prenest";"30";"Max";"0.123034734917733"
"vadim";"30";"SRIC_EX";"0.195315120912635"
"vadim";"30";"Max";"0.146983546617916"
"ramida";"30";"SRIC_EX";"0.256250518976039"
"ramida";"30";"Max";"0.160877513711152"
"rurik";"30";"SRIC_EX";"0.236853625170999"
"rurik";"30";"Max";"0.171846435100548"
"izved";"30";"SRIC_EX";"0.100529832298392"
"izved";"30";"Max";"0.186471663619744"
"selena";"30";"SRIC_EX";"0.0094658553076403"
"selena";"30";"Max";"0.0819012797074954"
"vigor";"50";"SRIC_EX";"0.0806880199497169"
"vigor";"50";"Max";"0.106586460810622"
"prenest";"50";"SRIC_EX";"0.159054301253948"
"prenest";"50";"Max";"0.124073202680877"
"vadim";"50";"SRIC_EX";"0.140758985586572"
"vadim";"50";"Max";"0.176037440704048"
"ramida";"50";"SRIC_EX";"0.262070870753563"
"ramida";"50";"Max";"0.197631977210006"
"rurik";"50";"SRIC_EX";"0.267517323140445"
"rurik";"50";"Max";"0.181455151276214"
"izved";"50";"SRIC_EX";"0.0751321741926025"
"izved";"50";"Max";"0.135773422695883"
"selena";"50";"SRIC_EX";"0.0147783251231527"
"selena";"50";"Max";"0.07844234462235"
"vigor";"70";"SRIC_EX";"0.0778471795620814"
"vigor";"70";"Max";"0.102310533223453"
"prenest";"70";"SRIC_EX";"0.121104646564296"
"prenest";"70";"Max";"0.120501785550774"
"vadim";"70";"SRIC_EX";"0.204682766321893"
"vadim";"70";"Max";"0.17849403290297"
"ramida";"70";"SRIC_EX";"0.247021823388978"
"ramida";"70";"Max";"0.216707871684522"
"rurik";"70";"SRIC_EX";"0.2138378937859"
"rurik";"70";"Max";"0.196135884992217"
"izved";"70";"SRIC_EX";"0.12686295292205"
"izved";"70";"Max";"0.116137105881635"
"selena";"70";"SRIC_EX";"0.00864273745480201"
"selena";"70";"Max";"0.0697127857644294"
