"Element";"Quota";"Centrality";"Value"
"mitrofan";"30";"SRIC_EX";"0.00941380500466888"
"mitrofan";"30";"Max";"0.0342818661284841"
"havronia";"30";"SRIC_EX";"0.120381197695421"
"havronia";"30";"Max";"0.113574284719279"
"karpovich";"30";"SRIC_EX";"0.0788642846578675"
"karpovich";"30";"Max";"0.0832217947157968"
"foma";"30";"SRIC_EX";"0.0996279104660101"
"foma";"30";"Max";"0.0977525842693486"
"marina";"30";"SRIC_EX";"0.0662122468730485"
"marina";"30";"Max";"0.0856616582680535"
"dobrovidov";"30";"SRIC_EX";"0.19235746690794"
"dobrovidov";"30";"Max";"0.155723294717895"
"graf";"30";"SRIC_EX";"0.186342257814392"
"graf";"30";"Max";"0.15780791301806"
"ostromyslov";"30";"SRIC_EX";"0.109289492861146"
"ostromyslov";"30";"Max";"0.108279172418423"
"malania";"30";"SRIC_EX";"0.120079149319801"
"malania";"30";"Max";"0.123784788510194"
"notarius";"30";"SRIC_EX";"0.0174321883997059"
"notarius";"30";"Max";"0.0399126432344661"
"mitrofan";"50";"SRIC_EX";"0.00596569871375102"
"mitrofan";"50";"Max";"0.0325337023479296"
"havronia";"50";"SRIC_EX";"0.114588272292745"
"havronia";"50";"Max";"0.11370388652762"
"karpovich";"50";"SRIC_EX";"0.0746221806725541"
"karpovich";"50";"Max";"0.0883279061731346"
"foma";"50";"SRIC_EX";"0.0960146579890851"
"foma";"50";"Max";"0.100245597407314"
"marina";"50";"SRIC_EX";"0.0520549436377902"
"marina";"50";"Max";"0.07995760365871"
"dobrovidov";"50";"SRIC_EX";"0.212095749689328"
"dobrovidov";"50";"Max";"0.156745212888502"
"graf";"50";"SRIC_EX";"0.199672727568844"
"graf";"50";"Max";"0.154141677439948"
"ostromyslov";"50";"SRIC_EX";"0.115511877572614"
"ostromyslov";"50";"Max";"0.115598943952198"
"malania";"50";"SRIC_EX";"0.119399364174635"
"malania";"50";"Max";"0.119781007838897"
"notarius";"50";"SRIC_EX";"0.0100745276886545"
"notarius";"50";"Max";"0.0389644617657469"
"mitrofan";"70";"SRIC_EX";"0"
"mitrofan";"70";"Max";"0.031083827934603"
"havronia";"70";"SRIC_EX";"0.0595790243619433"
"havronia";"70";"Max";"0.113192081814733"
"karpovich";"70";"SRIC_EX";"0.0234865147472417"
"karpovich";"70";"Max";"0.088496795308116"
"foma";"70";"SRIC_EX";"0.0523468859102396"
"foma";"70";"Max";"0.101375717799537"
"marina";"70";"SRIC_EX";"0.08023607513133"
"marina";"70";"Max";"0.0801449517260612"
"dobrovidov";"70";"SRIC_EX";"0.173713276519399"
"dobrovidov";"70";"Max";"0.156005911485354"
"graf";"70";"SRIC_EX";"0.277907309392129"
"graf";"70";"Max";"0.15539507736497"
"ostromyslov";"70";"SRIC_EX";"0.16905325870495"
"ostromyslov";"70";"Max";"0.115646966835317"
"malania";"70";"SRIC_EX";"0.163677655232767"
"malania";"70";"Max";"0.120043595759354"
"notarius";"70";"SRIC_EX";"0"
"notarius";"70";"Max";"0.0386150739719559"
