"Element";"Quota";"Centrality";"Value"
"gusman";"30";"SRIC_EX";"0.2127990100243"
"gusman";"30";"Max";"0.175768493599789"
"folet";"30";"SRIC_EX";"0.241859060359773"
"folet";"30";"Max";"0.182708332155526"
"tsimara";"30";"SRIC_EX";"0.133220817819317"
"tsimara";"30";"Max";"0.126355484009533"
"soreta";"30";"SRIC_EX";"0.132762890208785"
"soreta";"30";"Max";"0.145830311848573"
"atsem";"30";"SRIC_EX";"0.185912604807706"
"atsem";"30";"Max";"0.159288105258556"
"hor";"30";"SRIC_EX";"0.0125474098137815"
"hor";"30";"Max";"0.0447432938151581"
"elvira";"30";"SRIC_EX";"0.0659668378442354"
"elvira";"30";"Max";"0.0938701031446036"
"ferdinand";"30";"SRIC_EX";"0.000702716852032406"
"ferdinand";"30";"Max";"0.0211098580792632"
"hor_zhenschin";"30";"SRIC_EX";"0.00711432613503445"
"hor_zhenschin";"30";"Max";"0.0251630090444992"
"hor_muzhchin";"30";"SRIC_EX";"0.00711432613503445"
"hor_muzhchin";"30";"Max";"0.0251630090444992"
"gusman";"50";"SRIC_EX";"0.227254976529958"
"gusman";"50";"Max";"0.182082079971916"
"folet";"50";"SRIC_EX";"0.257997246343532"
"folet";"50";"Max";"0.187785555597621"
"tsimara";"50";"SRIC_EX";"0.116123807305661"
"tsimara";"50";"Max";"0.13806579803271"
"soreta";"50";"SRIC_EX";"0.12789833642504"
"soreta";"50";"Max";"0.139959402705884"
"atsem";"50";"SRIC_EX";"0.191599097881158"
"atsem";"50";"Max";"0.167714062370935"
"hor";"50";"SRIC_EX";"0.00820891364882241"
"hor";"50";"Max";"0.0431204009953468"
"elvira";"50";"SRIC_EX";"0.0565740950950523"
"elvira";"50";"Max";"0.080936835316914"
"ferdinand";"50";"SRIC_EX";"0.00141112906865241"
"ferdinand";"50";"Max";"0.0180512653500922"
"hor_zhenschin";"50";"SRIC_EX";"0.00646619885106195"
"hor_zhenschin";"50";"Max";"0.0211422998292905"
"hor_muzhchin";"50";"SRIC_EX";"0.00646619885106195"
"hor_muzhchin";"50";"Max";"0.0211422998292905"
"gusman";"70";"SRIC_EX";"0.219529360762829"
"gusman";"70";"Max";"0.182722428428339"
"folet";"70";"SRIC_EX";"0.223654408966598"
"folet";"70";"Max";"0.191459377640645"
"tsimara";"70";"SRIC_EX";"0.147802796137854"
"tsimara";"70";"Max";"0.139632299406244"
"soreta";"70";"SRIC_EX";"0.132867447117613"
"soreta";"70";"Max";"0.138614702162747"
"atsem";"70";"SRIC_EX";"0.195008394518196"
"atsem";"70";"Max";"0.170814146332965"
"hor";"70";"SRIC_EX";"0.00502883386398854"
"hor";"70";"Max";"0.0412634317040616"
"elvira";"70";"SRIC_EX";"0.0653575685713873"
"elvira";"70";"Max";"0.0814331143956762"
"ferdinand";"70";"SRIC_EX";"0.000650179960524788"
"ferdinand";"70";"Max";"0.0160879630086032"
"hor_zhenschin";"70";"SRIC_EX";"0.00505050505050505"
"hor_zhenschin";"70";"Max";"0.0189862684603593"
"hor_muzhchin";"70";"SRIC_EX";"0.00505050505050505"
"hor_muzhchin";"70";"Max";"0.0189862684603593"
