"Element";"Quota";"Centrality";"Value"
"progneya";"30";"SRIC_EX";"0.318353739775019"
"progneya";"30";"Max";"0.203014716924463"
"linsej";"30";"SRIC_EX";"0.232290527263138"
"linsej";"30";"Max";"0.211292986934975"
"kalhant";"30";"SRIC_EX";"0.149957560566588"
"kalhant";"30";"Max";"0.189217600240276"
"agamet";"30";"SRIC_EX";"0.0374257996879372"
"agamet";"30";"Max";"0.082125694548731"
"terej";"30";"SRIC_EX";"0.234287769967204"
"terej";"30";"Max";"0.202226310256795"
"filomela";"30";"SRIC_EX";"0.0245101456182874"
"filomela";"30";"Max";"0.0745607448565851"
"heres";"30";"SRIC_EX";"0.00317445712182554"
"heres";"30";"Max";"0.0375619462381739"
"progneya";"50";"SRIC_EX";"0.280238698691589"
"progneya";"50";"Max";"0.240229847530119"
"linsej";"50";"SRIC_EX";"0.261621716917423"
"linsej";"50";"Max";"0.227130259795381"
"kalhant";"50";"SRIC_EX";"0.200781578815555"
"kalhant";"50";"Max";"0.203744817003493"
"agamet";"50";"SRIC_EX";"0.00742368385559502"
"agamet";"50";"Max";"0.0545887884031473"
"terej";"50";"SRIC_EX";"0.242467553148453"
"terej";"50";"Max";"0.212795953923643"
"filomela";"50";"SRIC_EX";"0.00746676857138576"
"filomela";"50";"Max";"0.0615103333442163"
"heres";"50";"SRIC_EX";"0"
"heres";"50";"Max";"0"
"progneya";"70";"SRIC_EX";"0.294017650855342"
"progneya";"70";"Max";"0.24601492360198"
"linsej";"70";"SRIC_EX";"0.225886455171897"
"linsej";"70";"Max";"0.208533224496962"
"kalhant";"70";"SRIC_EX";"0.186439390702209"
"kalhant";"70";"Max";"0.185256259471438"
"agamet";"70";"SRIC_EX";"0.021724606285071"
"agamet";"70";"Max";"0.0701307927311019"
"terej";"70";"SRIC_EX";"0.251944802100321"
"terej";"70";"Max";"0.212051113599629"
"filomela";"70";"SRIC_EX";"0.0199870948851598"
"filomela";"70";"Max";"0.0565584643653931"
"heres";"70";"SRIC_EX";"0"
"heres";"70";"Max";"0.0214552217334957"
