"Element";"Quota";"Centrality";"Value"
"lestov";"30";"SRIC_EX";"0.105926148199922"
"lestov";"30";"Max";"0.135556820581436"
"masha";"30";"SRIC_EX";"0.348976097316384"
"masha";"30";"Max";"0.175593224321089"
"sumburova";"30";"SRIC_EX";"0.0977667088920811"
"sumburova";"30";"Max";"0.113998676449481"
"antrop";"30";"SRIC_EX";"0.0144624810119948"
"antrop";"30";"Max";"0.0562261628602464"
"liza";"30";"SRIC_EX";"0.0596173204604942"
"liza";"30";"Max";"0.0813384796838648"
"sumburov";"30";"SRIC_EX";"0.259442059299322"
"sumburov";"30";"Max";"0.17719943259533"
"annushka";"30";"SRIC_EX";"0.00415473080084714"
"annushka";"30";"Max";"0.0367316066766099"
"andrej";"30";"SRIC_EX";"0.0017417822992242"
"andrej";"30";"Max";"0.024905274048189"
"oficer";"30";"SRIC_EX";"0.0164265643321154"
"oficer";"30";"Max";"0.0382696091451169"
"trishe";"30";"SRIC_EX";"0.0432623819578491"
"trishe";"30";"Max";"0.0786262686216398"
"kare";"30";"SRIC_EX";"0.0482237254297662"
"kare";"30";"Max";"0.0815544450169971"
"lestov";"50";"SRIC_EX";"0.104921646357879"
"lestov";"50";"Max";"0.119052207853902"
"masha";"50";"SRIC_EX";"0.363455927735866"
"masha";"50";"Max";"0.214894560005339"
"sumburova";"50";"SRIC_EX";"0.0984770650322866"
"sumburova";"50";"Max";"0.114467827139138"
"antrop";"50";"SRIC_EX";"0.0160707601207967"
"antrop";"50";"Max";"0.0459370487892984"
"liza";"50";"SRIC_EX";"0.0590222973034124"
"liza";"50";"Max";"0.0854312829669003"
"sumburov";"50";"SRIC_EX";"0.243262287136209"
"sumburov";"50";"Max";"0.183558055338914"
"annushka";"50";"SRIC_EX";"0.00394641808328886"
"annushka";"50";"Max";"0.0302212615015165"
"andrej";"50";"SRIC_EX";"0.00117445684694416"
"andrej";"50";"Max";"0.0209304632174674"
"oficer";"50";"SRIC_EX";"0.0130225395066299"
"oficer";"50";"Max";"0.0389183299203134"
"trishe";"50";"SRIC_EX";"0.0434037845040124"
"trishe";"50";"Max";"0.0725441301872709"
"kare";"50";"SRIC_EX";"0.0532428173726748"
"kare";"50";"Max";"0.0740448330799405"
"lestov";"70";"SRIC_EX";"0.0948375828839759"
"lestov";"70";"Max";"0.113104348486246"
"masha";"70";"SRIC_EX";"0.328244360453767"
"masha";"70";"Max";"0.224375602391502"
"sumburova";"70";"SRIC_EX";"0.142872521510559"
"sumburova";"70";"Max";"0.115311495435972"
"antrop";"70";"SRIC_EX";"0.0235150496655349"
"antrop";"70";"Max";"0.045712638390587"
"liza";"70";"SRIC_EX";"0.0832685370046984"
"liza";"70";"Max";"0.087506616378497"
"sumburov";"70";"SRIC_EX";"0.195129551164261"
"sumburov";"70";"Max";"0.183916848071494"
"annushka";"70";"SRIC_EX";"0.00245172594205896"
"annushka";"70";"Max";"0.0272918364290912"
"andrej";"70";"SRIC_EX";"0"
"andrej";"70";"Max";"0.0186861792158652"
"oficer";"70";"SRIC_EX";"0.010920548697292"
"oficer";"70";"Max";"0.0391367748310929"
"trishe";"70";"SRIC_EX";"0.0493853821002009"
"trishe";"70";"Max";"0.0704684979060866"
"kare";"70";"SRIC_EX";"0.0693747405776516"
"kare";"70";"Max";"0.0744891624635656"
