"Element";"Quota";"Centrality";"Value"
"vanka";"30";"SRIC_EX";"0.124092152950323"
"vanka";"30";"Max";"0.120065070962973"
"muzhik";"30";"SRIC_EX";"0.000996146485962199"
"muzhik";"30";"Max";"0.0261675271323881"
"dasha";"30";"SRIC_EX";"0.177635812659957"
"dasha";"30";"Max";"0.156504321602171"
"fatyuev";"30";"SRIC_EX";"0.0702781724581144"
"fatyuev";"30";"Max";"0.107148603479084"
"uzhima";"30";"SRIC_EX";"0.160391947888477"
"uzhima";"30";"Max";"0.142033675840456"
"prelesta";"30";"SRIC_EX";"0.122051901640677"
"prelesta";"30";"Max";"0.125322681916748"
"milon";"30";"SRIC_EX";"0.179151148147038"
"milon";"30";"Max";"0.150946205933101"
"vspyshkin";"30";"SRIC_EX";"0.164597508415019"
"vspyshkin";"30";"Max";"0.144691798850543"
"potap";"30";"SRIC_EX";"0.000805209354432152"
"potap";"30";"Max";"0.0271201142825366"
"vanka";"50";"SRIC_EX";"0.112600576593832"
"vanka";"50";"Max";"0.123226812835858"
"muzhik";"50";"SRIC_EX";"0.00092999730790253"
"muzhik";"50";"Max";"0.0183913068131219"
"dasha";"50";"SRIC_EX";"0.19945613759713"
"dasha";"50";"Max";"0.159076656241821"
"fatyuev";"50";"SRIC_EX";"0.0702262593667204"
"fatyuev";"50";"Max";"0.106369519698258"
"uzhima";"50";"SRIC_EX";"0.163827252839279"
"uzhima";"50";"Max";"0.145871776617368"
"prelesta";"50";"SRIC_EX";"0.112589187009725"
"prelesta";"50";"Max";"0.126991608303256"
"milon";"50";"SRIC_EX";"0.182131613421768"
"milon";"50";"Max";"0.153738513414915"
"vspyshkin";"50";"SRIC_EX";"0.157482540683195"
"vspyshkin";"50";"Max";"0.147833352546107"
"potap";"50";"SRIC_EX";"0.00075643518044816"
"potap";"50";"Max";"0.0185004535292957"
"vanka";"70";"SRIC_EX";"0.128272992446668"
"vanka";"70";"Max";"0.124275406107741"
"muzhik";"70";"SRIC_EX";"0"
"muzhik";"70";"Max";"0.0151293226513865"
"dasha";"70";"SRIC_EX";"0.184047059757448"
"dasha";"70";"Max";"0.160746666276566"
"fatyuev";"70";"SRIC_EX";"0.0107979086155945"
"fatyuev";"70";"Max";"0.104294857785175"
"uzhima";"70";"SRIC_EX";"0.146046276473646"
"uzhima";"70";"Max";"0.147319020414095"
"prelesta";"70";"SRIC_EX";"0.129138157440044"
"prelesta";"70";"Max";"0.126988153127305"
"milon";"70";"SRIC_EX";"0.188389677307613"
"milon";"70";"Max";"0.155229747515326"
"vspyshkin";"70";"SRIC_EX";"0.213307927958985"
"vspyshkin";"70";"Max";"0.150849927009875"
"potap";"70";"SRIC_EX";"0"
"potap";"70";"Max";"0.015166899112531"
